precision,N,time_ms
float,512,5.853
float,512,5.796
float,512,5.851
float,512,5.850
float,512,5.850
double,512,6.246
double,512,6.209
double,512,6.244
double,512,6.182
double,512,6.258
float,1024,47.177
float,1024,47.722
float,1024,47.647
float,1024,47.776
float,1024,47.504
double,1024,53.250
double,1024,52.777
double,1024,53.086
double,1024,52.596
double,1024,53.128
float,2000,262.649
float,2000,263.897
float,2000,249.490
float,2000,248.483
float,2000,250.515
double,2000,401.957
double,2000,405.163
double,2000,407.479
double,2000,405.100
double,2000,406.735
float,2048,344.143
float,2048,317.363
float,2048,325.204
float,2048,327.433
float,2048,343.123
double,2048,377.702
double,2048,368.557
double,2048,343.049
double,2048,367.684
double,2048,348.430
