precision,N,time_ms
float,512,1.669,160.85
float,512,1.668,160.98
float,512,1.676,160.19
double,512,4.978,53.92
double,512,5.005,53.63
double,512,5.005,53.63
float,1024,14.542,147.68
float,1024,14.539,147.70
float,1024,14.536,147.73
double,1024,43.135,49.78
double,1024,43.229,49.68
double,1024,42.525,50.50
float,2000,94.534,169.25
float,2000,93.777,170.62
float,2000,94.411,169.47
double,2000,260.891,61.33
double,2000,290.297,55.12
double,2000,270.380,59.18
float,2048,106.161,161.83
float,2048,106.619,161.13
float,2048,105.643,162.62
double,2048,297.332,57.78
double,2048,274.570,62.57
double,2048,270.333,63.55
