mode,precision,N,IT,time_ms,checksum
serial,double,1024,10,26.808,-1.226228037714326e-01
openmp,double,1024,10,17.214,-1.226228037714326e-01
opencl_V1,double,1024,10,36.382,-1.226228037714328e-01
opencl_V2,double,1024,10,8.137,-1.226228037714328e-01
serial,float,1024,10,12.939,-1.226259991526604e-01
openmp,float,1024,10,22.338,-1.226259991526604e-01
opencl_V1,float,1024,10,21.189,-1.226261332631111e-01
opencl_V2,float,1024,10,6.004,-1.226261332631111e-01
serial,double,1024,100,232.224,-1.246047300974707e+00
openmp,double,1024,100,142.624,-1.246047300974707e+00
opencl_V1,double,1024,100,342.730,-1.246047300974706e+00
opencl_V2,double,1024,100,25.509,-1.246047300974706e+00
serial,float,1024,100,106.781,-1.246043443679810e+00
openmp,float,1024,100,197.389,-1.246043443679810e+00
opencl_V1,float,1024,100,190.697,-1.246042966842651e+00
opencl_V2,float,1024,100,23.420,-1.246042966842651e+00
serial,double,1024,1000,2148.746,-1.242935179906460e+01
openmp,double,1024,1000,1436.345,-1.242935179906460e+01
opencl_V1,double,1024,1000,3347.883,-1.242935179906460e+01
opencl_V2,double,1024,1000,206.080,-1.242935179906460e+01
serial,float,1024,1000,1037.816,-1.242941951751709e+01
openmp,float,1024,1000,1939.100,-1.242941951751709e+01
opencl_V1,float,1024,1000,1900.704,-1.242942142486572e+01
opencl_V2,float,1024,1000,204.381,-1.242942142486572e+01
serial,double,2048,10,115.308,-7.546323724342018e-02
openmp,double,2048,10,59.942,-7.546323724342018e-02
opencl_V1,double,2048,10,132.590,-7.546323724342036e-02
opencl_V2,double,2048,10,27.874,-7.546323724342036e-02
serial,float,2048,10,62.318,-7.546244561672211e-02
openmp,float,2048,10,30.420,-7.546244561672211e-02
opencl_V1,float,2048,10,74.886,-7.546234875917435e-02
opencl_V2,float,2048,10,20.649,-7.546234875917435e-02
serial,double,2048,100,961.965,-7.522768826994550e-01
openmp,double,2048,100,574.477,-7.522768826994550e-01
opencl_V1,double,2048,100,1269.664,-7.522768826994556e-01
opencl_V2,double,2048,100,97.739,-7.522768826994556e-01
serial,float,2048,100,530.057,-7.523002028465271e-01
openmp,float,2048,100,285.850,-7.523002028465271e-01
opencl_V1,float,2048,100,694.682,-7.523000836372375e-01
opencl_V2,float,2048,100,90.771,-7.523000836372375e-01
serial,double,2048,1000,9338.771,-7.553802241567255e+00
openmp,double,2048,1000,5725.152,-7.553802241567255e+00
opencl_V1,double,2048,1000,12585.926,-7.553802241567252e+00
opencl_V2,double,2048,1000,821.015,-7.553802241567252e+00
serial,float,2048,1000,4600.333,-7.553390026092529e+00
openmp,float,2048,1000,2780.954,-7.553390026092529e+00
opencl_V1,float,2048,1000,6850.823,-7.553389549255371e+00
opencl_V2,float,2048,1000,825.195,-7.553389549255371e+00
