mode,precision,N,IT,time_ms,checksum
serial,double,1024,10,16.000,-1.226228037714326e-01
openmp,double,1024,10,12.000,-1.226228037714326e-01
opencl_V1,double,1024,10,44.000,-1.226228037714328e-01
opencl_V2,double,1024,10,20.000,-1.226228037714328e-01
serial,float,1024,10,7.000,-1.226259991526604e-01
openmp,float,1024,10,6.000,-1.226259991526604e-01
opencl_V1,float,1024,10,33.000,-1.226261332631111e-01
opencl_V2,float,1024,10,21.000,-1.226261332631111e-01
serial,double,1024,100,124.000,-1.246047300974706e+00
openmp,double,1024,100,95.000,-1.246047300974706e+00
opencl_V1,double,1024,100,416.000,-1.246047300974706e+00
opencl_V2,double,1024,100,146.000,-1.246047300974706e+00
serial,float,1024,100,58.000,-1.246043443679810e+00
openmp,float,1024,100,45.000,-1.246043443679810e+00
opencl_V1,float,1024,100,311.000,-1.246042966842651e+00
opencl_V2,float,1024,100,171.000,-1.246042966842651e+00
serial,double,1024,1000,1206.000,-1.242935179906460e+01
openmp,double,1024,1000,911.000,-1.242935179906460e+01
opencl_V1,double,1024,1000,4097.000,-1.242935179906460e+01
opencl_V2,double,1024,1000,1418.000,-1.242935179906460e+01
serial,float,1024,1000,545.000,-1.242941951751709e+01
openmp,float,1024,1000,455.000,-1.242941951751709e+01
opencl_V1,float,1024,1000,3050.000,-1.242942142486572e+01
opencl_V2,float,1024,1000,1671.000,-1.242942142486572e+01
serial,double,2048,10,92.000,-7.546323724342013e-02
openmp,double,2048,10,79.000,-7.546323724342013e-02
opencl_V1,double,2048,10,184.000,-7.546323724342043e-02
opencl_V2,double,2048,10,122.000,-7.546323724342043e-02
serial,float,2048,10,39.000,-7.546244561672211e-02
openmp,float,2048,10,31.000,-7.546244561672211e-02
opencl_V1,float,2048,10,153.000,-7.546234875917435e-02
opencl_V2,float,2048,10,111.000,-7.546234875917435e-02
serial,double,2048,100,834.000,-7.522768826994556e-01
openmp,double,2048,100,768.000,-7.522768826994556e-01
opencl_V1,double,2048,100,1770.000,-7.522768826994559e-01
opencl_V2,double,2048,100,1099.000,-7.522768826994559e-01
serial,float,2048,100,411.000,-7.523002028465271e-01
openmp,float,2048,100,348.000,-7.523002028465271e-01
opencl_V1,float,2048,100,1438.000,-7.523000836372375e-01
opencl_V2,float,2048,100,1033.000,-7.523000836372375e-01
serial,double,2048,1000,8211.000,-7.553802241567252e+00
openmp,double,2048,1000,6945.000,-7.553802241567252e+00
opencl_V1,double,2048,1000,17778.000,-7.553802241567253e+00
opencl_V2,double,2048,1000,10868.000,-7.553802241567253e+00
serial,float,2048,1000,3275.000,-7.553390026092529e+00
openmp,float,2048,1000,2669.000,-7.553390026092529e+00
opencl_V1,float,2048,1000,14601.000,-7.553389549255371e+00
opencl_V2,float,2048,1000,10237.000,-7.553389549255371e+00
