mode,precision,N,IT,time_ms 
serial,double,1024,10,29.000,-1.226228037714358e-01
openmp,double,1024,10,18.000,-1.226228037714358e-01
serial,float,1024,10,14.000,-1.226259991526604e-01
openmp,float,1024,10,11.000,-1.226259991526604e-01
opencl_V1,float,1024,10,29.000,-1.226261332631111e-01
opencl_V2,float,1024,10,14.000,-1.226261332631111e-01
serial,double,1024,100,204.000,-1.246047300974717e+00
openmp,double,1024,100,142.000,-1.246047300974717e+00
serial,float,1024,100,84.000,-1.246043443679810e+00
openmp,float,1024,100,53.000,-1.246043443679810e+00
opencl_V1,float,1024,100,179.000,-1.246042966842651e+00
opencl_V2,float,1024,100,82.000,-1.246042966842651e+00
serial,double,1024,1000,1960.000,-1.242935179906470e+01
openmp,double,1024,1000,1512.000,-1.242935179906470e+01
serial,float,1024,1000,862.000,-1.242941951751709e+01
openmp,float,1024,1000,615.000,-1.242941951751709e+01
opencl_V1,float,1024,1000,1787.000,-1.242942142486572e+01
opencl_V2,float,1024,1000,897.000,-1.242942142486572e+01
serial,double,2048,10,95.000,-7.546323724342373e-02
openmp,double,2048,10,60.000,-7.546323724342373e-02
serial,float,2048,10,45.000,-7.546244561672211e-02
openmp,float,2048,10,32.000,-7.546244561672211e-02
opencl_V1,float,2048,10,200.000,-7.546234875917435e-02
opencl_V2,float,2048,10,149.000,-7.546234875917435e-02
serial,double,2048,100,885.000,-7.522768826994447e-01
openmp,double,2048,100,575.000,-7.522768826994447e-01
serial,float,2048,100,426.000,-7.523002028465271e-01
openmp,float,2048,100,305.000,-7.523002028465271e-01
opencl_V1,float,2048,100,1824.000,-7.523000836372375e-01
opencl_V2,float,2048,100,1440.000,-7.523000836372375e-01
serial,double,2048,1000,9094.000,-7.553802241567192e+00
openmp,double,2048,1000,5871.000,-7.553802241567192e+00
serial,float,2048,1000,4061.000,-7.553390026092529e+00
openmp,float,2048,1000,3013.000,-7.553390026092529e+00
opencl_V1,float,2048,1000,19711.000,-7.553389549255371e+00
opencl_V2,float,2048,1000,13726.000,-7.553389549255371e+00
