iteration,kernel_time_ms
0,0.085440
1,0.086016
2,0.083968
3,0.086048
4,0.084320
5,0.086016
6,0.084736
7,0.085632
8,0.084448
9,0.084736
10,0.084256
11,0.086240
12,0.083968
13,0.085504
14,0.083968
15,0.086176
16,0.085280
17,0.086016
18,0.091776
19,0.086176
20,0.084544
21,0.085824
22,0.083968
23,0.086016
24,0.084352
25,0.085664
26,0.084000
27,0.085632
28,0.091552
29,0.085888
30,0.084288
31,0.086080
32,0.085184
33,0.100320
34,0.087968
35,0.085856
36,0.084160
37,0.085728
38,0.085120
39,0.086016
40,0.084064
41,0.085888
42,0.085216
43,0.085984
44,0.084288
45,0.086048
46,0.084768
47,0.086912
48,0.083968
49,0.089696
50,0.085024
51,0.086016
52,0.084224
53,0.085952
54,0.084512
55,0.085696
56,0.085600
57,0.085920
58,0.084032
59,0.085984
60,0.087552
61,0.086016
62,0.083968
63,0.085952
64,0.084192
65,0.086048
66,0.085504
67,0.085952
68,0.092544
69,0.097632
70,0.096160
71,0.096320
72,0.084160
73,0.088096
74,0.086016
75,0.086016
76,0.084288
77,0.086016
78,0.084512
79,0.086304
80,0.088096
81,0.086016
82,0.084896
83,0.087104
84,0.083968
85,0.087456
86,0.085376
87,0.085984
88,0.088192
89,0.086016
90,0.087296
91,0.088192
92,0.084928
93,0.087904
94,0.083968
95,0.086240
96,0.084352
97,0.086112
98,0.083968
99,0.085824
100,0.086720
101,0.086464
102,0.085280
103,0.085856
104,0.093952
105,0.088960
106,0.084448
107,0.087936
108,0.085248
109,0.087168
110,0.086016
111,0.084864
112,0.086208
113,0.086016
114,0.085344
115,0.086080
116,0.085312
117,0.087200
118,0.084992
119,0.086016
120,0.084960
121,0.086080
122,0.084608
123,0.085856
124,0.084320
125,0.085984
126,0.085536
127,0.089760
128,0.084384
129,0.086688
130,0.087104
131,0.086016
132,0.088192
133,0.086304
134,0.085184
135,0.085760
136,0.085440
137,0.087392
138,0.085056
139,0.086016
140,0.084288
141,0.086080
142,0.084896
143,0.085760
144,0.085344
145,0.085984
146,0.085728
147,0.088576
148,0.083968
149,0.088384
150,0.086112
151,0.086112
152,0.084608
153,0.086144
154,0.088832
155,0.085952
156,0.084384
157,0.085792
158,0.084320
159,0.088128
160,0.085568
161,0.088480
162,0.085632
163,0.086400
164,0.087712
165,0.086016
166,0.086496
167,0.087840
168,0.084832
169,0.086464
170,0.085152
171,0.088064
172,0.084352
173,0.086272
174,0.084480
175,0.085728
176,0.085088
177,0.085952
178,0.083968
179,0.085728
180,0.085056
181,0.086016
182,0.084576
183,0.086176
184,0.085120
185,0.085792
186,0.085344
187,0.100192
188,0.084512
189,0.086016
190,0.084576
191,0.085760
192,0.085024
193,0.086016
194,0.084608
195,0.085760
196,0.084320
197,0.084672
198,0.084192
199,0.086016
200,0.084512
201,0.085760
202,0.084160
203,0.086112
204,0.084896
205,0.086016
206,0.085408
207,0.085696
208,0.084192
209,0.086080
210,0.084256
211,0.085888
212,0.085504
213,0.085792
214,0.084288
215,0.085824
216,0.085184
217,0.085952
218,0.084704
219,0.085664
220,0.083968
221,0.085664
222,0.085152
223,0.085984
224,0.084640
225,0.085184
226,0.084128
227,0.085792
228,0.085088
229,0.086016
230,0.084576
231,0.084704
232,0.083968
233,0.085984
234,0.085152
235,0.086016
236,0.084480
237,0.086112
238,0.085056
239,0.086016
240,0.084384
241,0.085856
242,0.084288
243,0.085856
244,0.085632
245,0.092320
246,0.098432
247,0.096832
248,0.094976
249,0.094176
250,0.084960
251,0.089824
252,0.084480
253,0.086752
254,0.083968
255,0.086016
256,0.084736
257,0.086272
258,0.087808
259,0.086016
260,0.084736
261,0.086496
262,0.084928
263,0.088064
264,0.083968
265,0.086144
266,0.088416
267,0.086912
268,0.088224
269,0.086240
270,0.084864
271,0.086304
272,0.084576
273,0.087872
274,0.085088
275,0.085984
276,0.084544
277,0.085888
278,0.087744
279,0.085696
280,0.084064
281,0.085760
282,0.083968
283,0.088160
284,0.083872
285,0.086208
286,0.083968
287,0.085984
288,0.085696
289,0.085568
290,0.086112
291,0.085184
292,0.084064
293,0.085824
294,0.084448
295,0.086368
296,0.084288
297,0.085760
298,0.084608
299,0.084448
300,0.085440
301,0.085792
302,0.084064
303,0.085536
304,0.084288
305,0.088416
306,0.084032
307,0.086528
308,0.085504
309,0.085984
310,0.087904
311,0.084896
312,0.084384
313,0.084864
314,0.084224
315,0.086400
316,0.083968
317,0.085696
318,0.084032
319,0.084736
320,0.084096
321,0.085376
322,0.084544
323,0.085280
324,0.085696
325,0.087808
326,0.084928
327,0.086656
328,0.084416
329,0.085920
330,0.085280
331,0.084992
332,0.087456
333,0.085792
334,0.084224
335,0.085568
336,0.083968
337,0.088064
338,0.084224
339,0.087168
340,0.084032
341,0.086016
342,0.085920
343,0.084992
344,0.086080
345,0.085280
346,0.085408
347,0.086688
348,0.083968
349,0.087936
350,0.084064
351,0.086016
352,0.083776
353,0.085632
354,0.083904
355,0.085632
356,0.083936
357,0.085952
358,0.084096
359,0.086016
360,0.084384
361,0.084768
362,0.083840
363,0.085728
364,0.084128
365,0.085664
366,0.083904
367,0.085728
368,0.084352
369,0.084832
370,0.095840
371,0.084832
372,0.083968
373,0.084864
374,0.083968
375,0.084032
376,0.083968
377,0.084672
378,0.084064
379,0.084768
380,0.083776
381,0.084736
382,0.084064
383,0.084704
384,0.084096
385,0.084384
386,0.083968
387,0.086016
388,0.083776
389,0.085792
390,0.083968
391,0.084704
392,0.083968
393,0.085536
394,0.084192
395,0.085920
396,0.084160
397,0.085632
398,0.084096
399,0.084960
400,0.083744
401,0.085824
402,0.083968
403,0.085792
404,0.083968
405,0.084128
406,0.083968
407,0.084256
408,0.083968
409,0.085504
410,0.083808
411,0.085152
412,0.089664
413,0.085632
414,0.083968
415,0.094208
416,0.083712
417,0.085696
418,0.084096
419,0.085792
420,0.084128
421,0.085632
422,0.083872
423,0.086496
424,0.094208
425,0.094752
426,0.095488
427,0.090112
428,0.083968
429,0.088064
430,0.083968
431,0.085888
432,0.083776
433,0.085248
434,0.084128
435,0.084768
436,0.086016
437,0.085472
438,0.085792
439,0.085888
440,0.084160
441,0.087744
442,0.084192
443,0.084928
444,0.087968
445,0.084576
446,0.088096
447,0.085696
448,0.085568
449,0.084864
450,0.083968
451,0.086368
452,0.083968
453,0.084896
454,0.084128
455,0.085536
456,0.087840
457,0.085760
458,0.084032
459,0.085184
460,0.083968
461,0.089952
462,0.084032
463,0.086848
464,0.084576
465,0.085536
466,0.084832
467,0.084992
468,0.086016
469,0.085664
470,0.083968
471,0.085920
472,0.084256
473,0.086016
474,0.085152
475,0.085760
476,0.084576
477,0.084896
478,0.085984
479,0.085728
480,0.084256
481,0.084448
482,0.085760
483,0.087904
484,0.084832
485,0.088448
486,0.084192
487,0.086816
488,0.085792
489,0.085728
490,0.085344
491,0.085600
492,0.084544
493,0.086016
494,0.085088
