iteration,kernel_time_ms
0,0.042272
1,0.049632
2,0.043008
3,0.043136
4,0.043392
5,0.043584
6,0.043392
7,0.043392
8,0.043008
9,0.043424
10,0.043584
11,0.043488
12,0.044064
13,0.043296
14,0.043008
15,0.043296
16,0.043072
17,0.043296
18,0.043520
19,0.043360
20,0.043584
21,0.043520
22,0.044064
23,0.043008
24,0.043136
25,0.043488
26,0.043392
27,0.043104
28,0.043040
29,0.047616
30,0.047904
31,0.048768
32,0.048736
33,0.048672
34,0.048832
35,0.048672
36,0.043520
37,0.043488
38,0.043616
39,0.044000
40,0.044000
41,0.044064
42,0.044640
43,0.045056
44,0.043264
45,0.044480
46,0.044448
47,0.044000
48,0.044288
49,0.044064
50,0.043008
51,0.043136
52,0.044448
53,0.043392
54,0.043008
55,0.043424
56,0.043648
57,0.045376
58,0.044448
59,0.043584
60,0.044480
61,0.044032
62,0.045376
63,0.044864
64,0.043360
65,0.043328
66,0.065344
67,0.043680
68,0.044160
69,0.043744
70,0.043872
71,0.043776
72,0.043776
73,0.043936
74,0.043968
75,0.043328
76,0.043040
77,0.043424
78,0.044672
79,0.043712
80,0.044832
81,0.043296
82,0.044128
83,0.043520
84,0.043456
85,0.042976
86,0.043392
87,0.044448
88,0.045056
89,0.043488
90,0.055392
91,0.044448
92,0.056384
93,0.044960
94,0.043264
95,0.044032
96,0.044864
97,0.043648
98,0.044000
99,0.044288
100,0.044864
101,0.043456
102,0.044352
103,0.045952
104,0.043936
105,0.044192
106,0.043008
107,0.043104
108,0.043744
109,0.043040
110,0.043264
111,0.043424
112,0.043424
113,0.044096
114,0.044160
115,0.044224
116,0.044224
117,0.044384
118,0.044192
119,0.044512
120,0.044384
121,0.042752
122,0.052256
123,0.043392
124,0.043520
125,0.043648
126,0.044640
127,0.045536
128,0.043424
129,0.043968
130,0.044256
131,0.046976
132,0.043520
133,0.043680
134,0.044320
135,0.046848
136,0.043136
137,0.043008
138,0.043456
139,0.044320
140,0.044000
141,0.043232
142,0.043008
143,0.046272
144,0.044480
145,0.044288
146,0.044160
147,0.044064
148,0.043488
149,0.043552
150,0.043392
151,0.043136
152,0.043136
153,0.043488
154,0.043488
155,0.044064
156,0.044704
157,0.044672
158,0.043456
159,0.043168
160,0.056832
161,0.043008
162,0.043040
163,0.043328
164,0.043456
165,0.044640
166,0.044448
167,0.044448
168,0.043840
169,0.043968
170,0.043008
171,0.043168
172,0.043264
173,0.043712
174,0.043648
175,0.045408
176,0.043328
177,0.043008
178,0.043424
179,0.043552
180,0.044032
181,0.043584
182,0.044288
183,0.044896
184,0.044160
185,0.044064
186,0.043328
187,0.044480
188,0.044896
189,0.043648
190,0.043488
191,0.044320
192,0.044992
193,0.043008
194,0.043136
195,0.043232
196,0.045024
197,0.044448
198,0.047008
199,0.043776
200,0.045312
201,0.044992
202,0.043488
203,0.043616
204,0.044480
205,0.044960
206,0.044064
207,0.043008
208,0.044064
209,0.044096
210,0.045056
211,0.043488
212,0.043232
213,0.043424
214,0.043328
215,0.043424
216,0.043392
217,0.044224
218,0.043904
219,0.043200
220,0.043136
221,0.043328
222,0.043552
223,0.043648
224,0.043616
225,0.043296
226,0.044256
227,0.044384
228,0.044032
229,0.043008
230,0.043136
231,0.043648
232,0.043424
233,0.043232
234,0.043392
235,0.043360
236,0.044096
237,0.043968
238,0.043936
239,0.044256
240,0.043008
241,0.043168
242,0.043008
243,0.043072
244,0.043328
245,0.043424
246,0.044000
247,0.043008
248,0.043008
249,0.043296
250,0.043360
251,0.043424
252,0.043872
253,0.044032
254,0.044064
255,0.043264
256,0.043168
257,0.043296
258,0.043456
259,0.043360
260,0.043008
261,0.043104
262,0.043296
263,0.043616
264,0.043904
265,0.043008
266,0.043008
267,0.043520
268,0.043744
269,0.043840
270,0.043488
271,0.043296
272,0.043072
273,0.043552
274,0.043552
275,0.043904
276,0.043200
277,0.043392
278,0.043776
279,0.043520
280,0.043392
281,0.043776
282,0.043008
283,0.043008
284,0.043264
285,0.043424
286,0.043488
287,0.043520
288,0.043936
289,0.043008
290,0.043040
291,0.043392
292,0.043456
293,0.043648
294,0.043936
295,0.044576
296,0.047360
297,0.049184
298,0.043424
299,0.043680
300,0.047584
301,0.043104
302,0.043584
303,0.043584
304,0.043552
305,0.044032
306,0.043168
307,0.043104
308,0.043360
309,0.043296
310,0.044128
311,0.042784
312,0.043008
313,0.055680
314,0.043168
315,0.043264
316,0.043520
