iteration,kernel_time_ms
0,0.295920
1,0.222320
2,0.234360
3,0.236000
4,0.255360
5,0.243120
6,0.256400
7,0.240760
8,0.254960
9,0.240080
10,0.250280
11,0.238440
12,0.250400
13,0.238200
14,0.248720
15,0.236760
16,0.249120
17,0.237080
18,0.246880
19,0.236400
20,0.252040
21,0.235560
22,0.245520
23,0.236240
24,0.247080
25,0.235360
26,0.246000
27,0.235920
28,0.247800
29,0.235680
30,0.244800
31,0.233720
32,0.246920
33,0.234920
34,0.246520
35,0.235480
36,0.244600
37,0.235000
38,0.248240
39,0.235280
40,0.246080
41,0.235000
42,0.244000
43,0.235680
44,0.245280
45,0.235400
46,0.246160
47,0.236360
48,0.245360
49,0.234800
50,0.246840
51,0.234560
52,0.245280
53,0.234000
54,0.245880
55,0.235160
56,0.244840
57,0.235000
58,0.244960
59,0.234640
60,0.246720
61,0.234560
62,0.245760
63,0.235920
64,0.245800
65,0.254680
66,0.252040
67,0.238520
68,0.249440
69,0.237440
70,0.247120
71,0.235640
72,0.246800
73,0.234320
74,0.245720
75,0.235600
76,0.244680
77,0.235680
78,0.244880
79,0.234960
80,0.245080
81,0.234800
82,0.243520
83,0.235120
84,0.244800
85,0.235320
86,0.244560
87,0.234680
88,0.245280
89,0.235000
90,0.244480
91,0.235160
92,0.245400
93,0.238360
94,0.244120
95,0.234560
96,0.245360
97,0.234120
98,0.244920
99,0.234920
100,0.245040
101,0.234240
102,0.244920
103,0.233920
104,0.243840
105,0.233640
106,0.243480
107,0.234280
108,0.244320
109,0.235000
110,0.243800
111,0.233360
112,0.248680
113,0.235040
114,0.245480
115,0.235000
116,0.244760
117,0.235000
118,0.243120
119,0.234160
120,0.244000
121,0.234080
122,0.244520
123,0.233480
124,0.244760
125,0.235240
126,0.244360
127,0.233800
128,0.243440
129,0.233800
130,0.242920
131,0.234320
132,0.245200
133,0.235560
134,0.244560
135,0.234240
136,0.245760
137,0.234040
138,0.244920
139,0.234960
140,0.243800
141,0.233800
142,0.244640
143,0.233760
144,0.244920
145,0.233760
146,0.244720
147,0.234520
148,0.244280
149,0.237120
150,0.244560
151,0.234360
152,0.244520
153,0.234880
154,0.241000
155,0.234440
156,0.246720
157,0.234840
158,0.243040
159,0.233400
160,0.244080
161,0.234000
162,0.244480
163,0.233440
164,0.242880
165,0.234040
166,0.243280
167,0.233720
168,0.247760
169,0.233880
170,0.243400
171,0.234040
172,0.243120
173,0.238960
174,0.243640
175,0.234200
176,0.244200
177,0.234280
178,0.244160
179,0.232680
180,0.245720
181,0.233600
182,0.242880
183,0.238280
184,0.243160
185,0.232800
186,0.243440
187,0.234160
188,0.244760
189,0.234680
190,0.243760
191,0.234000
192,0.244280
193,0.234840
194,0.243520
195,0.233200
196,0.244280
197,0.232760
198,0.243480
199,0.232880
200,0.271120
201,0.255960
202,0.250920
203,0.237360
204,0.246920
205,0.239400
206,0.247080
207,0.237440
208,0.247280
209,0.236360
210,0.245640
211,0.234360
212,0.247000
213,0.234240
214,0.245280
215,0.234280
216,0.244960
217,0.233680
218,0.244760
219,0.234520
220,0.246160
221,0.234960
222,0.244200
223,0.236560
224,0.245960
225,0.234360
226,0.244240
227,0.234760
228,0.245520
229,0.235040
230,0.243600
231,0.234440
232,0.244960
233,0.233880
234,0.243760
235,0.235040
236,0.245720
237,0.234120
238,0.243840
239,0.234320
240,0.244200
241,0.235080
242,0.246720
243,0.233360
244,0.246440
245,0.234880
246,0.244560
247,0.235320
248,0.244000
249,0.233240
250,0.243960
251,0.234120
252,0.245000
253,0.234360
254,0.243960
255,0.234960
256,0.245200
257,0.234520
258,0.243880
259,0.235440
260,0.245680
261,0.233640
262,0.243720
263,0.234720
264,0.245320
265,0.235240
266,0.243840
267,0.235360
268,0.245280
269,0.234080
270,0.244400
271,0.235840
272,0.244840
273,0.234560
274,0.255800
275,0.265320
276,0.252200
277,0.237000
278,0.247720
279,0.239960
280,0.248440
281,0.237320
282,0.246920
283,0.235840
284,0.245600
285,0.235120
286,0.245480
287,0.235080
288,0.245560
289,0.234760
290,0.245040
291,0.235720
292,0.245040
293,0.233480
294,0.245920
295,0.234840
296,0.244880
297,0.235040
298,0.244800
299,0.235560
300,0.244600
301,0.233520
302,0.245360
303,0.235160
304,0.245440
305,0.235520
306,0.243760
307,0.234280
308,0.244360
309,0.234480
310,0.243920
311,0.234600
312,0.243440
313,0.234160
314,0.244120
315,0.233320
316,0.248840
317,0.234840
318,0.245960
319,0.233480
320,0.244560
321,0.234760
322,0.244040
323,0.234960
324,0.243840
325,0.234440
326,0.248640
327,0.234920
328,0.244280
329,0.234160
330,0.244000
331,0.233640
332,0.244520
333,0.233720
334,0.244120
335,0.237880
336,0.244440
337,0.233600
338,0.245160
339,0.234320
340,0.245200
341,0.234240
342,0.243920
343,0.234800
344,0.244200
345,0.233920
346,0.244720
347,0.234000
348,0.243680
349,0.232960
350,0.243960
351,0.235560
352,0.244040
353,0.234640
354,0.247680
355,0.233880
356,0.243520
357,0.234080
358,0.244600
359,0.233920
360,0.243400
361,0.233720
362,0.243600
363,0.233200
364,0.244680
365,0.234640
366,0.243280
367,0.234200
368,0.244320
369,0.234000
370,0.244160
371,0.233800
372,0.241760
373,0.234480
374,0.244840
375,0.234240
376,0.245480
377,0.230840
378,0.278920
379,0.250200
380,0.250960
381,0.237480
382,0.248480
383,0.237160
384,0.246360
385,0.235200
386,0.247240
387,0.234160
388,0.245000
389,0.234600
390,0.244880
391,0.238840
392,0.245320
393,0.235360
394,0.245320
395,0.235040
396,0.244720
397,0.234720
398,0.243600
399,0.232680
400,0.245120
401,0.234080
402,0.244560
403,0.234040
404,0.244440
405,0.234160
406,0.244640
407,0.234880
408,0.244800
409,0.235600
410,0.244280
411,0.234520
412,0.245520
413,0.234480
414,0.244840
415,0.234200
416,0.244920
417,0.233920
418,0.245600
419,0.234600
420,0.245360
421,0.233640
422,0.243280
423,0.233320
424,0.243840
425,0.234600
426,0.244680
427,0.233640
428,0.245720
429,0.234800
430,0.244600
431,0.235000
432,0.243680
433,0.233680
434,0.243960
435,0.234040
436,0.245520
437,0.235280
438,0.243960
439,0.233760
440,0.243440
441,0.233360
442,0.243440
443,0.233400
444,0.243280
445,0.234080
446,0.243600
447,0.237560
448,0.242840
449,0.234480
450,0.243760
451,0.234280
452,0.243560
453,0.233880
454,0.244440
455,0.233760
456,0.244120
457,0.233480
458,0.243680
459,0.234080
460,0.245040
461,0.233400
462,0.244120
463,0.233600
464,0.244640
465,0.234520
466,0.243440
467,0.233640
468,0.244720
469,0.234640
470,0.245200
471,0.239880
472,0.276840
473,0.255960
474,0.249640
475,0.237040
476,0.246320
477,0.236560
478,0.246600
479,0.236200
480,0.251120
481,0.235120
482,0.245320
483,0.234320
484,0.249840
485,0.234920
486,0.244640
487,0.234720
488,0.245560
489,0.235640
490,0.245840
491,0.234760
492,0.246040
493,0.233320
