iteration,kernel_time_ms,queue_time_ms
0,0.244480,0.251220
1,0.240280,0.092620
2,0.234720,0.078380
3,0.183840,0.077260
4,0.184200,0.501700
5,0.184280,0.079320
6,0.185560,0.065040
7,0.185040,0.063160
8,0.182960,0.085340
9,0.186160,0.084640
10,0.182920,0.073180
11,0.184640,0.065360
12,0.185120,0.061880
13,0.186280,0.060620
14,0.184440,0.061260
15,0.183840,0.062660
16,0.185360,0.064340
17,0.185280,0.064520
18,0.184800,0.064300
19,0.184560,0.075940
20,0.186320,0.085980
21,0.185640,0.080560
22,0.184880,0.066520
23,0.184640,0.073260
24,0.184360,0.066240
25,0.184680,0.068620
26,0.183640,0.067660
27,0.185160,0.069740
28,0.185440,0.077760
29,0.186600,0.068400
30,0.186520,0.069080
31,0.184360,0.075540
32,0.184520,0.091180
33,0.184320,0.077980
34,0.183600,0.069400
35,0.185960,0.066240
36,0.182360,0.067740
37,0.185280,0.060920
38,0.183800,0.061100
39,0.183520,0.061080
40,0.183880,0.071020
41,0.183520,0.072980
42,0.186200,0.070700
43,0.183680,0.069020
44,0.185200,0.079700
45,0.184680,0.066320
46,0.183760,0.062040
47,0.184920,0.064980
48,0.185160,0.074540
49,0.185360,0.076040
50,0.183080,0.079020
51,0.185600,0.073500
52,0.185440,0.083660
53,0.186960,0.079740
54,0.185080,0.091520
55,0.184680,0.084920
56,0.186760,0.075140
57,0.183960,0.070140
58,0.184840,0.076260
59,0.185760,0.062940
60,0.184200,0.062200
61,0.184000,0.065100
62,0.185320,0.061680
63,0.185120,0.064080
64,0.183480,0.069320
65,0.185520,0.064880
66,0.183880,0.065520
67,0.185720,0.064480
68,0.184600,0.065000
69,0.184600,0.064200
70,0.184320,0.064380
71,0.185480,0.064220
72,0.185120,0.064380
73,0.184760,0.064240
74,0.185720,0.064380
75,0.185080,0.067320
76,0.185240,0.072060
77,0.185200,0.079000
78,0.185160,0.089840
79,0.184200,0.078600
80,0.184040,0.070560
81,0.184640,0.073160
82,0.183960,0.072140
83,0.185160,0.082240
84,0.185320,0.071580
85,0.184000,0.090100
86,0.183800,0.070400
87,0.185640,0.073760
88,0.183600,0.078700
89,0.184480,0.070520
90,0.183120,0.064980
91,0.182600,0.064700
92,0.183200,0.065100
93,0.183560,0.072740
94,0.182040,0.067260
95,0.184680,0.066720
96,0.184240,0.077460
97,0.185040,0.078760
98,0.185000,0.074700
99,0.184800,0.090700
100,0.184560,0.076940
101,0.186120,0.068180
102,0.184760,0.066540
103,0.184720,0.072380
104,0.184640,0.063860
105,0.185360,0.061140
106,0.184480,0.065120
107,0.184360,0.080340
108,0.183880,0.077420
109,0.184200,0.078800
110,0.183800,0.074000
111,0.184840,0.083960
112,0.185400,0.070700
113,0.183400,0.066000
114,0.184160,0.062540
115,0.184000,0.070100
116,0.185000,0.072200
117,0.184400,0.074600
118,0.186000,0.081100
119,0.184960,0.073940
120,0.184760,0.069940
121,0.182920,0.091780
122,0.183680,0.077820
123,0.184440,0.084160
124,0.186000,0.083500
125,0.182760,0.086140
126,0.184800,0.072400
127,0.185640,0.067360
128,0.185160,0.072440
129,0.186000,0.072700
130,0.183280,0.065420
131,0.185160,0.073040
132,0.183720,0.069680
133,0.186120,0.075380
134,0.185960,0.074540
135,0.183480,0.067420
136,0.184680,0.072020
137,0.185360,0.071540
138,0.185160,0.069240
139,0.187160,0.070140
140,0.185480,0.085320
141,0.183520,0.077980
142,0.187160,0.067740
143,0.186200,0.065800
144,0.182720,0.082080
145,0.185240,0.074860
146,0.185320,0.063180
147,0.185120,0.061280
148,0.184080,0.061320
149,0.185360,0.062240
150,0.184920,0.065180
151,0.184280,0.066820
152,0.182960,0.069240
153,0.185160,0.065940
154,0.183280,0.068120
155,0.183440,0.076760
156,0.183440,0.071360
157,0.182880,0.065020
158,0.185640,0.064760
159,0.184040,0.065960
160,0.184400,0.068200
161,0.183600,0.064900
162,0.183640,0.067860
163,0.185120,0.070880
164,0.185600,0.064600
165,0.184960,0.065140
166,0.184640,0.075460
167,0.185440,0.084760
168,0.183600,0.084700
169,0.184360,0.066540
170,0.183320,0.068680
171,0.183640,0.074360
172,0.184680,0.073620
173,0.184880,0.065820
174,0.185760,0.065140
175,0.184280,0.064620
176,0.184680,0.064720
177,0.184160,0.064340
178,0.184080,0.064720
179,0.184400,0.064200
180,0.185000,0.064800
181,0.186800,0.073500
182,0.184480,0.087420
183,0.185080,0.072520
184,0.186000,0.067500
185,0.185600,0.072800
186,0.183600,0.067300
187,0.183320,0.067280
188,0.186640,0.090260
189,0.185360,0.087040
190,0.183840,0.091060
191,0.184720,0.082180
192,0.184240,0.079760
193,0.186000,0.077800
194,0.185680,0.071220
195,0.185720,0.066080
196,0.184160,0.066440
197,0.184720,0.077580
198,0.183760,0.090140
199,0.184400,0.107600
200,0.185280,0.089320
201,0.184120,0.076080
202,0.184840,0.065760
203,0.184160,0.065640
204,0.183600,0.064300
205,0.183880,0.065020
206,0.185280,0.064620
207,0.183440,0.064860
208,0.186600,0.064500
209,0.185160,0.065440
210,0.184200,0.064600
211,0.183880,0.085620
212,0.183800,0.071300
213,0.182520,0.086980
214,0.186040,0.073760
215,0.185760,0.067040
216,0.184640,0.071460
217,0.184240,0.078160
218,0.183760,0.073440
219,0.183560,0.077740
220,0.183120,0.066980
221,0.186200,0.065200
222,0.185760,0.076340
223,0.185080,0.071520
224,0.183680,0.073720
225,0.183400,0.065600
226,0.184840,0.065360
227,0.184840,0.068560
228,0.184840,0.068760
229,0.183040,0.066260
230,0.184400,0.066600
231,0.185720,0.067680
232,0.184520,0.066980
233,0.184640,0.076260
234,0.182600,0.097400
235,0.184560,0.086540
236,0.184800,0.082700
237,0.185800,0.086400
238,0.183880,0.090820
239,0.183840,0.091660
240,0.185080,0.091820
241,0.183240,0.082060
242,0.183440,0.085260
243,0.185720,0.079980
244,0.182440,0.082860
245,0.184440,0.077260
246,0.183360,0.066440
247,0.185640,0.077660
248,0.183480,0.081420
249,0.186160,0.077540
250,0.184920,0.066580
251,0.184800,0.065400
252,0.184440,0.065060
253,0.184040,0.064960
254,0.185080,0.065220
255,0.184640,0.063860
256,0.184200,0.085600
257,0.184840,0.073160
258,0.184520,0.072780
259,0.184360,0.073540
260,0.185840,0.078360
261,0.186920,0.070980
262,0.182840,0.072160
263,0.188480,0.078020
264,0.185680,0.082320
265,0.182840,0.086460
266,0.185120,0.075380
267,0.187400,0.070000
268,0.184120,0.085480
269,0.185640,0.076360
270,0.183200,0.074600
271,0.182680,0.074120
272,0.185280,0.068720
273,0.184960,0.074440
274,0.184480,0.074420
275,0.185240,0.074760
276,0.186080,0.066720
277,0.186160,0.076340
278,0.183360,0.122940
279,0.185400,0.087600
280,0.183280,0.072320
281,0.186000,0.066600
282,0.183680,0.066020
283,0.185760,0.066240
284,0.184640,0.066160
285,0.184440,0.065660
286,0.185920,0.079980
287,0.185880,0.063720
288,0.183920,0.073380
289,0.184080,0.076620
290,0.183800,0.069800
291,0.183800,0.073300
292,0.184760,0.075840
293,0.184400,0.078300
294,0.183840,0.078760
295,0.185720,0.066880
296,0.183640,0.064960
297,0.185240,0.065160
298,0.184960,0.064040
299,0.184040,0.071160
300,0.184520,0.079680
301,0.185520,0.077180
302,0.185400,0.075600
303,0.185480,0.074520
304,0.184520,0.068580
305,0.183720,0.064880
306,0.186120,0.066180
307,0.184320,0.075080
308,0.183200,0.091800
309,0.185640,0.084360
310,0.184440,0.077060
311,0.182920,0.071180
312,0.184960,0.079540
313,0.184160,0.070640
314,0.185520,0.067080
315,0.184760,0.074740
316,0.184640,0.069860
317,0.183560,0.065940
318,0.184640,0.070760
319,0.184320,0.076680
320,0.184320,0.067280
321,0.186680,0.066420
322,0.183600,0.071600
323,0.186720,0.086280
324,0.184120,0.073280
325,0.185040,0.075460
326,0.185680,0.073920
327,0.184480,0.077320
328,0.184600,0.065900
329,0.182720,0.065080
330,0.184320,0.065080
331,0.184760,0.064340
332,0.185400,0.065100
333,0.183880,0.066920
334,0.183640,0.069160
335,0.184760,0.064540
336,0.185400,0.078700
337,0.184280,0.077120
338,0.184720,0.074980
339,0.184720,0.065380
340,0.182720,0.067180
341,0.184280,0.074520
342,0.184800,0.072700
343,0.186680,0.076520
344,0.184240,0.072760
345,0.183320,0.073980
346,0.183120,0.076880
347,0.185680,0.073320
348,0.183160,0.076440
349,0.183680,0.067120
350,0.182240,0.061760
351,0.183600,0.073600
352,0.184880,0.065220
353,0.184040,0.072560
354,0.185760,0.080140
355,0.186920,0.080980
356,0.183600,0.071700
357,0.186120,0.071280
358,0.183360,0.067240
359,0.184520,0.067680
360,0.184560,0.074840
361,0.185960,0.064640
362,0.183320,0.064680
363,0.183240,0.064660
364,0.185120,0.064680
365,0.185400,0.064200
366,0.184440,0.065360
367,0.185440,0.073660
368,0.184520,0.089580
369,0.183320,0.092880
370,0.183640,0.080760
371,0.185520,0.072180
372,0.182880,0.069820
373,0.184000,0.069200
374,0.185120,0.068380
375,0.183320,0.061480
376,0.184480,0.067120
377,0.182560,0.061540
378,0.185440,0.080360
379,0.183480,0.084720
380,0.184080,0.074620
381,0.185560,0.069240
382,0.182880,0.064420
383,0.184080,0.063920
384,0.183080,0.064420
385,0.185760,0.063740
386,0.185680,0.064020
387,0.184760,0.063440
388,0.185080,0.063720
389,0.184360,0.069540
390,0.184480,0.076820
391,0.182880,0.071720
392,0.185160,0.065240
393,0.186280,0.069320
394,0.183960,0.074840
395,0.183240,0.079860
396,0.184360,0.072140
397,0.184520,0.074880
398,0.183320,0.065480
399,0.184840,0.064960
400,0.184640,0.068460
401,0.184440,0.069960
402,0.185600,0.064200
403,0.185320,0.064680
404,0.184560,0.063940
405,0.184360,0.064240
406,0.183040,0.067660
407,0.185520,0.115280
408,0.184680,0.081520
409,0.185600,0.067900
410,0.186200,0.066300
411,0.185600,0.067500
412,0.184080,0.077820
413,0.186040,0.083560
414,0.182280,0.083820
415,0.186840,0.086860
416,0.184200,0.082300
417,0.183240,0.077860
418,0.184920,0.082180
419,0.184000,0.075800
420,0.185240,0.068960
421,0.183680,0.075020
422,0.184160,0.071340
423,0.184640,0.076060
424,0.183560,0.072140
425,0.182800,0.066100
426,0.182920,0.066480
427,0.186400,0.069400
428,0.183360,0.074440
429,0.184680,0.083020
430,0.183360,0.077340
431,0.183320,0.069780
432,0.184360,0.066040
433,0.186480,0.064820
