iteration,kernel_time_ms,queue_time_ms
0,0.059800,0.288100
1,0.058520,0.088480
2,0.058840,0.085660
3,0.060800,0.071200
4,0.058640,0.065660
5,0.059760,0.072340
6,0.060160,0.066340
7,0.054240,0.065560
8,0.042200,0.057600
9,0.041720,0.058280
10,0.041280,0.053320
11,0.042080,0.056120
12,0.043120,0.055980
13,0.041400,0.055500
14,0.042960,0.057740
15,0.041760,0.060440
16,0.046000,0.061900
17,0.047080,0.060820
18,0.045360,0.060240
19,0.045640,0.075860
20,0.045760,0.064840
21,0.047000,0.057200
22,0.045560,0.068540
23,0.045600,0.063900
24,0.045440,0.062560
25,0.045400,0.062800
26,0.046320,0.061680
27,0.046840,0.066360
28,0.046600,0.062200
29,0.045280,0.061920
30,0.046400,0.061800
31,0.046160,0.059840
32,0.046680,0.058220
33,0.046520,0.057680
34,0.046680,0.057220
35,0.041400,0.058500
36,0.043040,0.056560
37,0.042280,0.054420
38,0.042040,0.053260
39,0.042840,0.053260
40,0.042440,0.053660
41,0.041640,0.055760
42,0.046320,0.058880
43,0.045880,0.059320
44,0.045600,0.058800
45,0.045920,0.063480
46,0.046640,0.059660
47,0.045720,0.058980
48,0.045720,0.059080
49,0.045520,0.059580
50,0.045560,0.059640
51,0.045640,0.058860
52,0.045680,0.059020
53,0.046520,0.058880
54,0.046400,0.073200
55,0.045160,0.061340
56,0.046720,0.059180
57,0.045240,0.059060
58,0.046600,0.061000
59,0.046440,0.056860
60,0.046400,0.057600
61,0.042080,0.053520
62,0.041760,0.053240
63,0.041640,0.054160
64,0.042640,0.054060
65,0.042120,0.052980
66,0.042640,0.053160
67,0.045920,0.058180
68,0.045600,0.059200
69,0.046680,0.058520
70,0.045520,0.058480
71,0.046640,0.058860
72,0.045480,0.060420
73,0.045600,0.074700
74,0.045480,0.062320
75,0.046760,0.060540
76,0.046200,0.066500
77,0.045520,0.062180
78,0.045400,0.062100
79,0.045800,0.084700
80,0.046280,0.071820
81,0.045320,0.064880
82,0.045640,0.061960
83,0.046480,0.061220
84,0.046480,0.061220
85,0.046520,0.058180
86,0.046320,0.058680
87,0.041520,0.054080
88,0.043640,0.054060
89,0.042040,0.054760
90,0.041680,0.054320
91,0.042040,0.054060
92,0.041400,0.054000
93,0.045800,0.058900
94,0.045640,0.059360
95,0.046360,0.058640
96,0.045800,0.058400
97,0.046880,0.059020
98,0.046000,0.063200
99,0.045600,0.060500
100,0.045760,0.058840
101,0.045880,0.058720
102,0.047000,0.058900
103,0.045360,0.059940
104,0.045400,0.068700
105,0.045160,0.059440
106,0.045200,0.059500
107,0.045600,0.068400
108,0.047160,0.064140
109,0.046840,0.074160
110,0.046240,0.064960
111,0.046800,0.060100
112,0.041840,0.054360
113,0.041520,0.053980
114,0.041680,0.053620
115,0.041880,0.053620
116,0.041400,0.053900
117,0.042000,0.053200
118,0.042160,0.053240
119,0.045400,0.057900
120,0.046120,0.057780
121,0.045560,0.057840
122,0.045680,0.056720
123,0.046000,0.057100
124,0.046320,0.056880
125,0.042400,0.057400
126,0.045720,0.073780
127,0.045480,0.081820
128,0.045720,0.065980
129,0.044960,0.047540
130,0.045720,0.050880
131,0.045840,0.050360
132,0.044960,0.052140
133,0.045120,0.049880
134,0.045120,0.051080
135,0.046640,0.050360
136,0.046440,0.049660
137,0.046840,0.049760
138,0.042560,0.049740
139,0.041480,0.051620
140,0.042720,0.049680
141,0.041320,0.049780
142,0.041800,0.049600
143,0.040840,0.049360
144,0.046840,0.050860
145,0.044920,0.049980
146,0.045720,0.056080
147,0.045600,0.049700
148,0.045080,0.050520
149,0.045400,0.050800
150,0.046080,0.049720
151,0.045120,0.049080
152,0.045720,0.049480
153,0.045080,0.054720
154,0.047400,0.082500
155,0.045800,0.064700
156,0.046960,0.053340
157,0.045080,0.052920
158,0.046480,0.066020
159,0.045640,0.058860
160,0.046400,0.057500
161,0.046640,0.057260
162,0.046400,0.054100
163,0.042800,0.052400
164,0.041840,0.051960
165,0.042880,0.051620
166,0.041360,0.049140
167,0.041720,0.046980
168,0.042000,0.047600
169,0.042600,0.058000
170,0.045200,0.065500
171,0.045000,0.058100
172,0.045520,0.048780
173,0.046160,0.048040
174,0.045440,0.047060
175,0.046200,0.047300
176,0.045080,0.058120
177,0.047080,0.052320
178,0.045560,0.049540
179,0.045720,0.049380
180,0.046320,0.049180
181,0.042880,0.046520
182,0.044960,0.092340
183,0.045360,0.064940
184,0.047160,0.072540
185,0.049200,0.071100
186,0.046440,0.074660
187,0.046760,0.060240
188,0.050080,0.059320
189,0.041720,0.055380
190,0.041520,0.061180
191,0.041960,0.054640
192,0.042280,0.053520
193,0.042240,0.053860
194,0.042120,0.052480
195,0.045800,0.056900
196,0.046120,0.056780
197,0.045520,0.063180
198,0.046160,0.070040
199,0.045560,0.061740
200,0.046760,0.058240
201,0.045960,0.061740
202,0.045480,0.057920
203,0.045480,0.057320
204,0.046320,0.056580
205,0.046400,0.056700
206,0.045640,0.056960
207,0.045560,0.057540
208,0.046080,0.057020
209,0.045960,0.057140
210,0.045560,0.056440
211,0.046480,0.060520
212,0.046720,0.060180
213,0.046360,0.059740
214,0.046800,0.059400
215,0.041960,0.055040
216,0.041320,0.056580
217,0.041720,0.055080
218,0.041720,0.055480
219,0.041960,0.055340
220,0.041440,0.059960
221,0.045640,0.060560
222,0.045360,0.060840
223,0.045760,0.060640
224,0.045600,0.060000
225,0.045320,0.061580
226,0.045960,0.060240
227,0.046080,0.060620
228,0.045720,0.065780
229,0.045600,0.061900
230,0.045440,0.060360
231,0.046920,0.060380
232,0.046360,0.060240
233,0.045840,0.065960
234,0.046920,0.086580
235,0.045560,0.069140
236,0.045320,0.071180
237,0.049120,0.070980
