iteration,kernel_time_ms,queue_time_ms
0,0.043616,0.111232
1,0.044576,0.003200
2,0.043392,0.003584
3,0.043360,0.003648
4,0.043520,0.003584
5,0.043328,0.003584
6,0.043552,0.003584
7,0.044736,0.003648
8,0.044096,0.003104
9,0.044224,0.003072
10,0.043648,0.003616
11,0.043744,0.003616
12,0.043744,0.003552
13,0.045056,0.003296
14,0.043104,0.003616
15,0.043008,0.003392
16,0.043008,0.003392
17,0.043008,0.003488
18,0.043072,0.003584
19,0.043488,0.003200
20,0.043360,0.008544
21,0.043008,0.003552
22,0.043008,0.003392
23,0.044096,0.003168
24,0.044320,0.003136
25,0.044864,0.003104
26,0.052096,0.003584
27,0.043008,0.003552
28,0.043200,0.003584
29,0.048864,0.003648
30,0.043008,0.003584
31,0.047232,0.013280
32,0.043168,0.003648
33,0.044480,0.003136
34,0.043968,0.003648
35,0.044544,0.003072
36,0.043456,0.003648
37,0.051424,0.003680
38,0.043456,0.027840
39,0.043456,0.003584
40,0.043520,0.003648
41,0.043008,0.003520
42,0.044096,0.003328
43,0.042944,0.003072
44,0.044032,0.003104
45,0.042976,0.003104
46,0.044128,0.003232
47,0.044192,0.003104
48,0.044448,0.003104
49,0.043456,0.003584
50,0.043552,0.003584
51,0.043456,0.003584
52,0.043168,0.003616
53,0.043424,0.003584
54,0.043136,0.003616
55,0.043264,0.003584
56,0.043712,0.003648
57,0.043008,0.003104
58,0.043008,0.003232
59,0.044128,0.003520
60,0.044608,0.003136
61,0.044224,0.003040
62,0.043392,0.003776
63,0.043744,0.003648
64,0.043616,0.003552
65,0.043616,0.003584
66,0.043584,0.003616
67,0.043456,0.003584
68,0.043712,0.003584
69,0.043552,0.003616
70,0.043424,0.003584
71,0.043328,0.003584
72,0.043520,0.003584
73,0.044224,0.003872
74,0.044864,0.003104
75,0.043520,0.003616
76,0.044128,0.008320
77,0.044032,0.003040
78,0.043008,0.003200
79,0.043008,0.003392
80,0.044032,0.003392
81,0.045056,0.003328
82,0.044480,0.003648
83,0.043264,0.003648
84,0.043392,0.003584
85,0.043456,0.003584
86,0.043328,0.003584
87,0.043424,0.003424
88,0.043456,0.003232
89,0.044416,0.003232
90,0.044640,0.003072
91,0.043104,0.003840
92,0.042976,0.003104
93,0.044160,0.003296
94,0.045728,0.003616
95,0.044160,0.003808
96,0.044448,0.003136
97,0.044000,0.003072
98,0.042880,0.003072
99,0.043008,0.003296
100,0.043008,0.003392
101,0.043168,0.003584
102,0.043456,0.003488
103,0.043328,0.003168
104,0.043360,0.003200
105,0.043008,0.003424
106,0.043008,0.003168
107,0.043072,0.003328
108,0.043072,0.003552
109,0.043328,0.003584
110,0.043392,0.003584
111,0.043680,0.003552
112,0.043520,0.003552
113,0.044032,0.003072
114,0.043456,0.003552
115,0.043520,0.003584
116,0.043616,0.003552
117,0.043552,0.003584
118,0.043744,0.003584
119,0.048608,0.003584
120,0.043008,0.003232
121,0.044256,0.003424
122,0.043872,0.003104
123,0.044096,0.003072
124,0.043008,0.003136
125,0.043008,0.003104
126,0.043008,0.003328
127,0.044032,0.003200
128,0.044032,0.003104
129,0.043968,0.003104
130,0.044160,0.003104
131,0.043552,0.003616
132,0.043296,0.003648
133,0.043136,0.003616
134,0.043232,0.003616
135,0.043520,0.003616
136,0.043296,0.003648
137,0.043296,0.003584
138,0.043168,0.003680
139,0.043264,0.003648
140,0.043040,0.003584
141,0.043008,0.003520
142,0.043104,0.003648
143,0.043072,0.003616
144,0.043264,0.003616
145,0.043488,0.003648
146,0.043296,0.003648
147,0.043520,0.003616
148,0.043392,0.003680
149,0.043680,0.003744
150,0.043392,0.003648
151,0.043616,0.003648
152,0.043392,0.003584
153,0.043008,0.003616
154,0.043072,0.003584
155,0.043136,0.003680
156,0.043200,0.003680
157,0.043200,0.003584
158,0.043232,0.003616
