iteration,kernel_time_ms
0,0.259531
1,0.205416
2,0.207500
3,0.209531
4,0.218437
5,0.216770
6,0.216562
7,0.220677
8,0.212500
9,0.213437
10,0.212552
11,0.209375
12,0.208333
13,0.212031
14,0.212864
15,0.213489
16,0.209010
17,0.210989
18,0.214322
19,0.216093
20,0.217135
21,0.215729
22,0.214739
23,0.215104
24,0.216979
25,0.217031
26,0.214218
27,0.214739
28,0.214114
29,0.214218
30,0.215572
31,0.213593
32,0.225677
33,0.219062
34,0.211302
35,0.209947
36,0.215208
37,0.209114
38,0.214114
39,0.213072
40,0.207343
41,0.213281
42,0.211145
43,0.208229
44,0.211458
45,0.208020
46,0.211354
47,0.211458
48,0.212031
49,0.212239
50,0.211302
51,0.213593
52,0.210989
53,0.216406
54,0.222447
55,0.217500
56,0.213437
57,0.213802
58,0.210052
59,0.212343
60,0.215000
61,0.234427
62,0.245885
63,0.229791
64,0.224322
65,0.265781
66,0.234375
67,0.290885
68,0.225625
69,0.224375
70,0.216614
71,0.219375
72,0.233697
73,0.233906
74,0.213750
75,0.216718
76,0.210208
77,0.213333
78,0.213125
79,0.211354
80,0.214635
81,0.217604
82,0.211354
83,0.215677
84,0.211302
85,0.215052
86,0.212187
87,0.216406
88,0.220156
89,0.214427
90,0.217604
91,0.219739
92,0.213958
93,0.215937
94,0.214218
95,0.214895
96,0.211458
97,0.214583
98,0.217187
99,0.216145
