iteration,kernel_time_ms,queue_time_ms
0,0.271712,0.155808
1,0.267872,0.152480
2,0.265408,0.153088
3,0.266848,0.153152
4,0.264352,0.152416
5,0.265216,0.150656
6,0.264192,0.152928
7,0.266240,0.152608
8,0.264640,0.152992
9,0.266144,0.152480
10,0.264352,0.153056
11,0.265984,0.152384
12,0.265472,0.153056
13,0.265024,0.153088
14,0.264192,0.152800
15,0.266112,0.153120
16,0.265536,0.152576
17,0.265664,0.153152
18,0.265344,0.152384
19,0.265856,0.153024
20,0.265568,0.152320
21,0.266048,0.153088
22,0.264832,0.153376
23,0.265984,0.152832
24,0.264960,0.153024
25,0.266208,0.152576
26,0.264640,0.153120
27,0.266208,0.152480
28,0.264416,0.153088
29,0.266048,0.152384
30,0.265248,0.153088
31,0.265120,0.153088
32,0.264416,0.152928
33,0.266112,0.153152
34,0.264192,0.152672
35,0.266176,0.153024
36,0.265248,0.152448
37,0.266400,0.153056
38,0.265248,0.152352
39,0.265920,0.153056
40,0.264736,0.153216
41,0.266240,0.152928
42,0.264896,0.153152
43,0.266240,0.152672
44,0.264640,0.153120
45,0.266208,0.152416
46,0.264480,0.153120
47,0.266048,0.152480
48,0.264320,0.153024
49,0.265984,0.152288
50,0.264288,0.152928
51,0.266080,0.152992
52,0.264416,0.152768
53,0.266112,0.153024
54,0.264416,0.152864
55,0.266112,0.153024
56,0.264448,0.152640
57,0.265952,0.152928
58,0.265536,0.152672
59,0.266400,0.153120
60,0.265120,0.152416
61,0.266240,0.153120
62,0.264928,0.153120
63,0.266240,0.152960
64,0.264608,0.153024
65,0.266112,0.152704
66,0.264480,0.153024
67,0.266240,0.152480
68,0.264544,0.153056
69,0.266176,0.152320
70,0.264352,0.153024
71,0.265248,0.153056
72,0.264224,0.152960
73,0.266272,0.153312
74,0.264256,0.152704
75,0.266176,0.153088
76,0.265408,0.152544
77,0.266464,0.153056
78,0.265856,0.152384
79,0.266368,0.153024
80,0.265952,0.152320
81,0.266176,0.152960
82,0.264800,0.153024
83,0.266240,0.152800
84,0.264800,0.153024
85,0.266240,0.152544
86,0.264384,0.153248
87,0.266208,0.152352
88,0.264256,0.153184
89,0.265952,0.152384
90,0.264256,0.153024
91,0.267648,0.149952
92,0.264224,0.153120
93,0.266208,0.153088
94,0.264192,0.152992
95,0.266208,0.153088
96,0.265376,0.152736
97,0.266048,0.153056
98,0.265216,0.152544
99,0.266560,0.152960
100,0.265152,0.152384
101,0.266272,0.153184
102,0.264864,0.153216
103,0.265984,0.152992
104,0.264800,0.153184
105,0.266240,0.152736
106,0.264736,0.153184
107,0.266016,0.152800
108,0.264512,0.153088
109,0.266208,0.152384
110,0.264352,0.153088
111,0.265920,0.152448
112,0.264192,0.152992
113,0.266240,0.153088
114,0.264192,0.152832
115,0.265856,0.153088
116,0.264640,0.150720
117,0.266112,0.150528
118,0.264192,0.150464
119,0.266240,0.152480
120,0.264480,0.153120
121,0.265728,0.153152
122,0.264192,0.150592
123,0.266240,0.150208
124,0.265376,0.150016
125,0.265056,0.153024
126,0.264672,0.150624
127,0.265472,0.153120
128,0.265248,0.150304
129,0.266368,0.149952
130,0.264800,0.150688
131,0.265952,0.152864
132,0.264704,0.150656
133,0.266240,0.152992
134,0.264576,0.153088
135,0.266240,0.152768
136,0.264672,0.153216
137,0.266240,0.152544
138,0.264576,0.153088
139,0.266208,0.152320
140,0.264384,0.153056
141,0.266048,0.152416
142,0.264192,0.152992
143,0.265088,0.153056
144,0.264192,0.152736
145,0.266144,0.153056
146,0.265280,0.152608
147,0.266016,0.153088
148,0.265216,0.152352
149,0.266368,0.153120
150,0.265536,0.152352
151,0.266112,0.153088
152,0.265056,0.153056
153,0.265984,0.152832
154,0.264544,0.153024
155,0.266144,0.152608
156,0.264640,0.153088
157,0.266240,0.152384
158,0.264416,0.152992
159,0.266048,0.152320
160,0.264256,0.152992
161,0.266656,0.153248
162,0.265600,0.152832
163,0.265632,0.153376
164,0.265664,0.152576
165,0.265632,0.153120
166,0.265696,0.152512
167,0.266432,0.153120
168,0.264032,0.153408
169,0.266176,0.153056
170,0.264896,0.153024
171,0.266240,0.152928
172,0.264608,0.152992
173,0.266240,0.152672
174,0.264576,0.153024
175,0.266240,0.152448
176,0.264448,0.153152
177,0.266048,0.152416
178,0.264256,0.153088
179,0.265152,0.153056
180,0.264192,0.152928
181,0.266272,0.153120
182,0.265472,0.152704
183,0.266048,0.153088
184,0.265760,0.152448
185,0.266656,0.152960
186,0.264672,0.153408
187,0.266144,0.152992
188,0.265984,0.152320
189,0.266144,0.152928
190,0.264736,0.153024
191,0.266176,0.152768
