iteration,kernel_time_ms,queue_time_ms
0,0.294560,0.286840
1,0.215040,0.096460
2,0.220320,0.082080
3,0.225440,0.062960
4,0.228560,0.302140
5,0.230600,0.107400
6,0.231280,0.078420
7,0.284120,0.178280
8,0.235160,0.081840
9,0.235720,0.075780
10,0.232520,0.078180
11,0.232760,0.069240
12,0.232240,0.077360
13,0.232360,0.080340
14,0.230560,0.069240
15,0.231240,0.067860
16,0.230640,0.066860
17,0.231520,0.067380
18,0.229800,0.067700
19,0.231040,0.066960
20,0.229840,0.066860
21,0.231160,0.087340
22,0.229600,0.081600
23,0.229800,0.090000
24,0.230560,0.081440
25,0.231440,0.067860
26,0.230120,0.067380
27,0.229000,0.081200
28,0.230720,0.073480
29,0.230320,0.088080
30,0.230000,0.075600
31,0.230520,0.065480
32,0.232520,0.064280
33,0.230200,0.063800
34,0.229440,0.064260
35,0.230440,0.063560
36,0.231200,0.063800
37,0.230440,0.063860
38,0.229560,0.064040
39,0.230480,0.063720
40,0.229840,0.066360
41,0.230680,0.064320
42,0.233000,0.069200
43,0.230160,0.086140
44,0.230560,0.075740
45,0.232040,0.066760
46,0.231800,0.070000
47,0.231320,0.097680
48,0.231760,0.092340
49,0.231720,0.082880
50,0.230920,0.081580
51,0.231000,0.075900
52,0.230960,0.068540
53,0.230680,0.070120
54,0.229560,0.065340
55,0.229720,0.064680
56,0.230040,0.072760
57,0.229920,0.069680
58,0.230560,0.068640
59,0.229920,0.065380
60,0.230880,0.064620
61,0.229320,0.095380
62,0.230720,0.077580
63,0.231840,0.078660
64,0.234600,0.074800
65,0.228880,0.072520
66,0.230040,0.065560
67,0.231240,0.064460
68,0.230320,0.064180
69,0.229480,0.069720
70,0.231360,0.074440
71,0.228480,0.064220
72,0.230160,0.064640
73,0.230920,0.064080
74,0.230240,0.064860
75,0.231560,0.065940
76,0.230160,0.070040
77,0.230960,0.064640
78,0.230520,0.064780
79,0.229400,0.064800
80,0.231200,0.064200
81,0.228720,0.065380
82,0.229400,0.073800
83,0.231000,0.068800
84,0.231320,0.069680
85,0.230480,0.064720
86,0.229400,0.064900
87,0.231640,0.068060
88,0.230360,0.080840
89,0.231400,0.069000
90,0.229280,0.078120
91,0.230080,0.069920
92,0.229560,0.065040
93,0.230160,0.066340
94,0.229880,0.072120
95,0.229080,0.069320
96,0.231280,0.073720
97,0.230200,0.066000
98,0.229680,0.070120
99,0.229880,0.065120
100,0.230040,0.065960
101,0.230320,0.072080
102,0.229760,0.074040
103,0.234440,0.071760
104,0.230360,0.079340
105,0.230160,0.073840
106,0.230440,0.066060
107,0.228680,0.066620
108,0.230280,0.068820
109,0.231200,0.064500
110,0.229120,0.070180
111,0.230200,0.070200
112,0.229320,0.065280
113,0.229160,0.064440
114,0.230360,0.067240
115,0.230880,0.064220
116,0.229960,0.063640
117,0.229720,0.064080
118,0.228960,0.064540
119,0.230320,0.063980
120,0.231600,0.069000
121,0.254120,0.088580
122,0.260480,0.122320
123,0.233320,0.081380
124,0.230440,0.071060
125,0.231440,0.065960
126,0.230400,0.070200
127,0.230080,0.075920
128,0.230840,0.075360
129,0.231120,0.065680
130,0.229520,0.073380
131,0.230280,0.074020
132,0.230840,0.064960
133,0.231040,0.065060
134,0.231480,0.065420
135,0.230760,0.063940
136,0.230920,0.064580
137,0.229960,0.064740
138,0.228440,0.066160
139,0.230000,0.083700
140,0.230160,0.075540
141,0.232400,0.065500
142,0.230120,0.065280
143,0.229760,0.063540
144,0.231280,0.079720
145,0.229480,0.069920
146,0.229520,0.071780
147,0.229040,0.076860
148,0.229680,0.065820
149,0.230640,0.064860
150,0.229760,0.064840
151,0.229960,0.063840
152,0.229840,0.063960
