iteration,kernel_time_ms
0,0.335520
1,0.336192
2,0.336064
3,0.335552
4,0.336352
5,0.335136
6,0.336224
7,0.335488
8,0.337920
9,0.336736
10,0.340416
11,0.337024
12,0.341920
13,0.336736
14,0.337984
15,0.337856
16,0.337888
17,0.337920
18,0.341760
19,0.337920
20,0.338144
21,0.343488
22,0.345984
23,0.340768
24,0.342688
25,0.333472
26,0.336480
27,0.333760
28,0.334176
29,0.333760
30,0.335360
31,0.340960
32,0.334752
33,0.332928
34,0.338400
35,0.333600
36,0.334944
37,0.332992
38,0.336736
39,0.332384
40,0.334976
41,0.333280
42,0.337728
43,0.375776
44,0.335424
45,0.334272
46,0.348384
47,0.343520
48,0.336864
49,0.335872
50,0.336736
51,0.334880
52,0.338016
53,0.333824
54,0.338272
55,0.336576
56,0.338912
57,0.335456
58,0.343808
59,0.343232
60,0.341024
61,0.338176
62,0.335136
63,0.331520
64,0.332064
65,0.331776
66,0.354880
67,0.331776
68,0.333824
69,0.330784
70,0.350272
71,0.331616
72,0.333536
73,0.331456
74,0.333216
75,0.331680
76,0.334176
77,0.331584
78,0.332608
79,0.331808
80,0.377664
81,0.335232
82,0.335872
83,0.333824
84,0.335488
85,0.334496
86,0.336736
87,0.331520
88,0.335520
89,0.333376
90,0.335488
91,0.331776
92,0.335808
93,0.335872
94,0.336736
95,0.336352
96,0.337920
97,0.333184
98,0.332480
99,0.331008
100,0.333792
101,0.330816
102,0.334816
103,0.333888
104,0.334656
105,0.331648
106,0.339744
107,0.336768
108,0.338336
109,0.330240
110,0.335424
111,0.329184
112,0.329728
113,0.328768
114,0.329600
115,0.327808
116,0.329760
117,0.328512
118,0.329536
119,0.328064
120,0.329792
121,0.329024
122,0.329760
123,0.327680
124,0.329824
125,0.334912
126,0.329600
127,0.328448
128,0.351360
129,0.349504
130,0.331552
131,0.344064
132,0.333280
133,0.332224
134,0.333568
135,0.333088
136,0.331840
137,0.331488
138,0.334080
139,0.329920
140,0.334272
141,0.333632
142,0.333824
143,0.331680
144,0.337984
145,0.335872
146,0.337440
147,0.330112
148,0.331648
149,0.328032
150,0.328480
151,0.327264
152,0.328352
153,0.327968
154,0.328064
155,0.327424
156,0.329504
157,0.327840
158,0.327744
159,0.327968
160,0.328768
161,0.326464
162,0.329184
163,0.327424
164,0.329120
165,0.327776
166,0.346976
167,0.350752
168,0.330048
169,0.329248
170,0.332800
171,0.327392
172,0.330016
173,0.329888
174,0.329184
175,0.327808
176,0.329856
177,0.329024
178,0.329632
179,0.329344
180,0.332160
181,0.329504
182,0.332288
183,0.330016
184,0.333152
185,0.330656
186,0.331872
187,0.329984
188,0.330496
189,0.331680
190,0.333824
191,0.331936
192,0.331776
193,0.335552
194,0.338368
195,0.334976
196,0.333856
197,0.327936
198,0.328000
199,0.327680
200,0.328192
201,0.327424
202,0.327808
203,0.327456
204,0.329344
205,0.327328
206,0.329120
207,0.327648
208,0.328480
209,0.327488
210,0.327680
211,0.327392
212,0.329120
213,0.327552
214,0.328160
215,0.348128
216,0.343552
217,0.330176
218,0.333376
219,0.329824
220,0.332416
221,0.337792
222,0.331968
223,0.330752
224,0.332672
225,0.330400
226,0.330112
227,0.331488
228,0.333888
229,0.331840
230,0.332352
231,0.335616
232,0.337312
233,0.334848
234,0.332608
235,0.329312
236,0.328480
237,0.327552
238,0.327744
239,0.327296
240,0.328704
241,0.327488
242,0.328896
243,0.326208
244,0.328608
245,0.327680
246,0.328448
247,0.326720
248,0.328096
249,0.327456
250,0.329312
251,0.327648
252,0.329344
253,0.348736
254,0.349376
255,0.328864
256,0.329728
257,0.330048
258,0.329664
259,0.330048
260,0.331424
261,0.328768
262,0.331264
263,0.328544
264,0.329728
265,0.330656
266,0.331776
267,0.331616
268,0.330144
269,0.331648
270,0.332736
271,0.331744
272,0.332800
273,0.331552
274,0.331744
275,0.329728
276,0.333824
277,0.331616
278,0.333920
279,0.333280
280,0.336832
281,0.336448
282,0.335680
283,0.335936
284,0.329216
285,0.327680
286,0.329280
287,0.327520
288,0.330528
289,0.327200
290,0.329120
291,0.326368
292,0.328096
293,0.327296
294,0.328640
295,0.326208
296,0.328352
297,0.327552
298,0.329696
299,0.327840
300,0.328416
301,0.327744
302,0.359456
303,0.346304
304,0.331776
305,0.330464
306,0.331424
307,0.330336
308,0.331552
309,0.331712
310,0.331776
311,0.330752
312,0.330912
313,0.330752
314,0.333472
315,0.332128
316,0.333888
317,0.333312
318,0.335904
319,0.336928
320,0.334688
321,0.334688
322,0.329632
323,0.327264
324,0.328480
325,0.326464
326,0.328896
327,0.326592
328,0.328352
329,0.327456
330,0.329664
331,0.326368
332,0.328416
333,0.327136
334,0.327712
335,0.327904
336,0.328000
337,0.327360
338,0.328768
339,0.326432
340,0.358976
341,0.338048
342,0.331232
343,0.329440
344,0.329728
345,0.328256
346,0.329728
347,0.328032
348,0.331072
349,0.329312
350,0.333824
351,0.328352
352,0.328032
353,0.329824
354,0.333664
355,0.331008
356,0.330912
357,0.331776
358,0.331424
359,0.330272
360,0.331776
361,0.329952
362,0.362048
363,0.333440
364,0.330368
365,0.332192
366,0.337920
367,0.337152
368,0.337152
369,0.332416
370,0.334848
371,0.326656
372,0.329344
373,0.327680
374,0.329120
375,0.327680
376,0.329664
377,0.328192
378,0.329280
379,0.327520
380,0.331744
381,0.326592
382,0.328288
383,0.327488
384,0.328160
385,0.327616
386,0.328480
387,0.327328
388,0.329440
389,0.346464
390,0.329728
391,0.331520
392,0.332640
393,0.331776
394,0.331008
395,0.332320
396,0.331552
397,0.331776
398,0.332960
399,0.330400
400,0.332384
401,0.333632
402,0.331456
403,0.333440
404,0.336352
405,0.335904
406,0.337696
407,0.333536
408,0.336256
409,0.327392
410,0.329408
411,0.327680
412,0.329568
413,0.327936
414,0.329536
415,0.327520
416,0.329376
417,0.327648
418,0.328896
419,0.327680
420,0.328384
421,0.327680
422,0.329440
423,0.328928
424,0.329728
425,0.329952
426,0.329312
427,0.369888
428,0.330176
429,0.328576
430,0.331264
431,0.329376
432,0.330688
433,0.329728
434,0.330784
435,0.329312
436,0.329792
437,0.329184
438,0.329536
439,0.328480
440,0.333408
441,0.331360
442,0.333664
443,0.329888
444,0.334688
445,0.329728
446,0.332064
447,0.331360
448,0.329728
449,0.332192
450,0.334880
451,0.332096
452,0.333152
453,0.337344
454,0.337952
455,0.335872
456,0.333312
457,0.332864
458,0.328352
459,0.327456
460,0.328576
461,0.327680
462,0.329184
463,0.327680
464,0.329824
465,0.362496
466,0.331488
467,0.327680
468,0.330720
469,0.327680
470,0.329888
471,0.328544
472,0.329056
473,0.327904
474,0.329344
475,0.327808
476,0.328064
477,0.329600
478,0.333472
479,0.329344
480,0.333216
481,0.330304
482,0.333376
483,0.329920
484,0.331776
485,0.330464
486,0.329728
487,0.331680
488,0.335232
489,0.331904
490,0.332992
491,0.336352
492,0.337152
493,0.335712
494,0.331776
495,0.329728
496,0.328864
497,0.327296
498,0.328352
499,0.327680
500,0.327680
501,0.327424
502,0.328768
503,0.326560
504,0.328448
505,0.327136
506,0.328000
507,0.327680
508,0.328192
509,0.327680
510,0.328832
511,0.326688
512,0.328896
513,0.348160
514,0.352256
515,0.330144
516,0.330848
517,0.330656
518,0.328416
519,0.329376
520,0.330592
521,0.329472
522,0.331104
523,0.327680
524,0.331232
525,0.328768
526,0.330016
527,0.331776
528,0.332992
529,0.331520
530,0.332832
531,0.331776
532,0.332160
533,0.331072
534,0.331392
535,0.329728
536,0.333632
537,0.331904
538,0.333856
539,0.333568
540,0.337536
541,0.336064
542,0.334464
543,0.335232
544,0.328992
545,0.329120
546,0.328512
547,0.343808
548,0.329440
549,0.329952
550,0.329408
551,0.351904
552,0.346112
553,0.329760
