iteration,kernel_time_ms,queue_time_ms
0,0.140192,0.156704
1,0.134048,0.153280
2,0.134464,0.160576
3,0.133952,0.153248
4,0.134656,0.152576
5,0.134336,0.153056
6,0.133376,0.153408
7,0.134880,0.160192
8,0.134016,0.148416
9,0.133760,0.148416
10,0.134368,0.157792
11,0.133376,0.153312
12,0.133728,0.153312
13,0.134976,0.152768
14,0.133120,0.153280
15,0.133760,0.159648
16,0.134016,0.153344
17,0.134752,0.152736
18,0.133184,0.165408
19,0.133728,0.153248
20,0.134720,0.152736
21,0.133248,0.153472
22,0.133888,0.153312
23,0.134592,0.152576
24,0.134272,0.153056
25,0.133312,0.153312
26,0.134624,0.167904
27,0.133888,0.153472
28,0.134368,0.152768
29,0.133120,0.153312
30,0.133504,0.153408
31,0.133856,0.153312
32,0.134784,0.152736
33,0.133120,0.153216
34,0.133568,0.206528
35,0.133824,0.153344
36,0.134176,0.153056
37,0.133312,0.153152
38,0.133504,0.153280
39,0.133952,0.153344
40,0.134592,0.152736
41,0.134176,0.153120
42,0.134400,0.167840
43,0.133600,0.153504
44,0.133856,0.153472
45,0.133888,0.153408
46,0.134272,0.152960
47,0.133376,0.153280
48,0.133824,0.153280
49,0.134464,0.152608
50,0.135168,0.169664
51,0.133120,0.153248
52,0.133920,0.153248
53,0.133952,0.158240
54,0.134432,0.152672
55,0.133344,0.153344
56,0.133760,0.153472
57,0.134592,0.152576
58,0.135008,0.169536
59,0.134496,0.152928
60,0.133248,0.153344
61,0.133344,0.158176
62,0.133696,0.153344
63,0.133120,0.153280
64,0.133568,0.153344
65,0.133760,0.153664
66,0.134208,0.167040
67,0.134304,0.153088
68,0.133440,0.153280
69,0.134368,0.158112
70,0.133376,0.153568
71,0.133920,0.153408
72,0.134656,0.152736
73,0.133120,0.153248
74,0.133504,0.153344
75,0.134016,0.153376
76,0.134688,0.152704
77,0.133792,0.160672
78,0.134816,0.152576
79,0.134176,0.153088
80,0.133952,0.150880
81,0.134528,0.152544
82,0.133120,0.153440
83,0.133696,0.153408
84,0.134656,0.152704
85,0.133504,0.160672
86,0.133920,0.153376
87,0.134848,0.152800
88,0.133664,0.150880
89,0.134784,0.152480
90,0.134720,0.152768
91,0.133280,0.153216
92,0.133568,0.153344
93,0.135008,0.167072
94,0.134272,0.152928
95,0.133568,0.153344
96,0.133312,0.158144
97,0.133824,0.153280
98,0.134784,0.152576
99,0.134368,0.152960
100,0.133184,0.153440
101,0.133472,0.168320
102,0.134720,0.152640
103,0.133120,0.153120
104,0.133120,0.158048
105,0.133536,0.153280
106,0.134080,0.153248
107,0.134816,0.155488
108,0.133344,0.153312
109,0.168416,0.167968
