iteration,kernel_time_ms,queue_time_ms
0,1.086093,3.087982
1,1.077239,0.184094
2,1.036250,0.200431
3,1.045833,0.235096
4,1.092239,0.340135
5,1.054947,0.119702
6,1.044166,0.155796
7,1.056197,0.127844
8,1.085260,0.135360
9,1.091770,0.161729
10,1.035677,0.214263
11,1.077135,0.243033
12,1.065052,0.315558
13,1.088437,0.173438
14,1.054375,0.188641
15,1.107604,0.496044
16,1.064270,0.180544
17,1.073437,0.212281
18,1.047604,0.245987
19,1.119375,0.083460
20,1.036562,0.159723
21,1.063958,0.244583
22,1.081770,0.125942
23,1.066302,0.124844
24,1.043177,0.114571
25,1.060260,0.129460
26,1.112187,0.223935
27,1.102552,0.155575
28,1.061250,0.116058
29,1.070364,0.213613
30,1.024479,0.129523
31,1.056302,0.241067
32,1.052760,0.109058
33,1.047500,0.069975
34,1.123385,0.100107
35,1.068020,0.168494
36,1.045781,0.152531
37,1.064114,0.101517
38,1.054166,0.063463
39,1.057500,0.090119
40,1.048125,0.097680
41,1.050156,0.086431
42,1.084843,0.194564
43,1.056197,0.162633
44,1.046250,0.136388
45,1.104322,0.117225
46,1.044895,0.160887
47,1.043802,0.114194
48,1.045312,0.097779
49,1.059635,0.092869
50,1.058020,0.211788
51,1.048437,0.131083
52,1.048489,0.116398
53,1.059114,0.098629
54,1.050208,0.144453
55,1.040937,0.152185
56,1.054479,0.123400
57,1.051093,0.109514
58,1.074427,0.249419
59,1.057604,0.098010
60,1.040468,0.074819
61,1.048645,0.318606
62,1.057656,0.249921
63,1.041510,0.129475
64,1.043229,0.080391
65,1.049166,0.110129
66,1.061822,0.095145
67,1.042031,0.229439
68,1.040989,0.108741
69,1.054114,0.092692
70,1.080156,0.095668
71,1.074583,0.175479
72,1.035468,0.141889
73,1.043541,0.154315
74,1.056822,0.111896
75,1.068958,0.198033
76,1.047760,0.128173
77,1.056041,0.087015
78,1.073541,0.107937
79,1.043177,0.147094
80,1.042656,0.087617
81,1.046458,0.096237
82,1.060312,0.086704
83,1.051770,0.202133
84,1.069062,0.132727
85,1.068802,0.129496
86,1.058750,0.108237
87,1.049947,0.108646
88,1.044687,0.259981
89,1.046093,0.117535
90,1.061354,0.100142
91,1.065312,0.131062
92,1.058489,0.353700
93,1.055156,0.079117
94,1.064114,0.102833
95,1.053385,0.098050
96,1.042395,0.052212
97,1.053541,0.115846
98,1.070260,0.089925
99,1.063333,0.204681
100,1.045989,0.094475
101,1.055833,0.058116
102,1.065937,0.091075
103,1.055677,0.089352
104,1.043697,0.090762
105,1.046145,0.087846
106,1.046458,0.090893
107,1.072760,0.197225
108,1.026302,0.178675
109,1.044687,0.129281
110,1.056666,0.073759
111,1.093489,0.082055
112,1.065677,0.134550
113,1.055677,0.154466
114,1.041041,0.116186
115,1.103281,0.227204
116,1.041093,0.185110
117,1.051354,0.094331
118,1.060677,0.064708
119,1.059427,0.136479
120,1.045416,0.081602
121,1.052968,0.094209
122,1.059791,0.096365
123,1.087500,0.171383
124,1.045156,0.145035
125,1.055781,0.228381
126,1.051979,0.120735
