iteration,kernel_time_ms
0,0.180736
1,0.166688
2,0.167808
3,0.167424
4,0.167680
5,0.166624
6,0.167904
7,0.165888
8,0.167776
9,0.166496
10,0.166848
11,0.167456
12,0.169984
13,0.169952
14,0.167936
15,0.166496
16,0.167872
17,0.167648
18,0.174752
19,0.187392
20,0.167936
21,0.168672
22,0.169568
23,0.169248
24,0.169440
25,0.168800
26,0.167968
27,0.170400
28,0.169248
29,0.177152
30,0.169408
31,0.170112
32,0.169696
33,0.169472
34,0.168448
35,0.168672
36,0.168416
37,0.167936
38,0.169760
39,0.167520
40,0.170080
41,0.168928
42,0.172032
43,0.168480
44,0.169536
45,0.171712
46,0.168960
47,0.169664
48,0.173600
49,0.172384
50,0.172352
51,0.168608
52,0.170752
53,0.171712
54,0.170976
55,0.169984
56,0.167552
57,0.177184
58,0.168288
59,0.166816
60,0.167584
61,0.167296
62,0.168768
63,0.180352
64,0.167936
65,0.167456
66,0.166816
67,0.165888
68,0.167936
69,0.167296
70,0.167904
71,0.167456
72,0.167648
73,0.167104
74,0.167936
75,0.167456
76,0.166880
77,0.167392
78,0.167616
79,0.167296
80,0.167520
81,0.167712
82,0.167488
83,0.167584
84,0.167648
85,0.167136
86,0.167936
87,0.167328
88,0.167936
89,0.167232
90,0.167904
91,0.186208
92,0.189312
93,0.169440
94,0.167744
95,0.169216
96,0.169312
97,0.179744
98,0.168800
99,0.167808
100,0.167616
101,0.168064
102,0.168000
103,0.184704
104,0.169408
105,0.168672
106,0.169600
107,0.167648
108,0.168128
109,0.168096
110,0.168064
111,0.167936
112,0.169600
113,0.168288
114,0.168512
115,0.168352
116,0.169280
117,0.167584
118,0.171936
119,0.166560
120,0.169824
121,0.169248
122,0.168864
123,0.168448
124,0.172032
125,0.168896
126,0.169344
127,0.167936
128,0.169632
129,0.167936
130,0.167936
131,0.169888
132,0.169504
133,0.172128
134,0.170336
135,0.169504
136,0.171520
137,0.167776
138,0.171872
139,0.169376
140,0.169888
141,0.173536
142,0.172896
143,0.172032
144,0.171200
145,0.169856
146,0.172512
147,0.168928
148,0.171488
149,0.168512
150,0.167744
151,0.166752
152,0.167936
153,0.167232
154,0.168064
155,0.167328
156,0.166848
157,0.167040
158,0.167840
159,0.166592
160,0.167936
161,0.166976
162,0.167520
163,0.167808
164,0.167936
165,0.167616
166,0.167712
167,0.165632
168,0.164512
169,0.164960
170,0.164352
171,0.164448
172,0.165888
173,0.165792
174,0.165408
175,0.174336
176,0.165824
177,0.165024
178,0.164480
179,0.164800
180,0.168064
181,0.167072
182,0.164768
183,0.165280
184,0.165728
185,0.164736
186,0.165824
187,0.165792
188,0.166752
189,0.165824
190,0.165888
191,0.167968
192,0.167360
193,0.167840
194,0.166688
195,0.165792
196,0.166336
197,0.168960
198,0.166592
199,0.174464
200,0.166112
201,0.166208
202,0.165888
203,0.165888
204,0.167520
205,0.166784
206,0.166368
207,0.166368
208,0.167680
209,0.168576
210,0.165792
211,0.168000
212,0.167392
213,0.165920
214,0.171008
215,0.169120
216,0.171168
217,0.169408
218,0.167968
219,0.169216
220,0.168096
221,0.168704
222,0.166432
223,0.164128
224,0.165216
225,0.164512
226,0.164896
227,0.165120
228,0.164768
229,0.164352
230,0.165408
231,0.164576
232,0.164576
233,0.164864
234,0.165440
235,0.164480
236,0.164192
237,0.164992
238,0.165088
239,0.164448
240,0.165472
241,0.164512
242,0.165792
243,0.164768
244,0.165568
245,0.167680
246,0.165760
247,0.165248
248,0.164800
249,0.165120
250,0.165568
251,0.163904
252,0.165504
253,0.164096
254,0.165504
255,0.164288
256,0.165856
257,0.163840
258,0.176640
259,0.183648
260,0.176064
261,0.165920
262,0.165888
263,0.164256
264,0.165920
265,0.165120
266,0.166496
267,0.164032
268,0.165760
269,0.165728
270,0.165568
271,0.165024
272,0.167232
273,0.182880
274,0.166560
275,0.165056
276,0.165984
277,0.165536
278,0.165888
279,0.163936
280,0.167008
281,0.165024
282,0.166240
283,0.164672
284,0.166720
285,0.164864
286,0.167904
287,0.164224
288,0.169312
289,0.165792
290,0.166176
291,0.165888
292,0.168512
293,0.165472
294,0.166432
295,0.165216
296,0.166336
297,0.164512
298,0.166656
299,0.165888
300,0.167104
301,0.165888
302,0.167584
303,0.167040
304,0.168416
305,0.165056
306,0.168608
307,0.166080
308,0.167616
309,0.169984
310,0.169984
311,0.182240
312,0.168256
313,0.165888
314,0.181984
315,0.167552
316,0.167936
317,0.164928
318,0.164800
319,0.166560
320,0.166016
321,0.163840
322,0.165472
323,0.163840
324,0.165408
325,0.164032
326,0.165600
327,0.164960
328,0.165472
329,0.163840
330,0.164736
331,0.165184
332,0.165856
333,0.164864
334,0.165536
335,0.163840
336,0.164896
337,0.163872
338,0.164512
339,0.163936
340,0.165408
341,0.163840
342,0.165376
343,0.163904
344,0.165568
345,0.163840
346,0.164768
347,0.163936
348,0.165504
349,0.164352
350,0.164864
351,0.163936
352,0.184832
353,0.166464
354,0.165888
355,0.165376
356,0.166272
357,0.165600
358,0.166336
359,0.184320
360,0.165888
361,0.167616
362,0.167616
363,0.165824
364,0.166400
365,0.166688
366,0.167712
367,0.165888
368,0.165888
369,0.165920
370,0.167040
371,0.165856
372,0.166432
373,0.164864
374,0.167744
375,0.165888
376,0.181120
377,0.166016
378,0.166080
379,0.167616
380,0.167168
381,0.165888
382,0.170816
383,0.169952
384,0.170592
385,0.165888
386,0.167936
387,0.169312
388,0.168320
389,0.167456
390,0.165600
391,0.164128
392,0.165536
393,0.164256
394,0.165888
395,0.163840
396,0.165760
397,0.175520
398,0.165888
399,0.163872
400,0.164768
401,0.164832
402,0.164640
403,0.163680
404,0.165600
405,0.163840
406,0.164672
407,0.164832
408,0.164448
409,0.164640
410,0.164736
411,0.164832
412,0.165120
413,0.164128
414,0.165536
415,0.164288
416,0.164352
417,0.163840
418,0.164992
419,0.164384
420,0.164416
421,0.164064
422,0.165824
423,0.164384
424,0.165888
425,0.164800
426,0.184352
427,0.180608
428,0.166848
429,0.165760
430,0.165760
431,0.165504
432,0.165888
433,0.165280
434,0.166656
435,0.164128
436,0.166464
437,0.163840
438,0.166016
439,0.163840
440,0.165888
441,0.163936
442,0.165760
443,0.164992
444,0.166304
445,0.165472
446,0.165472
447,0.164448
448,0.166656
449,0.165312
450,0.166400
451,0.164608
452,0.167168
453,0.166464
454,0.166080
455,0.165504
456,0.167680
457,0.165888
458,0.165888
459,0.167264
460,0.167392
461,0.166176
462,0.167584
463,0.165600
464,0.166080
465,0.165408
466,0.167584
467,0.164704
468,0.165888
469,0.165824
470,0.167648
471,0.167936
472,0.166464
473,0.165760
474,0.168160
475,0.165920
476,0.167552
477,0.168448
478,0.170432
479,0.169120
480,0.166720
481,0.166720
482,0.169824
483,0.167584
484,0.167616
485,0.164128
486,0.165536
487,0.164064
488,0.163872
489,0.164096
490,0.165440
491,0.164256
492,0.165632
493,0.163840
494,0.165536
495,0.165024
496,0.164128
497,0.164736
498,0.165056
499,0.163936
500,0.165504
501,0.164032
502,0.166400
503,0.163840
504,0.164448
505,0.163840
506,0.164800
507,0.164160
508,0.165888
509,0.164224
510,0.165216
511,0.167392
512,0.166208
513,0.164576
514,0.180032
515,0.184096
516,0.164768
517,0.165120
518,0.164800
519,0.164384
520,0.164480
521,0.165696
522,0.165632
523,0.165280
524,0.166368
525,0.165568
526,0.166176
527,0.166624
528,0.165824
529,0.167648
530,0.165888
531,0.176128
532,0.166304
533,0.167872
534,0.166240
535,0.165600
536,0.165664
537,0.167008
538,0.165696
539,0.165792
540,0.167424
541,0.164608
542,0.166976
543,0.173184
544,0.167616
545,0.170688
546,0.166912
547,0.167488
548,0.172256
549,0.165984
550,0.171648
551,0.169824
552,0.169856
553,0.166688
554,0.167520
555,0.169344
556,0.166816
557,0.167936
558,0.165888
559,0.164192
560,0.166176
561,0.164224
562,0.165376
563,0.164192
564,0.164992
565,0.164832
566,0.165152
567,0.164032
568,0.164192
569,0.163840
570,0.165568
571,0.164224
572,0.165120
573,0.164128
574,0.164608
575,0.164128
576,0.164800
577,0.163840
578,0.164224
579,0.164896
580,0.164288
581,0.163840
582,0.165600
583,0.164160
584,0.165568
585,0.163872
586,0.165504
587,0.164064
588,0.164352
589,0.163840
590,0.165728
591,0.180224
592,0.165216
593,0.164256
594,0.185216
595,0.182912
596,0.165888
597,0.164640
598,0.165376
599,0.165504
600,0.165632
601,0.165856
602,0.165920
603,0.164800
604,0.167264
605,0.166944
606,0.164704
607,0.165504
608,0.165888
609,0.168096
610,0.165760
611,0.164864
612,0.165888
613,0.164896
614,0.164416
615,0.163840
616,0.167488
617,0.164480
618,0.166240
619,0.164480
620,0.165920
621,0.165856
622,0.172608
623,0.165088
624,0.168000
625,0.165984
626,0.166208
627,0.165632
628,0.167808
629,0.166848
630,0.166784
631,0.165504
632,0.166112
633,0.165312
634,0.167936
635,0.165472
636,0.165536
637,0.165696
638,0.167520
639,0.168544
640,0.165952
