precision,N,IT,total_kernel,total_read,total_write,write_f,write_tmp,write_u,average_queue
double,1024,10,0.747,1.602,3.845,1.282,1.281,1.282,0.180
double,1024,10,0.745,1.603,3.845,1.282,1.282,1.282,0.181
double,1024,10,0.747,1.603,3.853,1.285,1.284,1.285,0.180
double,1024,10,0.751,1.601,3.846,1.282,1.282,1.282,0.184
double,1024,10,0.745,1.624,3.855,1.285,1.285,1.285,0.178
double,1024,10,0.742,1.622,3.855,1.285,1.285,1.285,0.179
double,1024,10,0.746,1.620,3.854,1.285,1.285,1.285,0.183
double,1024,10,0.746,1.602,3.849,1.283,1.283,1.283,0.176
double,1024,10,0.747,1.601,3.853,1.285,1.284,1.284,0.183
double,1024,10,0.750,1.619,3.850,1.283,1.283,1.284,0.180
float,1024,10,0.393,0.802,1.923,0.641,0.641,0.641,0.175
float,1024,10,0.394,0.808,1.924,0.641,0.641,0.641,0.181
float,1024,10,0.393,0.798,1.921,0.641,0.640,0.640,0.177
float,1024,10,0.392,0.809,1.926,0.642,0.642,0.642,0.178
float,1024,10,0.393,0.799,1.922,0.641,0.641,0.641,0.177
float,1024,10,0.393,0.807,1.921,0.641,0.640,0.640,0.180
float,1024,10,0.390,0.801,1.923,0.642,0.641,0.641,0.178
float,1024,10,0.390,0.799,1.923,0.641,0.641,0.641,0.182
float,1024,10,0.391,0.809,1.923,0.641,0.641,0.641,0.180
float,1024,10,0.390,0.799,1.923,0.641,0.641,0.641,0.180
double,1024,100,7.392,1.620,3.854,1.285,1.284,1.285,0.159
double,1024,100,7.369,1.601,3.848,1.283,1.283,1.283,0.159
double,1024,100,7.449,1.602,3.849,1.283,1.283,1.283,0.158
double,1024,100,7.356,1.625,3.854,1.285,1.285,1.285,0.157
double,1024,100,7.398,1.619,3.850,1.283,1.283,1.283,0.158
double,1024,100,7.370,1.624,3.851,1.284,1.283,1.284,0.157
double,1024,100,7.409,1.601,3.849,1.283,1.283,1.283,0.158
double,1024,100,7.388,1.618,3.850,1.283,1.283,1.283,0.158
double,1024,100,7.362,1.602,3.848,1.283,1.283,1.283,0.158
double,1024,100,7.405,1.624,3.865,1.283,1.298,1.283,0.158
float,1024,100,3.867,0.798,1.922,0.641,0.641,0.640,0.159
float,1024,100,3.868,0.799,1.925,0.642,0.641,0.641,0.159
float,1024,100,3.859,0.799,1.923,0.641,0.641,0.641,0.158
float,1024,100,3.847,0.809,1.922,0.641,0.641,0.640,0.159
float,1024,100,3.857,0.798,1.922,0.641,0.640,0.640,0.158
float,1024,100,3.868,0.809,1.925,0.642,0.642,0.642,0.158
float,1024,100,3.842,0.809,1.926,0.642,0.642,0.642,0.159
float,1024,100,3.867,0.809,1.923,0.641,0.641,0.641,0.158
float,1024,100,3.862,0.808,1.922,0.641,0.641,0.640,0.158
float,1024,100,3.845,0.799,1.925,0.642,0.641,0.641,0.158
double,1024,1000,73.618,1.622,3.850,1.283,1.283,1.283,0.155
double,1024,1000,73.493,1.623,3.847,1.282,1.283,1.282,0.155
double,1024,1000,73.560,1.625,3.850,1.283,1.283,1.283,0.155
double,1024,1000,73.332,1.619,3.849,1.283,1.283,1.283,0.155
double,1024,1000,73.521,1.623,3.850,1.283,1.283,1.283,0.155
double,1024,1000,73.595,1.621,3.850,1.284,1.283,1.283,0.155
double,1024,1000,73.520,1.602,3.849,1.283,1.283,1.283,0.155
double,1024,1000,73.365,1.623,3.850,1.284,1.283,1.283,0.155
double,1024,1000,73.650,1.602,3.853,1.285,1.284,1.284,0.155
double,1024,1000,73.784,1.622,3.847,1.282,1.282,1.282,0.155
float,1024,1000,38.445,0.809,1.925,0.642,0.642,0.642,0.155
float,1024,1000,38.567,0.807,1.925,0.642,0.642,0.642,0.154
float,1024,1000,38.552,0.800,1.923,0.641,0.641,0.640,0.155
float,1024,1000,38.512,0.799,1.922,0.641,0.641,0.641,0.155
float,1024,1000,38.357,0.805,1.923,0.641,0.641,0.641,0.155
float,1024,1000,38.359,0.807,1.923,0.641,0.641,0.641,0.154
float,1024,1000,38.292,0.799,1.924,0.642,0.641,0.641,0.155
float,1024,1000,38.435,0.806,1.924,0.641,0.641,0.641,0.155
float,1024,1000,38.384,0.800,1.924,0.642,0.641,0.641,0.155
float,1024,1000,38.317,0.809,1.924,0.641,0.642,0.641,0.155
double,2048,10,2.662,6.489,15.410,5.137,5.137,5.136,0.180
double,2048,10,2.665,6.486,15.420,5.137,5.146,5.137,0.180
double,2048,10,2.668,6.419,15.421,5.140,5.140,5.140,0.179
double,2048,10,2.668,6.484,15.411,5.138,5.137,5.137,0.184
double,2048,10,2.666,6.503,15.419,5.146,5.136,5.137,0.182
double,2048,10,2.656,6.414,15.388,5.130,5.129,5.129,0.181
double,2048,10,2.657,6.420,15.419,5.139,5.140,5.139,0.179
double,2048,10,2.657,6.418,15.404,5.135,5.134,5.135,0.176
double,2048,10,2.666,6.501,15.426,5.143,5.142,5.142,0.188
double,2048,10,2.657,6.494,15.419,5.145,5.138,5.137,0.184
float,2048,10,1.350,3.252,7.703,2.568,2.567,2.568,0.180
float,2048,10,1.350,3.206,7.700,2.567,2.566,2.566,0.181
float,2048,10,1.349,3.207,7.700,2.567,2.566,2.567,0.183
float,2048,10,1.350,3.246,7.703,2.568,2.568,2.568,0.180
float,2048,10,1.349,3.251,7.703,2.568,2.568,2.567,0.181
float,2048,10,1.348,3.208,7.701,2.567,2.567,2.567,0.183
float,2048,10,1.350,3.207,7.709,2.570,2.570,2.569,0.182
float,2048,10,1.354,3.229,7.693,2.564,2.564,2.564,0.182
float,2048,10,1.350,3.210,7.707,2.569,2.569,2.569,0.180
float,2048,10,1.349,3.247,7.702,2.567,2.567,2.567,0.180
double,2048,100,26.579,6.419,15.422,5.141,5.140,5.141,0.158
double,2048,100,26.547,6.489,15.394,5.132,5.132,5.131,0.155
double,2048,100,26.498,6.488,15.430,5.144,5.143,5.143,0.157
double,2048,100,26.454,6.501,15.426,5.142,5.142,5.142,0.159
double,2048,100,26.453,6.422,15.419,5.140,5.140,5.139,0.157
double,2048,100,26.454,6.503,15.409,5.137,5.136,5.136,0.158
double,2048,100,26.439,6.498,15.426,5.137,5.153,5.136,0.156
double,2048,100,26.454,6.415,15.388,5.130,5.130,5.129,0.157
double,2048,100,26.462,6.420,15.405,5.135,5.135,5.135,0.157
double,2048,100,26.597,6.420,15.408,5.136,5.136,5.136,0.159
float,2048,100,13.427,3.245,7.712,2.571,2.571,2.570,0.158
float,2048,100,13.408,3.253,7.710,2.570,2.570,2.570,0.159
float,2048,100,13.406,3.238,7.712,2.571,2.570,2.570,0.159
