precision,N,IT,total_kernel,total_read,total_write,write_f,write_tmp,write_u,average_queue 
float,1024,10,2.131,0.244,1.849,0.631,0.658,0.561,0.480
float,1024,10,2.187,0.172,2.575,1.269,0.688,0.618,0.252
float,1024,10,2.088,0.191,1.895,0.662,0.634,0.598,0.233
float,1024,10,2.097,0.209,2.213,0.708,0.664,0.841,0.244
float,1024,10,2.120,0.297,2.014,0.749,0.665,0.600,0.210
float,1024,10,2.300,0.221,2.146,0.853,0.657,0.636,0.268
float,1024,10,2.189,0.241,2.188,0.882,0.680,0.626,0.210
float,1024,10,2.192,0.187,2.583,0.961,0.870,0.753,0.233
float,1024,10,2.153,0.177,1.945,0.669,0.643,0.633,0.195
float,1024,10,2.145,0.331,1.927,0.668,0.656,0.603,0.253
float,1024,100,20.873,0.190,1.877,0.646,0.643,0.587,0.212
float,1024,100,21.440,0.219,2.002,0.660,0.672,0.669,0.147
float,1024,100,21.347,0.185,2.132,0.719,0.740,0.672,0.127
float,1024,100,21.916,0.570,2.083,0.662,0.689,0.731,0.179
float,1024,100,21.575,0.207,2.179,0.674,0.811,0.693,0.146
float,1024,100,21.166,0.194,2.275,0.894,0.651,0.730,0.142
float,1024,100,21.635,0.243,2.444,0.683,0.952,0.809,0.163
float,1024,100,22.234,0.199,2.110,0.698,0.683,0.729,0.127
float,1024,100,21.529,0.198,2.448,0.702,0.781,0.965,0.158
float,1024,1000,212.406,0.218,2.123,0.669,0.720,0.734,0.114
float,1024,1000,213.348,0.325,1.981,0.704,0.668,0.609,0.102
float,1024,1000,211.883,0.192,2.010,0.694,0.693,0.624,0.100
float,1024,1000,203.065,0.237,2.391,0.807,0.858,0.727,0.088
float,1024,1000,206.802,0.349,1.868,0.648,0.637,0.582,0.103
float,1024,1000,209.461,0.605,1.945,0.662,0.670,0.613,0.102
float,1024,1000,210.152,0.224,2.051,0.677,0.718,0.657,0.099
float,1024,1000,209.206,0.189,2.060,0.703,0.707,0.651,0.093
float,1024,1000,218.148,0.186,2.116,0.683,0.811,0.622,0.103
float,1024,1000,214.101,0.180,2.083,0.699,0.763,0.621,0.107
float,2048,10,10.636,1.234,8.400,2.883,2.918,2.599,0.401
float,2048,10,10.667,0.993,7.828,2.675,2.577,2.575,0.360
float,2048,10,10.667,1.093,9.181,2.960,3.106,3.115,0.265
float,2048,10,10.792,1.397,8.278,2.801,2.810,2.668,0.366
float,2048,10,10.799,1.032,7.824,2.619,2.691,2.514,0.425
float,2048,10,10.738,1.112,9.379,2.731,3.565,3.083,0.362
float,2048,10,10.690,1.418,8.043,2.599,2.833,2.611,0.369
float,2048,10,10.780,1.147,8.580,2.615,3.164,2.801,0.361
float,2048,10,10.828,1.323,8.594,2.542,2.735,3.317,0.312
float,2048,100,107.826,1.538,9.206,3.171,2.806,3.229,0.192
float,2048,100,106.575,1.652,9.059,2.989,2.766,3.305,0.150
float,2048,100,107.966,1.830,7.666,2.613,2.542,2.510,0.189
float,2048,100,107.321,1.048,8.070,2.736,2.652,2.681,0.165
float,2048,100,107.404,1.069,8.484,2.946,2.749,2.790,0.188
float,2048,100,108.790,1.273,8.406,2.768,2.727,2.911,0.198
float,2048,100,108.454,1.127,8.404,2.924,2.740,2.741,0.173
float,2048,100,106.151,1.239,8.556,2.821,2.780,2.955,0.163
float,2048,100,104.869,1.574,8.793,2.732,2.779,3.282,0.156
float,2048,100,104.671,1.183,8.993,3.098,3.082,2.813,0.171
float,2048,1000,1057.578,1.205,8.559,2.792,2.726,3.041,0.135
float,2048,1000,1053.738,1.161,8.815,2.746,3.210,2.858,0.133
float,2048,1000,1059.062,1.455,8.251,2.987,2.599,2.665,0.130
float,2048,1000,1051.599,1.206,8.759,2.740,2.737,3.282,0.132
float,2048,1000,1049.061,1.173,8.653,2.753,3.123,2.777,0.136
float,2048,1000,1048.125,0.966,8.755,2.863,2.854,3.038,0.128
float,2048,1000,1051.897,1.231,8.955,3.328,2.717,2.911,0.138
float,2048,1000,1052.532,1.050,7.809,2.588,2.702,2.518,0.128
float,2048,1000,1066.551,1.332,8.180,2.804,2.650,2.726,0.136
float,2048,1000,1057.032,0.994,8.900,2.976,3.055,2.869,0.132
