precision,N,IT,total_kernel,total_read,total_write,write_f,write_tmp,write_u,average_queue
double,1024,10,0.873,1.107,3.168,1.313,0.916,0.938,0.043
double,1024,10,0.872,1.102,3.980,1.100,1.208,1.672,0.192
double,1024,10,0.857,0.885,2.393,0.770,0.793,0.829,0.021
double,1024,10,0.857,0.858,2.406,0.765,0.800,0.842,0.021
double,1024,10,0.850,0.922,2.386,0.720,0.825,0.841,0.032
double,1024,10,0.870,0.981,3.289,1.183,0.936,1.170,0.042
double,1024,10,0.857,0.985,2.593,0.808,0.846,0.940,0.028
double,1024,10,0.852,0.764,2.348,0.751,0.777,0.819,0.031
double,1024,10,0.858,0.784,2.472,0.830,0.775,0.867,0.021
double,1024,10,0.859,1.186,3.077,1.067,1.040,0.970,0.029
float,1024,10,0.460,0.429,1.129,0.353,0.361,0.415,0.022
float,1024,10,0.440,0.402,1.133,0.339,0.407,0.387,0.021
float,1024,10,0.439,0.459,1.104,0.351,0.370,0.382,0.030
float,1024,10,0.455,0.420,1.188,0.377,0.376,0.435,0.032
float,1024,10,0.436,0.413,1.115,0.350,0.381,0.384,0.030
float,1024,10,0.438,0.392,1.380,0.478,0.391,0.511,0.027
float,1024,10,0.442,0.426,1.178,0.352,0.408,0.418,0.027
float,1024,10,0.438,0.428,1.254,0.511,0.379,0.364,0.032
float,1024,10,0.450,0.577,1.231,0.386,0.433,0.412,0.029
float,1024,10,0.433,0.463,1.187,0.341,0.435,0.411,0.029
double,1024,100,8.656,0.829,2.575,0.792,0.933,0.850,0.007
double,1024,100,8.686,0.774,2.243,0.707,0.721,0.815,0.006
double,1024,100,8.608,0.767,2.529,0.768,0.794,0.968,0.043
double,1024,100,8.653,0.960,2.751,1.049,0.847,0.855,0.007
double,1024,100,8.665,0.831,2.922,0.818,0.911,1.193,0.039
double,1024,100,8.658,0.798,2.396,0.832,0.735,0.828,0.041
double,1024,100,8.623,0.918,2.554,0.698,0.975,0.881,0.006
double,1024,100,8.619,0.881,2.375,0.775,0.779,0.821,0.006
double,1024,100,8.614,1.323,2.420,0.730,0.735,0.955,0.007
double,1024,100,8.673,1.283,2.454,0.714,0.747,0.992,0.007
float,1024,100,4.433,0.384,1.081,0.347,0.368,0.366,0.007
float,1024,100,4.408,0.462,1.468,0.453,0.383,0.633,0.008
float,1024,100,4.473,0.404,1.105,0.368,0.363,0.374,0.006
float,1024,100,4.424,0.388,1.227,0.366,0.388,0.473,0.006
float,1024,100,4.419,0.425,1.216,0.396,0.393,0.427,0.007
float,1024,100,4.546,0.480,1.267,0.365,0.394,0.509,0.041
float,1024,100,4.432,0.399,1.189,0.414,0.410,0.366,0.006
float,1024,100,4.434,0.415,1.124,0.352,0.369,0.403,0.006
