mode,precision,N,IT,total_write,total_kernel,total_read,write_f,write_tmp,write_u
opencl_V2,double,1024,10,4.654,0.910,1.269,1.064,1.799,1.791
opencl_V2,double,1024,10,2.293,0.860,0.762,0.714,0.730,0.849
opencl_V2,double,1024,10,2.301,0.854,0.968,0.782,0.735,0.784
opencl_V2,double,1024,10,2.316,0.850,0.762,0.695,0.750,0.871
opencl_V2,double,1024,10,2.392,0.851,0.813,0.727,0.792,0.874
opencl_V2,double,1024,10,2.365,0.887,0.808,0.808,0.758,0.799
opencl_V2,double,1024,10,2.278,0.851,0.774,0.689,0.754,0.834
opencl_V2,double,1024,10,2.302,0.862,0.958,0.733,0.764,0.804
opencl_V2,double,1024,10,2.517,0.855,0.934,0.730,0.775,1.012
opencl_V2,double,1024,10,2.358,0.864,0.846,0.721,0.760,0.877
opencl_V2,float,1024,10,1.065,0.444,0.426,0.332,0.347,0.385
opencl_V2,float,1024,10,1.076,0.459,0.452,0.335,0.397,0.344
opencl_V2,float,1024,10,1.159,0.431,0.398,0.351,0.395,0.412
opencl_V2,float,1024,10,1.066,0.443,0.480,0.357,0.348,0.361
opencl_V2,float,1024,10,1.064,0.449,0.478,0.333,0.383,0.348
opencl_V2,float,1024,10,1.135,0.432,0.467,0.361,0.423,0.351
opencl_V2,float,1024,10,1.104,0.451,0.443,0.333,0.399,0.373
opencl_V2,float,1024,10,1.068,0.441,0.456,0.333,0.377,0.358
opencl_V2,float,1024,10,1.143,0.435,0.427,0.333,0.380,0.429
opencl_V2,float,1024,10,1.091,0.456,0.477,0.335,0.398,0.358
opencl_V2,double,1024,100,2.226,8.551,0.830,0.716,0.725,0.785
opencl_V2,double,1024,100,2.408,8.579,0.822,0.784,0.770,0.854
opencl_V2,double,1024,100,2.460,8.584,0.894,0.724,0.786,0.950
opencl_V2,double,1024,100,3.992,8.593,0.862,1.376,1.339,1.277
opencl_V2,double,1024,100,2.401,8.584,0.766,0.713,0.792,0.896
opencl_V2,double,1024,100,2.405,8.587,0.809,0.761,0.789,0.855
opencl_V2,double,1024,100,2.461,8.581,0.761,0.686,0.741,1.034
opencl_V2,double,1024,100,2.256,8.591,0.927,0.689,0.732,0.835
opencl_V2,double,1024,100,2.313,8.597,0.749,0.717,0.766,0.830
