version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms
opencl_V2,double,2048,10,8,32,29.262
opencl_V3,double,2048,10,8,32,28.389
opencl_V2,float,2048,10,8,32,15.604
opencl_V3,float,2048,10,8,32,15.376
opencl_V2,double,2048,10,4,64,26.826
opencl_V3,double,2048,10,4,64,27.199
opencl_V2,float,2048,10,4,64,14.380
opencl_V3,float,2048,10,4,64,14.781
opencl_V2,double,2048,10,2,128,26.469
opencl_V3,double,2048,10,2,128,26.864
opencl_V2,float,2048,10,2,128,14.138
opencl_V3,float,2048,10,2,128,14.700
opencl_V2,double,2048,10,1,256,26.378
opencl_V3,double,2048,10,1,256,26.564
opencl_V2,float,2048,10,1,256,14.114
opencl_V3,float,2048,10,1,256,14.570
opencl_V2,double,2048,10,2,256,26.540
opencl_V3,double,2048,10,2,256,26.920
opencl_V2,float,2048,10,2,256,14.172
opencl_V3,float,2048,10,2,256,14.828
opencl_V2,double,2048,10,8,32,29.368
opencl_V3,double,2048,10,8,32,28.443
opencl_V2,float,2048,10,8,32,15.604
opencl_V3,float,2048,10,8,32,15.330
opencl_V2,double,2048,10,4,64,26.811
opencl_V3,double,2048,10,4,64,27.144
opencl_V2,float,2048,10,4,64,14.403
opencl_V3,float,2048,10,4,64,14.638
opencl_V2,double,2048,10,2,128,26.364
opencl_V3,double,2048,10,2,128,26.828
opencl_V2,float,2048,10,2,128,14.081
opencl_V3,float,2048,10,2,128,14.592
opencl_V2,double,2048,10,1,256,26.404
opencl_V3,double,2048,10,1,256,26.502
opencl_V2,float,2048,10,1,256,14.076
opencl_V3,float,2048,10,1,256,14.528
opencl_V2,double,2048,10,2,256,26.411
opencl_V3,double,2048,10,2,256,26.973
opencl_V2,float,2048,10,2,256,14.170
opencl_V3,float,2048,10,2,256,14.775
opencl_V2,double,2048,10,8,32,29.294
opencl_V3,double,2048,10,8,32,28.310
opencl_V2,float,2048,10,8,32,15.631
opencl_V3,float,2048,10,8,32,15.317
opencl_V2,double,2048,10,4,64,26.776
opencl_V3,double,2048,10,4,64,27.153
opencl_V2,float,2048,10,4,64,14.404
opencl_V3,float,2048,10,4,64,14.810
opencl_V2,double,2048,10,2,128,26.437
opencl_V3,double,2048,10,2,128,26.877
opencl_V2,float,2048,10,2,128,14.095
opencl_V3,float,2048,10,2,128,14.635
opencl_V2,double,2048,10,1,256,26.429
opencl_V3,double,2048,10,1,256,26.567
opencl_V2,float,2048,10,1,256,14.140
opencl_V3,float,2048,10,1,256,14.503
opencl_V2,double,2048,10,2,256,26.427
opencl_V3,double,2048,10,2,256,26.920
opencl_V2,float,2048,10,2,256,14.164
opencl_V3,float,2048,10,2,256,14.822
opencl_V2,double,2048,10,8,32,29.259
opencl_V3,double,2048,10,8,32,28.318
opencl_V2,float,2048,10,8,32,15.562
opencl_V3,float,2048,10,8,32,15.420
opencl_V2,double,2048,10,4,64,26.792
opencl_V3,double,2048,10,4,64,27.162
opencl_V2,float,2048,10,4,64,14.312
opencl_V3,float,2048,10,4,64,14.821
opencl_V2,double,2048,10,2,128,26.573
opencl_V3,double,2048,10,2,128,26.701
opencl_V2,float,2048,10,2,128,14.090
opencl_V3,float,2048,10,2,128,14.612
opencl_V2,double,2048,10,1,256,26.395
opencl_V3,double,2048,10,1,256,26.560
opencl_V2,float,2048,10,1,256,14.064
opencl_V3,float,2048,10,1,256,14.536
opencl_V2,double,2048,10,2,256,26.520
opencl_V3,double,2048,10,2,256,26.911
opencl_V2,float,2048,10,2,256,14.230
opencl_V3,float,2048,10,2,256,14.884
opencl_V2,double,2048,10,8,32,29.324
opencl_V3,double,2048,10,8,32,28.264
opencl_V2,float,2048,10,8,32,15.485
opencl_V3,float,2048,10,8,32,15.297
opencl_V2,double,2048,10,4,64,26.798
opencl_V3,double,2048,10,4,64,27.150
opencl_V2,float,2048,10,4,64,14.396
opencl_V3,float,2048,10,4,64,14.808
opencl_V2,double,2048,10,2,128,26.424
opencl_V3,double,2048,10,2,128,26.788
opencl_V2,float,2048,10,2,128,14.102
opencl_V3,float,2048,10,2,128,14.647
opencl_V2,double,2048,10,1,256,26.415
opencl_V3,double,2048,10,1,256,26.521
opencl_V2,float,2048,10,1,256,14.120
opencl_V3,float,2048,10,1,256,14.520
opencl_V2,double,2048,10,2,256,26.601
opencl_V3,double,2048,10,2,256,26.894
opencl_V2,float,2048,10,2,256,14.185
opencl_V3,float,2048,10,2,256,14.851
opencl_V2,double,2048,100,8,32,77.860
opencl_V3,double,2048,100,8,32,68.811
opencl_V2,float,2048,100,8,32,40.414
opencl_V3,float,2048,100,8,32,38.530
opencl_V2,double,2048,100,4,64,53.894
opencl_V3,double,2048,100,4,64,57.238
opencl_V2,float,2048,100,4,64,28.479
opencl_V3,float,2048,100,4,64,32.858
opencl_V2,double,2048,100,2,128,50.006
opencl_V3,double,2048,100,2,128,53.434
opencl_V2,float,2048,100,2,128,26.036
opencl_V3,float,2048,100,2,128,31.439
opencl_V2,double,2048,100,1,256,49.667
opencl_V3,double,2048,100,1,256,50.694
opencl_V2,float,2048,100,1,256,26.134
opencl_V3,float,2048,100,1,256,30.052
opencl_V2,double,2048,100,2,256,50.516
opencl_V3,double,2048,100,2,256,54.391
opencl_V2,float,2048,100,2,256,26.778
opencl_V3,float,2048,100,2,256,33.366
opencl_V2,double,2048,100,8,32,78.049
opencl_V3,double,2048,100,8,32,68.627
opencl_V2,float,2048,100,8,32,40.732
opencl_V3,float,2048,100,8,32,38.273
opencl_V2,double,2048,100,4,64,53.670
opencl_V3,double,2048,100,4,64,57.227
opencl_V2,float,2048,100,4,64,28.473
opencl_V3,float,2048,100,4,64,32.763
opencl_V2,double,2048,100,2,128,50.051
opencl_V3,double,2048,100,2,128,53.881
opencl_V2,float,2048,100,2,128,26.008
opencl_V3,float,2048,100,2,128,31.389
opencl_V2,double,2048,100,1,256,49.656
opencl_V3,double,2048,100,1,256,50.878
opencl_V2,float,2048,100,1,256,26.080
opencl_V3,float,2048,100,1,256,30.031
opencl_V2,double,2048,100,2,256,50.508
opencl_V3,double,2048,100,2,256,54.335
opencl_V2,float,2048,100,2,256,26.762
opencl_V3,float,2048,100,2,256,33.304
opencl_V2,double,2048,100,8,32,78.274
opencl_V3,double,2048,100,8,32,69.030
opencl_V2,float,2048,100,8,32,40.672
opencl_V3,float,2048,100,8,32,38.275
opencl_V2,double,2048,100,4,64,53.851
opencl_V3,double,2048,100,4,64,57.258
opencl_V2,float,2048,100,4,64,28.450
opencl_V3,float,2048,100,4,64,32.831
opencl_V2,double,2048,100,2,128,50.044
opencl_V3,double,2048,100,2,128,53.665
opencl_V2,float,2048,100,2,128,26.012
opencl_V3,float,2048,100,2,128,31.432
opencl_V2,double,2048,100,1,256,49.584
opencl_V3,double,2048,100,1,256,51.010
opencl_V2,float,2048,100,1,256,26.101
opencl_V3,float,2048,100,1,256,29.996
opencl_V2,double,2048,100,2,256,50.579
opencl_V3,double,2048,100,2,256,54.680
opencl_V2,float,2048,100,2,256,26.817
opencl_V3,float,2048,100,2,256,33.295
opencl_V2,double,2048,100,8,32,77.693
opencl_V3,double,2048,100,8,32,69.314
opencl_V2,float,2048,100,8,32,40.699
opencl_V3,float,2048,100,8,32,38.455
opencl_V2,double,2048,100,4,64,53.471
opencl_V3,double,2048,100,4,64,57.197
opencl_V2,float,2048,100,4,64,28.477
opencl_V3,float,2048,100,4,64,32.826
opencl_V2,double,2048,100,2,128,50.089
opencl_V3,double,2048,100,2,128,53.945
opencl_V2,float,2048,100,2,128,25.955
opencl_V3,float,2048,100,2,128,31.421
opencl_V2,double,2048,100,1,256,49.713
opencl_V3,double,2048,100,1,256,51.078
opencl_V2,float,2048,100,1,256,26.108
opencl_V3,float,2048,100,1,256,30.071
opencl_V2,double,2048,100,2,256,50.547
opencl_V3,double,2048,100,2,256,54.684
opencl_V2,float,2048,100,2,256,26.686
opencl_V3,float,2048,100,2,256,33.335
opencl_V2,double,2048,100,8,32,78.771
opencl_V3,double,2048,100,8,32,68.857
opencl_V2,float,2048,100,8,32,40.428
opencl_V3,float,2048,100,8,32,38.548
opencl_V2,double,2048,100,4,64,53.839
opencl_V3,double,2048,100,4,64,57.211
opencl_V2,float,2048,100,4,64,28.492
opencl_V3,float,2048,100,4,64,32.741
opencl_V2,double,2048,100,2,128,50.082
opencl_V3,double,2048,100,2,128,53.893
opencl_V2,float,2048,100,2,128,25.976
opencl_V3,float,2048,100,2,128,31.394
opencl_V2,double,2048,100,1,256,49.698
opencl_V3,double,2048,100,1,256,51.103
opencl_V2,float,2048,100,1,256,26.180
opencl_V3,float,2048,100,1,256,30.097
opencl_V2,double,2048,100,2,256,50.557
opencl_V3,double,2048,100,2,256,54.696
opencl_V2,float,2048,100,2,256,26.812
opencl_V3,float,2048,100,2,256,33.285
opencl_V2,double,2048,1000,8,32,490.490
opencl_V3,double,2048,1000,8,32,378.580
opencl_V2,float,2048,1000,8,32,225.171
opencl_V3,float,2048,1000,8,32,214.493
opencl_V2,double,2048,1000,4,64,293.635
opencl_V3,double,2048,1000,4,64,300.059
opencl_V2,float,2048,1000,4,64,143.474
opencl_V3,float,2048,1000,4,64,176.270
opencl_V2,double,2048,1000,2,128,286.927
opencl_V3,double,2048,1000,2,128,289.645
opencl_V2,float,2048,1000,2,128,145.131
opencl_V3,float,2048,1000,2,128,168.566
opencl_V2,double,2048,1000,1,256,282.988
opencl_V3,double,2048,1000,1,256,283.212
opencl_V2,float,2048,1000,1,256,145.773
opencl_V3,float,2048,1000,1,256,162.526
opencl_V2,double,2048,1000,2,256,283.381
opencl_V3,double,2048,1000,2,256,291.685
opencl_V2,float,2048,1000,2,256,146.499
opencl_V3,float,2048,1000,2,256,182.495
opencl_V2,double,2048,1000,8,32,436.307
opencl_V3,double,2048,1000,8,32,379.889
opencl_V2,float,2048,1000,8,32,227.158
opencl_V3,float,2048,1000,8,32,216.440
opencl_V2,double,2048,1000,4,64,293.466
opencl_V3,double,2048,1000,4,64,302.145
opencl_V2,float,2048,1000,4,64,143.971
opencl_V3,float,2048,1000,4,64,176.860
opencl_V2,double,2048,1000,2,128,286.798
opencl_V3,double,2048,1000,2,128,290.158
opencl_V2,float,2048,1000,2,128,145.171
opencl_V3,float,2048,1000,2,128,169.603
opencl_V2,double,2048,1000,1,256,282.868
opencl_V3,double,2048,1000,1,256,283.280
opencl_V2,float,2048,1000,1,256,145.798
opencl_V3,float,2048,1000,1,256,162.733
opencl_V2,double,2048,1000,2,256,283.392
opencl_V3,double,2048,1000,2,256,292.452
opencl_V2,float,2048,1000,2,256,146.504
opencl_V3,float,2048,1000,2,256,183.107
opencl_V2,double,2048,1000,8,32,439.686
opencl_V3,double,2048,1000,8,32,378.948
opencl_V2,float,2048,1000,8,32,227.093
opencl_V3,float,2048,1000,8,32,216.856
opencl_V2,double,2048,1000,4,64,293.418
opencl_V3,double,2048,1000,4,64,303.389
opencl_V2,float,2048,1000,4,64,144.554
opencl_V3,float,2048,1000,4,64,178.211
opencl_V2,double,2048,1000,2,128,286.695
opencl_V3,double,2048,1000,2,128,290.476
opencl_V2,float,2048,1000,2,128,145.074
opencl_V3,float,2048,1000,2,128,169.924
opencl_V2,double,2048,1000,1,256,282.691
opencl_V3,double,2048,1000,1,256,283.233
opencl_V2,float,2048,1000,1,256,145.747
opencl_V3,float,2048,1000,1,256,163.400
opencl_V2,double,2048,1000,2,256,283.426
opencl_V3,double,2048,1000,2,256,292.305
opencl_V2,float,2048,1000,2,256,146.595
opencl_V3,float,2048,1000,2,256,183.340
opencl_V2,double,2048,1000,8,32,439.705
opencl_V3,double,2048,1000,8,32,382.783
opencl_V2,float,2048,1000,8,32,228.776
opencl_V3,float,2048,1000,8,32,218.473
opencl_V2,double,2048,1000,4,64,293.288
opencl_V3,double,2048,1000,4,64,303.799
opencl_V2,float,2048,1000,4,64,144.786
opencl_V3,float,2048,1000,4,64,178.157
opencl_V2,double,2048,1000,2,128,286.703
opencl_V3,double,2048,1000,2,128,291.229
opencl_V2,float,2048,1000,2,128,145.162
opencl_V3,float,2048,1000,2,128,170.698
opencl_V2,double,2048,1000,1,256,282.675
opencl_V3,double,2048,1000,1,256,283.251
opencl_V2,float,2048,1000,1,256,145.829
opencl_V3,float,2048,1000,1,256,163.615
opencl_V2,double,2048,1000,2,256,283.162
opencl_V3,double,2048,1000,2,256,293.010
opencl_V2,float,2048,1000,2,256,146.523
opencl_V3,float,2048,1000,2,256,184.390
opencl_V2,double,2048,1000,8,32,441.936
opencl_V3,double,2048,1000,8,32,383.527
opencl_V2,float,2048,1000,8,32,228.954
opencl_V3,float,2048,1000,8,32,218.061
opencl_V2,double,2048,1000,4,64,293.267
opencl_V3,double,2048,1000,4,64,304.609
opencl_V2,float,2048,1000,4,64,145.009
