version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms
opencl_V2,double,2048,10,8,32,43.000
opencl_V3,double,2048,10,8,32,27.000
opencl_V2,double,2048,10,4,64,22.000
opencl_V3,double,2048,10,4,64,21.000
opencl_V2,double,2048,10,2,128,21.000
opencl_V3,double,2048,10,2,128,20.000
opencl_V2,double,2048,10,1,256,20.000
opencl_V3,double,2048,10,1,256,21.000
opencl_V2,double,2048,10,8,32,30.000
opencl_V3,double,2048,10,8,32,26.000
opencl_V2,double,2048,10,4,64,22.000
opencl_V3,double,2048,10,4,64,24.000
opencl_V2,double,2048,10,2,128,21.000
opencl_V3,double,2048,10,2,128,30.000
opencl_V2,double,2048,10,1,256,21.000
opencl_V3,double,2048,10,1,256,21.000
opencl_V2,double,2048,10,8,32,39.000
opencl_V3,double,2048,10,8,32,40.000
opencl_V2,double,2048,10,4,64,31.000
opencl_V3,double,2048,10,4,64,37.000
opencl_V2,double,2048,10,2,128,22.000
opencl_V3,double,2048,10,2,128,23.000
opencl_V2,double,2048,10,1,256,22.000
opencl_V3,double,2048,10,1,256,22.000
opencl_V2,double,2048,10,8,32,31.000
opencl_V3,double,2048,10,8,32,28.000
opencl_V2,double,2048,10,4,64,23.000
opencl_V3,double,2048,10,4,64,23.000
opencl_V2,double,2048,10,2,128,27.000
opencl_V3,double,2048,10,2,128,21.000
opencl_V2,double,2048,10,1,256,28.000
opencl_V3,double,2048,10,1,256,20.000
opencl_V2,double,2048,10,8,32,30.000
opencl_V3,double,2048,10,8,32,28.000
opencl_V2,double,2048,10,4,64,24.000
opencl_V3,double,2048,10,4,64,27.000
opencl_V2,double,2048,10,2,128,28.000
opencl_V3,double,2048,10,2,128,23.000
opencl_V2,double,2048,10,1,256,22.000
opencl_V3,double,2048,10,1,256,24.000
opencl_V2,float,2048,10,8,32,27.000
opencl_V3,float,2048,10,8,32,16.000
opencl_V2,float,2048,10,4,64,15.000
opencl_V3,float,2048,10,4,64,15.000
opencl_V2,float,2048,10,2,128,14.000
opencl_V3,float,2048,10,2,128,14.000
opencl_V2,float,2048,10,1,256,12.000
opencl_V3,float,2048,10,1,256,12.000
opencl_V2,float,2048,10,8,32,20.000
opencl_V3,float,2048,10,8,32,16.000
opencl_V2,float,2048,10,4,64,15.000
opencl_V3,float,2048,10,4,64,15.000
opencl_V2,float,2048,10,2,128,13.000
opencl_V3,float,2048,10,2,128,12.000
opencl_V2,float,2048,10,1,256,13.000
opencl_V3,float,2048,10,1,256,13.000
opencl_V2,float,2048,10,8,32,32.000
opencl_V3,float,2048,10,8,32,17.000
opencl_V2,float,2048,10,4,64,16.000
opencl_V3,float,2048,10,4,64,16.000
opencl_V2,float,2048,10,2,128,14.000
opencl_V3,float,2048,10,2,128,13.000
opencl_V2,float,2048,10,1,256,13.000
opencl_V3,float,2048,10,1,256,13.000
opencl_V2,float,2048,10,8,32,19.000
opencl_V3,float,2048,10,8,32,16.000
opencl_V2,float,2048,10,4,64,15.000
opencl_V3,float,2048,10,4,64,15.000
opencl_V2,float,2048,10,2,128,14.000
opencl_V3,float,2048,10,2,128,13.000
opencl_V2,float,2048,10,1,256,13.000
opencl_V3,float,2048,10,1,256,12.000
opencl_V2,float,2048,10,8,32,19.000
opencl_V3,float,2048,10,8,32,16.000
opencl_V2,float,2048,10,4,64,15.000
opencl_V3,float,2048,10,4,64,17.000
opencl_V2,float,2048,10,2,128,14.000
opencl_V3,float,2048,10,2,128,13.000
opencl_V2,float,2048,10,1,256,13.000
opencl_V3,float,2048,10,1,256,12.000
opencl_V2,double,2048,100,8,32,142.000
opencl_V3,double,2048,100,8,32,100.000
opencl_V2,double,2048,100,4,64,64.000
opencl_V3,double,2048,100,4,64,57.000
opencl_V2,double,2048,100,2,128,44.000
opencl_V3,double,2048,100,2,128,44.000
opencl_V2,double,2048,100,1,256,37.000
opencl_V3,double,2048,100,1,256,41.000
opencl_V2,double,2048,100,8,32,128.000
opencl_V3,double,2048,100,8,32,100.000
opencl_V2,double,2048,100,4,64,59.000
opencl_V3,double,2048,100,4,64,61.000
opencl_V2,double,2048,100,2,128,43.000
opencl_V3,double,2048,100,2,128,43.000
opencl_V2,double,2048,100,1,256,38.000
opencl_V3,double,2048,100,1,256,42.000
opencl_V2,double,2048,100,8,32,127.000
opencl_V3,double,2048,100,8,32,105.000
opencl_V2,double,2048,100,4,64,64.000
opencl_V3,double,2048,100,4,64,58.000
opencl_V2,double,2048,100,2,128,46.000
opencl_V3,double,2048,100,2,128,44.000
opencl_V2,double,2048,100,1,256,47.000
opencl_V3,double,2048,100,1,256,40.000
opencl_V2,double,2048,100,8,32,133.000
opencl_V3,double,2048,100,8,32,101.000
opencl_V2,double,2048,100,4,64,58.000
opencl_V3,double,2048,100,4,64,58.000
opencl_V2,double,2048,100,2,128,46.000
opencl_V3,double,2048,100,2,128,41.000
opencl_V2,double,2048,100,1,256,38.000
opencl_V3,double,2048,100,1,256,40.000
opencl_V2,double,2048,100,8,32,138.000
opencl_V3,double,2048,100,8,32,98.000
opencl_V2,double,2048,100,4,64,59.000
opencl_V3,double,2048,100,4,64,58.000
opencl_V2,double,2048,100,2,128,43.000
opencl_V3,double,2048,100,2,128,42.000
opencl_V2,double,2048,100,1,256,35.000
opencl_V3,double,2048,100,1,256,38.000
opencl_V2,float,2048,100,8,32,96.000
opencl_V3,float,2048,100,8,32,59.000
opencl_V2,float,2048,100,4,64,48.000
opencl_V3,float,2048,100,4,64,47.000
opencl_V2,float,2048,100,2,128,29.000
opencl_V3,float,2048,100,2,128,31.000
opencl_V2,float,2048,100,1,256,22.000
opencl_V3,float,2048,100,1,256,24.000
opencl_V2,float,2048,100,8,32,86.000
opencl_V3,float,2048,100,8,32,60.000
opencl_V2,float,2048,100,4,64,48.000
opencl_V3,float,2048,100,4,64,47.000
opencl_V2,float,2048,100,2,128,29.000
opencl_V3,float,2048,100,2,128,30.000
opencl_V2,float,2048,100,1,256,22.000
opencl_V3,float,2048,100,1,256,23.000
opencl_V2,float,2048,100,8,32,86.000
opencl_V3,float,2048,100,8,32,60.000
opencl_V2,float,2048,100,4,64,48.000
opencl_V3,float,2048,100,4,64,47.000
opencl_V2,float,2048,100,2,128,30.000
opencl_V3,float,2048,100,2,128,31.000
opencl_V2,float,2048,100,1,256,22.000
opencl_V3,float,2048,100,1,256,24.000
opencl_V2,float,2048,100,8,32,83.000
opencl_V3,float,2048,100,8,32,59.000
opencl_V2,float,2048,100,4,64,47.000
opencl_V3,float,2048,100,4,64,47.000
opencl_V2,float,2048,100,2,128,29.000
opencl_V3,float,2048,100,2,128,31.000
opencl_V2,float,2048,100,1,256,21.000
opencl_V3,float,2048,100,1,256,27.000
opencl_V2,float,2048,100,8,32,91.000
opencl_V3,float,2048,100,8,32,59.000
opencl_V2,float,2048,100,4,64,47.000
opencl_V3,float,2048,100,4,64,47.000
opencl_V2,float,2048,100,2,128,30.000
opencl_V3,float,2048,100,2,128,30.000
opencl_V2,float,2048,100,1,256,23.000
opencl_V3,float,2048,100,1,256,23.000
opencl_V2,double,2048,1000,8,32,1206.000
opencl_V3,double,2048,1000,8,32,812.000
opencl_V2,double,2048,1000,4,64,416.000
opencl_V3,double,2048,1000,4,64,430.000
opencl_V2,double,2048,1000,2,128,250.000
opencl_V3,double,2048,1000,2,128,255.000
opencl_V2,double,2048,1000,1,256,192.000
opencl_V3,double,2048,1000,1,256,223.000
opencl_V2,double,2048,1000,8,32,1215.000
opencl_V3,double,2048,1000,8,32,814.000
opencl_V2,double,2048,1000,4,64,409.000
opencl_V3,double,2048,1000,4,64,405.000
opencl_V2,double,2048,1000,2,128,253.000
opencl_V3,double,2048,1000,2,128,259.000
opencl_V2,double,2048,1000,1,256,193.000
opencl_V3,double,2048,1000,1,256,223.000
opencl_V2,double,2048,1000,8,32,1086.000
opencl_V3,double,2048,1000,8,32,813.000
opencl_V2,double,2048,1000,4,64,414.000
opencl_V3,double,2048,1000,4,64,412.000
opencl_V2,double,2048,1000,2,128,250.000
opencl_V3,double,2048,1000,2,128,254.000
opencl_V2,double,2048,1000,1,256,192.000
opencl_V3,double,2048,1000,1,256,224.000
opencl_V2,double,2048,1000,8,32,1095.000
opencl_V3,double,2048,1000,8,32,811.000
opencl_V2,double,2048,1000,4,64,419.000
opencl_V3,double,2048,1000,4,64,399.000
opencl_V2,double,2048,1000,2,128,264.000
opencl_V3,double,2048,1000,2,128,255.000
opencl_V2,double,2048,1000,1,256,191.000
opencl_V3,double,2048,1000,1,256,227.000
opencl_V2,double,2048,1000,8,32,1148.000
opencl_V3,double,2048,1000,8,32,811.000
opencl_V2,double,2048,1000,4,64,410.000
opencl_V3,double,2048,1000,4,64,413.000
opencl_V2,double,2048,1000,2,128,248.000
opencl_V3,double,2048,1000,2,128,254.000
opencl_V2,double,2048,1000,1,256,193.000
opencl_V3,double,2048,1000,1,256,231.000
opencl_V2,float,2048,1000,8,32,810.000
opencl_V3,float,2048,1000,8,32,493.000
opencl_V2,float,2048,1000,4,64,370.000
opencl_V3,float,2048,1000,4,64,378.000
opencl_V2,float,2048,1000,2,128,194.000
opencl_V3,float,2048,1000,2,128,205.000
opencl_V2,float,2048,1000,1,256,114.000
opencl_V3,float,2048,1000,1,256,133.000
opencl_V2,float,2048,1000,8,32,736.000
opencl_V3,float,2048,1000,8,32,495.000
opencl_V2,float,2048,1000,4,64,372.000
opencl_V3,float,2048,1000,4,64,379.000
opencl_V2,float,2048,1000,2,128,196.000
opencl_V3,float,2048,1000,2,128,204.000
opencl_V2,float,2048,1000,1,256,115.000
opencl_V3,float,2048,1000,1,256,136.000
opencl_V2,float,2048,1000,8,32,718.000
opencl_V3,float,2048,1000,8,32,494.000
opencl_V2,float,2048,1000,4,64,372.000
opencl_V3,float,2048,1000,4,64,371.000
opencl_V2,float,2048,1000,2,128,195.000
opencl_V3,float,2048,1000,2,128,207.000
opencl_V2,float,2048,1000,1,256,114.000
