version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms 
opencl_V2,float,2048,10,8,32,38.000
opencl_V3,float,2048,10,8,32,34.000
opencl_V2,float,2048,10,4,64,32.000
opencl_V3,float,2048,10,4,64,30.000
opencl_V2,float,2048,10,2,128,24.000
opencl_V3,float,2048,10,2,128,23.000
opencl_V2,float,2048,10,1,256,24.000
opencl_V3,float,2048,10,1,256,23.000
opencl_V2,float,2048,10,2,256,25.000
opencl_V3,float,2048,10,2,256,23.000
opencl_V2,float,2048,10,8,32,36.000
opencl_V3,float,2048,10,8,32,32.000
opencl_V2,float,2048,10,4,64,30.000
opencl_V3,float,2048,10,4,64,27.000
opencl_V2,float,2048,10,2,128,23.000
opencl_V3,float,2048,10,2,128,22.000
opencl_V2,float,2048,10,1,256,20.000
opencl_V3,float,2048,10,1,256,20.000
opencl_V2,float,2048,10,2,256,22.000
opencl_V3,float,2048,10,2,256,21.000
opencl_V2,float,2048,10,8,32,36.000
opencl_V3,float,2048,10,8,32,34.000
opencl_V2,float,2048,10,4,64,28.000
opencl_V3,float,2048,10,4,64,27.000
opencl_V2,float,2048,10,2,128,22.000
opencl_V3,float,2048,10,2,128,20.000
opencl_V2,float,2048,10,1,256,21.000
opencl_V3,float,2048,10,1,256,22.000
opencl_V2,float,2048,10,2,256,22.000
opencl_V3,float,2048,10,2,256,21.000
opencl_V2,float,2048,10,8,32,37.000
opencl_V3,float,2048,10,8,32,32.000
opencl_V2,float,2048,10,4,64,30.000
opencl_V3,float,2048,10,4,64,29.000
opencl_V2,float,2048,10,2,128,22.000
opencl_V3,float,2048,10,2,128,22.000
opencl_V2,float,2048,10,1,256,22.000
opencl_V3,float,2048,10,1,256,20.000
opencl_V2,float,2048,10,2,256,23.000
opencl_V3,float,2048,10,2,256,25.000
opencl_V2,float,2048,10,8,32,34.000
opencl_V3,float,2048,10,8,32,35.000
opencl_V2,float,2048,10,4,64,29.000
opencl_V3,float,2048,10,4,64,28.000
opencl_V2,float,2048,10,2,128,24.000
opencl_V3,float,2048,10,2,128,21.000
opencl_V2,float,2048,10,1,256,20.000
opencl_V3,float,2048,10,1,256,21.000
opencl_V2,float,2048,10,2,256,22.000
opencl_V3,float,2048,10,2,256,22.000
opencl_V2,float,2048,100,8,32,247.000
opencl_V3,float,2048,100,8,32,226.000
opencl_V2,float,2048,100,4,64,183.000
opencl_V3,float,2048,100,4,64,157.000
opencl_V2,float,2048,100,2,128,107.000
opencl_V3,float,2048,100,2,128,97.000
opencl_V2,float,2048,100,1,256,88.000
opencl_V3,float,2048,100,1,256,92.000
opencl_V2,float,2048,100,2,256,108.000
opencl_V3,float,2048,100,2,256,103.000
opencl_V2,float,2048,100,8,32,252.000
opencl_V3,float,2048,100,8,32,226.000
opencl_V2,float,2048,100,4,64,182.000
opencl_V3,float,2048,100,4,64,165.000
opencl_V2,float,2048,100,2,128,107.000
opencl_V3,float,2048,100,2,128,98.000
opencl_V2,float,2048,100,1,256,90.000
opencl_V3,float,2048,100,1,256,93.000
opencl_V2,float,2048,100,2,256,112.000
opencl_V3,float,2048,100,2,256,101.000
opencl_V2,float,2048,100,8,32,249.000
opencl_V3,float,2048,100,8,32,211.000
opencl_V2,float,2048,100,4,64,180.000
opencl_V3,float,2048,100,4,64,162.000
opencl_V2,float,2048,100,2,128,104.000
opencl_V3,float,2048,100,2,128,95.000
opencl_V2,float,2048,100,1,256,90.000
opencl_V3,float,2048,100,1,256,85.000
opencl_V2,float,2048,100,2,256,106.000
opencl_V3,float,2048,100,2,256,93.000
opencl_V2,float,2048,100,8,32,240.000
opencl_V3,float,2048,100,8,32,215.000
opencl_V2,float,2048,100,4,64,169.000
opencl_V3,float,2048,100,4,64,168.000
opencl_V2,float,2048,100,2,128,109.000
opencl_V3,float,2048,100,2,128,97.000
opencl_V2,float,2048,100,1,256,88.000
opencl_V3,float,2048,100,1,256,84.000
opencl_V2,float,2048,100,2,256,103.000
opencl_V3,float,2048,100,2,256,97.000
opencl_V2,float,2048,100,8,32,244.000
opencl_V3,float,2048,100,8,32,213.000
opencl_V2,float,2048,100,4,64,188.000
opencl_V3,float,2048,100,4,64,166.000
opencl_V2,float,2048,100,2,128,108.000
opencl_V3,float,2048,100,2,128,98.000
opencl_V2,float,2048,100,1,256,88.000
opencl_V3,float,2048,100,1,256,84.000
opencl_V2,float,2048,100,2,256,103.000
opencl_V3,float,2048,100,2,256,100.000
opencl_V2,float,2048,1000,8,32,2795.000
opencl_V3,float,2048,1000,8,32,2151.000
opencl_V2,float,2048,1000,4,64,1790.000
opencl_V3,float,2048,1000,4,64,1555.000
opencl_V2,float,2048,1000,2,128,1081.000
opencl_V3,float,2048,1000,2,128,1044.000
opencl_V2,float,2048,1000,1,256,934.000
