version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms
opencl_V2,double,2048,10,8,32,23.724
opencl_V3,double,2048,10,8,32,30.009
opencl_V2,double,2048,10,4,64,25.854
opencl_V3,double,2048,10,4,64,24.539
opencl_V2,double,2048,10,2,128,23.641
opencl_V3,double,2048,10,2,128,22.104
opencl_V2,double,2048,10,1,256,18.338
opencl_V3,double,2048,10,1,256,24.977
opencl_V2,double,2048,10,2,256,25.146
opencl_V3,double,2048,10,2,256,20.416
opencl_V2,double,2048,10,8,32,22.381
opencl_V3,double,2048,10,8,32,25.387
opencl_V2,double,2048,10,4,64,17.871
opencl_V3,double,2048,10,4,64,21.936
opencl_V2,double,2048,10,2,128,18.619
opencl_V3,double,2048,10,2,128,18.511
opencl_V2,double,2048,10,1,256,17.626
opencl_V3,double,2048,10,1,256,26.195
opencl_V2,double,2048,10,2,256,18.135
opencl_V3,double,2048,10,2,256,23.913
opencl_V2,double,2048,10,8,32,31.013
opencl_V3,double,2048,10,8,32,22.675
opencl_V2,double,2048,10,4,64,24.087
opencl_V3,double,2048,10,4,64,21.282
opencl_V2,double,2048,10,2,128,25.363
opencl_V3,double,2048,10,2,128,20.789
opencl_V2,double,2048,10,1,256,19.206
opencl_V3,double,2048,10,1,256,19.806
opencl_V2,double,2048,10,2,256,22.382
opencl_V3,double,2048,10,2,256,20.382
opencl_V2,double,2048,10,8,32,33.205
opencl_V3,double,2048,10,8,32,27.026
opencl_V2,double,2048,10,4,64,25.639
opencl_V3,double,2048,10,4,64,22.315
opencl_V2,double,2048,10,2,128,24.331
opencl_V3,double,2048,10,2,128,25.311
opencl_V2,double,2048,10,1,256,24.965
opencl_V3,double,2048,10,1,256,28.570
opencl_V2,double,2048,10,2,256,22.916
opencl_V3,double,2048,10,2,256,22.685
opencl_V2,double,2048,10,8,32,28.314
opencl_V3,double,2048,10,8,32,31.198
opencl_V2,double,2048,10,4,64,25.559
opencl_V3,double,2048,10,4,64,24.351
opencl_V2,double,2048,10,2,128,28.678
opencl_V3,double,2048,10,2,128,24.245
opencl_V2,double,2048,10,1,256,21.971
opencl_V3,double,2048,10,1,256,32.561
opencl_V2,double,2048,10,2,256,25.056
opencl_V3,double,2048,10,2,256,27.373
opencl_V2,float,2048,10,8,32,18.023
opencl_V3,float,2048,10,8,32,12.752
opencl_V2,float,2048,10,4,64,13.744
opencl_V3,float,2048,10,4,64,14.265
opencl_V2,float,2048,10,2,128,12.085
opencl_V3,float,2048,10,2,128,21.738
opencl_V2,float,2048,10,1,256,13.925
opencl_V3,float,2048,10,1,256,11.285
opencl_V2,float,2048,10,2,256,12.254
opencl_V3,float,2048,10,2,256,11.666
opencl_V2,float,2048,10,8,32,12.706
opencl_V3,float,2048,10,8,32,9.366
opencl_V2,float,2048,10,4,64,8.248
opencl_V3,float,2048,10,4,64,10.259
opencl_V2,float,2048,10,2,128,11.872
opencl_V3,float,2048,10,2,128,10.305
opencl_V2,float,2048,10,1,256,13.974
opencl_V3,float,2048,10,1,256,10.239
opencl_V2,float,2048,10,2,256,11.610
opencl_V3,float,2048,10,2,256,9.067
opencl_V2,float,2048,10,8,32,11.963
opencl_V3,float,2048,10,8,32,12.801
opencl_V2,float,2048,10,4,64,11.533
opencl_V3,float,2048,10,4,64,12.623
opencl_V2,float,2048,10,2,128,10.550
opencl_V3,float,2048,10,2,128,9.557
opencl_V2,float,2048,10,1,256,14.086
opencl_V3,float,2048,10,1,256,10.002
opencl_V2,float,2048,10,2,256,12.412
opencl_V3,float,2048,10,2,256,9.811
opencl_V2,float,2048,10,8,32,16.102
opencl_V3,float,2048,10,8,32,16.114
opencl_V2,float,2048,10,4,64,10.958
opencl_V3,float,2048,10,4,64,12.163
opencl_V2,float,2048,10,2,128,11.204
opencl_V3,float,2048,10,2,128,10.869
opencl_V2,float,2048,10,1,256,11.667
opencl_V3,float,2048,10,1,256,9.438
opencl_V2,float,2048,10,2,256,8.897
opencl_V3,float,2048,10,2,256,13.293
opencl_V2,float,2048,10,8,32,9.026
opencl_V3,float,2048,10,8,32,12.061
opencl_V2,float,2048,10,4,64,12.222
opencl_V3,float,2048,10,4,64,9.971
opencl_V2,float,2048,10,2,128,12.093
opencl_V3,float,2048,10,2,128,11.743
opencl_V2,float,2048,10,1,256,12.259
opencl_V3,float,2048,10,1,256,12.316
opencl_V2,float,2048,10,2,256,15.380
opencl_V3,float,2048,10,2,256,9.540
opencl_V2,double,2048,100,8,32,100.547
opencl_V3,double,2048,100,8,32,69.483
opencl_V2,double,2048,100,4,64,59.728
opencl_V3,double,2048,100,4,64,54.278
opencl_V2,double,2048,100,2,128,56.502
opencl_V3,double,2048,100,2,128,54.157
opencl_V2,double,2048,100,1,256,54.416
opencl_V3,double,2048,100,1,256,54.834
opencl_V2,double,2048,100,2,256,58.147
opencl_V3,double,2048,100,2,256,57.896
opencl_V2,double,2048,100,8,32,80.628
opencl_V3,double,2048,100,8,32,72.902
opencl_V2,double,2048,100,4,64,56.633
opencl_V3,double,2048,100,4,64,66.740
opencl_V2,double,2048,100,2,128,61.062
opencl_V3,double,2048,100,2,128,53.712
opencl_V2,double,2048,100,1,256,58.334
opencl_V3,double,2048,100,1,256,55.725
opencl_V2,double,2048,100,2,256,55.342
opencl_V3,double,2048,100,2,256,57.036
opencl_V2,double,2048,100,8,32,81.775
opencl_V3,double,2048,100,8,32,78.058
opencl_V2,double,2048,100,4,64,49.003
opencl_V3,double,2048,100,4,64,55.432
opencl_V2,double,2048,100,2,128,56.557
opencl_V3,double,2048,100,2,128,62.864
opencl_V2,double,2048,100,1,256,55.998
opencl_V3,double,2048,100,1,256,51.770
opencl_V2,double,2048,100,2,256,53.659
opencl_V3,double,2048,100,2,256,70.574
opencl_V2,double,2048,100,8,32,88.093
opencl_V3,double,2048,100,8,32,71.250
opencl_V2,double,2048,100,4,64,57.482
opencl_V3,double,2048,100,4,64,57.110
opencl_V2,double,2048,100,2,128,56.081
opencl_V3,double,2048,100,2,128,57.161
opencl_V2,double,2048,100,1,256,55.276
opencl_V3,double,2048,100,1,256,55.797
opencl_V2,double,2048,100,2,256,56.466
