version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.029
multistage_reduction,int,1024,1024,0.046
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.031
multistage_reduction,int,1024,1024,0.013
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.009
multistage_reduction,int,1024,1024,0.013
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.028
multistage_reduction,int,1024,1024,0.013
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.009
multistage_reduction,int,1024,1024,0.014
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.009
multistage_reduction,int,1024,1024,0.013
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.010
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.009
multistage_reduction,int,1024,1024,0.014
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.009
multistage_reduction,int,1024,1024,0.013
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.008
multistage_reduction,int,1024,1024,0.013
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.030
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.029
multistage_reduction,float,1024,1024.000,0.047
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.029
multistage_reduction,float,1024,1024.000,0.046
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.029
multistage_reduction,float,1024,1024.000,0.046
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.030
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.030
multistage_reduction,float,1024,1024.000,0.047
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.008
multistage_reduction,float,1024,1024.000,0.013
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.010
multistage_reduction,float,1024,1024.000,0.013
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.009
multistage_reduction,float,1024,1024.000,0.013
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.009
multistage_reduction,float,1024,1024.000,0.014
sequential_reduction,int,1048576,1048576,0.000
parallel_reduction,int,1048576,1048576,0.303
multistage_reduction,int,1048576,1048576,0.447
sequential_reduction,int,1048576,1048576,0.000
parallel_reduction,int,1048576,1048576,0.300
multistage_reduction,int,1048576,1048576,0.410
sequential_reduction,int,1048576,1048576,0.000
parallel_reduction,int,1048576,1048576,0.294
multistage_reduction,int,1048576,1048576,0.397
sequential_reduction,int,1048576,1048576,0.000
parallel_reduction,int,1048576,1048576,0.295
multistage_reduction,int,1048576,1048576,0.311
sequential_reduction,int,1048576,1048576,0.000
parallel_reduction,int,1048576,1048576,0.209
