version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.024
multistage_reduction,int,1024,1024,0.039
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.021
multistage_reduction,int,1024,1024,0.037
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.020
multistage_reduction,int,1024,1024,0.038
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.048
multistage_reduction,int,1024,1024,0.041
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.019
multistage_reduction,int,1024,1024,0.041
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.020
multistage_reduction,int,1024,1024,0.041
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.019
multistage_reduction,int,1024,1024,0.044
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.018
multistage_reduction,int,1024,1024,0.036
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.020
multistage_reduction,int,1024,1024,0.044
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.025
multistage_reduction,int,1024,1024,0.039
sequential_reduction,float,1024,1024.000,0.003
parallel_reduction,float,1024,1024.000,0.020
multistage_reduction,float,1024,1024.000,0.037
sequential_reduction,float,1024,1024.000,0.003
parallel_reduction,float,1024,1024.000,0.029
multistage_reduction,float,1024,1024.000,0.039
sequential_reduction,float,1024,1024.000,0.003
parallel_reduction,float,1024,1024.000,0.017
multistage_reduction,float,1024,1024.000,0.039
sequential_reduction,float,1024,1024.000,0.003
parallel_reduction,float,1024,1024.000,0.017
multistage_reduction,float,1024,1024.000,0.041
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.021
multistage_reduction,float,1024,1024.000,0.041
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.020
multistage_reduction,float,1024,1024.000,0.049
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.023
multistage_reduction,float,1024,1024.000,0.040
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.019
multistage_reduction,float,1024,1024.000,0.042
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.022
multistage_reduction,float,1024,1024.000,0.041
sequential_reduction,float,1024,1024.000,0.004
parallel_reduction,float,1024,1024.000,0.020
multistage_reduction,float,1024,1024.000,0.041
sequential_reduction,int,1048576,1048576,0.522
parallel_reduction,int,1048576,1048576,0.089
multistage_reduction,int,1048576,1048576,0.098
sequential_reduction,int,1048576,1048576,0.884
parallel_reduction,int,1048576,1048576,0.087
multistage_reduction,int,1048576,1048576,0.096
sequential_reduction,int,1048576,1048576,0.416
parallel_reduction,int,1048576,1048576,0.086
multistage_reduction,int,1048576,1048576,0.086
sequential_reduction,int,1048576,1048576,0.509
parallel_reduction,int,1048576,1048576,0.088
multistage_reduction,int,1048576,1048576,0.098
sequential_reduction,int,1048576,1048576,0.501
parallel_reduction,int,1048576,1048576,0.090
multistage_reduction,int,1048576,1048576,0.099
sequential_reduction,int,1048576,1048576,0.471
parallel_reduction,int,1048576,1048576,0.086
multistage_reduction,int,1048576,1048576,0.122
sequential_reduction,int,1048576,1048576,0.433
parallel_reduction,int,1048576,1048576,0.076
multistage_reduction,int,1048576,1048576,0.097
sequential_reduction,int,1048576,1048576,0.434
parallel_reduction,int,1048576,1048576,0.087
multistage_reduction,int,1048576,1048576,0.098
sequential_reduction,int,1048576,1048576,0.593
parallel_reduction,int,1048576,1048576,0.088
multistage_reduction,int,1048576,1048576,0.100
sequential_reduction,int,1048576,1048576,0.453
parallel_reduction,int,1048576,1048576,0.087
multistage_reduction,int,1048576,1048576,0.097
sequential_reduction,float,1048576,1048576.000,3.568
parallel_reduction,float,1048576,1048576.000,0.090
multistage_reduction,float,1048576,1048576.000,0.096
sequential_reduction,float,1048576,1048576.000,3.634
parallel_reduction,float,1048576,1048576.000,0.086
multistage_reduction,float,1048576,1048576.000,0.097
sequential_reduction,float,1048576,1048576.000,3.970
parallel_reduction,float,1048576,1048576.000,0.088
multistage_reduction,float,1048576,1048576.000,0.096
sequential_reduction,float,1048576,1048576.000,3.464
parallel_reduction,float,1048576,1048576.000,0.092
multistage_reduction,float,1048576,1048576.000,0.088
sequential_reduction,float,1048576,1048576.000,3.962
parallel_reduction,float,1048576,1048576.000,0.076
