version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms
opencl_V3,double,2048,10,8,32,27.938
opencl_V3,double,2048,10,8,32,27.882
opencl_V3,double,2048,10,8,32,27.943
opencl_V3,double,2048,10,8,32,27.927
opencl_V3,double,2048,10,8,32,27.903
opencl_V3,float,2048,10,8,32,15.489
opencl_V3,float,2048,10,8,32,15.462
opencl_V3,float,2048,10,8,32,15.402
opencl_V3,float,2048,10,8,32,15.435
opencl_V3,float,2048,10,8,32,15.376
opencl_V3,double,2048,10,4,64,27.198
opencl_V3,double,2048,10,4,64,27.262
opencl_V3,double,2048,10,4,64,27.203
opencl_V3,double,2048,10,4,64,27.248
opencl_V3,double,2048,10,4,64,27.201
opencl_V3,float,2048,10,4,64,15.292
opencl_V3,float,2048,10,4,64,15.250
opencl_V3,float,2048,10,4,64,15.221
opencl_V3,float,2048,10,4,64,15.287
opencl_V3,float,2048,10,4,64,15.280
opencl_V3,double,2048,10,2,128,26.847
opencl_V3,double,2048,10,2,128,26.753
opencl_V3,double,2048,10,2,128,26.727
opencl_V3,double,2048,10,2,128,26.662
opencl_V3,double,2048,10,2,128,26.786
opencl_V3,float,2048,10,2,128,14.710
opencl_V3,float,2048,10,2,128,14.705
opencl_V3,float,2048,10,2,128,14.717
opencl_V3,float,2048,10,2,128,14.546
opencl_V3,float,2048,10,2,128,14.711
opencl_V3,double,2048,10,1,256,26.544
opencl_V3,double,2048,10,1,256,26.514
opencl_V3,double,2048,10,1,256,26.547
opencl_V3,double,2048,10,1,256,26.575
opencl_V3,double,2048,10,1,256,26.602
opencl_V3,float,2048,10,1,256,14.618
opencl_V3,float,2048,10,1,256,14.628
opencl_V3,float,2048,10,1,256,14.515
opencl_V3,float,2048,10,1,256,14.585
opencl_V3,float,2048,10,1,256,14.590
opencl_V3,double,2048,100,8,32,64.568
opencl_V3,double,2048,100,8,32,64.632
opencl_V3,double,2048,100,8,32,64.653
opencl_V3,double,2048,100,8,32,64.616
opencl_V3,double,2048,100,8,32,64.635
opencl_V3,float,2048,100,8,32,38.613
opencl_V3,float,2048,100,8,32,38.896
opencl_V3,float,2048,100,8,32,38.883
opencl_V3,float,2048,100,8,32,38.906
opencl_V3,float,2048,100,8,32,38.621
opencl_V3,double,2048,100,4,64,57.558
opencl_V3,double,2048,100,4,64,57.532
opencl_V3,double,2048,100,4,64,57.514
opencl_V3,double,2048,100,4,64,57.569
opencl_V3,double,2048,100,4,64,57.538
opencl_V3,float,2048,100,4,64,37.149
opencl_V3,float,2048,100,4,64,37.183
opencl_V3,float,2048,100,4,64,36.978
opencl_V3,float,2048,100,4,64,36.844
opencl_V3,float,2048,100,4,64,37.024
opencl_V3,double,2048,100,2,128,53.102
opencl_V3,double,2048,100,2,128,53.078
opencl_V3,double,2048,100,2,128,53.120
opencl_V3,double,2048,100,2,128,53.092
opencl_V3,double,2048,100,2,128,53.045
opencl_V3,float,2048,100,2,128,31.485
opencl_V3,float,2048,100,2,128,31.345
opencl_V3,float,2048,100,2,128,31.514
opencl_V3,float,2048,100,2,128,31.546
opencl_V3,float,2048,100,2,128,31.455
opencl_V3,double,2048,100,1,256,51.116
opencl_V3,double,2048,100,1,256,51.156
opencl_V3,double,2048,100,1,256,50.908
opencl_V3,double,2048,100,1,256,51.188
opencl_V3,double,2048,100,1,256,51.167
opencl_V3,float,2048,100,1,256,30.339
opencl_V3,float,2048,100,1,256,30.255
opencl_V3,float,2048,100,1,256,30.492
opencl_V3,float,2048,100,1,256,30.487
opencl_V3,float,2048,100,1,256,30.301
opencl_V3,double,2048,1000,8,32,397.001
opencl_V3,double,2048,1000,8,32,347.688
opencl_V3,double,2048,1000,8,32,347.461
opencl_V3,double,2048,1000,8,32,345.770
opencl_V3,double,2048,1000,8,32,346.353
opencl_V3,float,2048,1000,8,32,215.650
opencl_V3,float,2048,1000,8,32,216.713
opencl_V3,float,2048,1000,8,32,215.954
opencl_V3,float,2048,1000,8,32,216.584
opencl_V3,float,2048,1000,8,32,216.076
opencl_V3,double,2048,1000,4,64,301.421
opencl_V3,double,2048,1000,4,64,301.942
opencl_V3,double,2048,1000,4,64,301.157
opencl_V3,double,2048,1000,4,64,301.747
opencl_V3,double,2048,1000,4,64,301.978
opencl_V3,float,2048,1000,4,64,202.285
opencl_V3,float,2048,1000,4,64,202.139
opencl_V3,float,2048,1000,4,64,202.033
opencl_V3,float,2048,1000,4,64,202.621
opencl_V3,float,2048,1000,4,64,202.442
opencl_V3,double,2048,1000,2,128,288.770
opencl_V3,double,2048,1000,2,128,288.816
opencl_V3,double,2048,1000,2,128,288.785
opencl_V3,double,2048,1000,2,128,288.777
opencl_V3,double,2048,1000,2,128,288.818
opencl_V3,float,2048,1000,2,128,169.055
opencl_V3,float,2048,1000,2,128,168.842
opencl_V3,float,2048,1000,2,128,168.869
opencl_V3,float,2048,1000,2,128,169.149
opencl_V3,float,2048,1000,2,128,169.049
opencl_V3,double,2048,1000,1,256,283.590
opencl_V3,double,2048,1000,1,256,283.613
opencl_V3,double,2048,1000,1,256,283.719
opencl_V3,double,2048,1000,1,256,283.574
opencl_V3,double,2048,1000,1,256,283.561
opencl_V3,float,2048,1000,1,256,164.091
opencl_V3,float,2048,1000,1,256,164.228
opencl_V3,float,2048,1000,1,256,163.809
opencl_V3,float,2048,1000,1,256,164.449
opencl_V3,float,2048,1000,1,256,164.346
opencl_V3,double,4096,10,8,32,102.289
opencl_V3,double,4096,10,8,32,102.268
opencl_V3,double,4096,10,8,32,105.806
opencl_V3,double,4096,10,8,32,105.478
opencl_V3,double,4096,10,8,32,102.292
opencl_V3,float,4096,10,8,32,53.538
opencl_V3,float,4096,10,8,32,55.803
opencl_V3,float,4096,10,8,32,55.931
opencl_V3,float,4096,10,8,32,55.874
opencl_V3,float,4096,10,8,32,55.907
opencl_V3,double,4096,10,4,64,102.939
opencl_V3,double,4096,10,4,64,100.370
opencl_V3,double,4096,10,4,64,100.399
opencl_V3,double,4096,10,4,64,103.041
opencl_V3,double,4096,10,4,64,102.699
opencl_V3,float,4096,10,4,64,55.131
opencl_V3,float,4096,10,4,64,55.224
opencl_V3,float,4096,10,4,64,55.123
opencl_V3,float,4096,10,4,64,55.148
opencl_V3,float,4096,10,4,64,55.124
opencl_V3,double,4096,10,2,128,100.380
opencl_V3,double,4096,10,2,128,100.686
opencl_V3,double,4096,10,2,128,100.212
opencl_V3,double,4096,10,2,128,99.444
opencl_V3,double,4096,10,2,128,99.414
opencl_V3,float,4096,10,2,128,51.389
opencl_V3,float,4096,10,2,128,52.699
opencl_V3,float,4096,10,2,128,52.855
opencl_V3,float,4096,10,2,128,52.696
opencl_V3,float,4096,10,2,128,52.836
opencl_V3,double,4096,10,1,256,99.830
opencl_V3,double,4096,10,1,256,99.381
opencl_V3,double,4096,10,1,256,100.119
opencl_V3,double,4096,10,1,256,99.776
opencl_V3,double,4096,10,1,256,100.133
opencl_V3,float,4096,10,1,256,52.507
opencl_V3,float,4096,10,1,256,52.467
opencl_V3,float,4096,10,1,256,52.406
opencl_V3,float,4096,10,1,256,52.487
opencl_V3,float,4096,10,1,256,52.457
opencl_V3,double,4096,100,8,32,248.643
opencl_V3,double,4096,100,8,32,223.976
opencl_V3,double,4096,100,8,32,224.111
opencl_V3,double,4096,100,8,32,224.208
opencl_V3,double,4096,100,8,32,224.798
opencl_V3,float,4096,100,8,32,127.593
opencl_V3,float,4096,100,8,32,149.316
opencl_V3,float,4096,100,8,32,127.006
opencl_V3,float,4096,100,8,32,126.386
opencl_V3,float,4096,100,8,32,125.600
