version,precision,N,IT,LOCAL_WORKGROUP_DIM_1,LOCAL_WORKGROUP_DIM_2,elapsed_ms
opencl_V3,double,2048,10,8,32,57.264
opencl_V3,double,2048,10,8,32,58.046
opencl_V3,double,2048,10,8,32,57.807
opencl_V3,double,2048,10,8,32,57.574
opencl_V3,double,2048,10,8,32,58.324
opencl_V3,float,2048,10,8,32,32.375
opencl_V3,float,2048,10,8,32,31.921
opencl_V3,float,2048,10,8,32,32.437
opencl_V3,float,2048,10,8,32,32.701
opencl_V3,float,2048,10,8,32,32.478
opencl_V3,double,2048,10,4,64,39.650
opencl_V3,double,2048,10,4,64,40.904
opencl_V3,double,2048,10,4,64,39.035
opencl_V3,double,2048,10,4,64,38.134
opencl_V3,double,2048,10,4,64,39.068
opencl_V3,float,2048,10,4,64,34.103
opencl_V3,float,2048,10,4,64,34.725
opencl_V3,float,2048,10,4,64,30.412
opencl_V3,float,2048,10,4,64,30.202
opencl_V3,float,2048,10,4,64,34.781
opencl_V3,double,2048,10,2,128,24.381
opencl_V3,double,2048,10,2,128,25.156
opencl_V3,double,2048,10,2,128,24.714
opencl_V3,double,2048,10,2,128,25.119
opencl_V3,double,2048,10,2,128,24.582
opencl_V3,float,2048,10,2,128,22.572
opencl_V3,float,2048,10,2,128,22.039
opencl_V3,float,2048,10,2,128,22.871
opencl_V3,float,2048,10,2,128,22.415
opencl_V3,float,2048,10,2,128,23.948
opencl_V3,double,2048,10,1,256,14.585
opencl_V3,double,2048,10,1,256,17.038
opencl_V3,double,2048,10,1,256,17.090
opencl_V3,double,2048,10,1,256,16.515
opencl_V3,double,2048,10,1,256,15.228
opencl_V3,float,2048,10,1,256,13.189
opencl_V3,float,2048,10,1,256,14.738
opencl_V3,float,2048,10,1,256,13.709
opencl_V3,float,2048,10,1,256,15.050
opencl_V3,float,2048,10,1,256,15.297
opencl_V3,double,2048,100,8,32,498.595
opencl_V3,double,2048,100,8,32,499.434
opencl_V3,double,2048,100,8,32,499.482
opencl_V3,double,2048,100,8,32,500.211
opencl_V3,double,2048,100,8,32,498.190
opencl_V3,float,2048,100,8,32,288.329
opencl_V3,float,2048,100,8,32,289.495
opencl_V3,float,2048,100,8,32,289.536
opencl_V3,float,2048,100,8,32,289.805
