impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,3.922
opencl,float,512,512,512,512.000000,2.519
opencl,float,512,512,512,512.000000,4.745
opencl,float,512,512,512,512.000000,4.545
opencl,float,512,512,512,512.000000,2.071
opencl,float,512,512,512,512.000000,1.799
opencl,float,512,512,512,512.000000,3.070
opencl,float,512,512,512,512.000000,2.952
opencl,float,512,512,512,512.000000,4.621
opencl,float,512,512,512,512.000000,3.596
opencl,double,512,512,512,512.000000,6.694
opencl,double,512,512,512,512.000000,7.078
opencl,double,512,512,512,512.000000,6.760
opencl,double,512,512,512,512.000000,6.856
opencl,double,512,512,512,512.000000,6.616
opencl,double,512,512,512,512.000000,6.782
opencl,double,512,512,512,512.000000,7.373
opencl,double,512,512,512,512.000000,6.649
opencl,double,512,512,512,512.000000,7.506
opencl,double,512,512,512,512.000000,6.775
opencl,float,1024,1024,1024,1024.000000,76.095
opencl,float,1024,1024,1024,1024.000000,65.211
opencl,float,1024,1024,1024,1024.000000,68.856
opencl,float,1024,1024,1024,1024.000000,77.255
opencl,float,1024,1024,1024,1024.000000,82.449
opencl,float,1024,1024,1024,1024.000000,78.448
opencl,float,1024,1024,1024,1024.000000,78.669
opencl,float,1024,1024,1024,1024.000000,65.444
opencl,float,1024,1024,1024,1024.000000,75.565
opencl,float,1024,1024,1024,1024.000000,81.752
opencl,double,1024,1024,1024,1024.000000,109.389
opencl,double,1024,1024,1024,1024.000000,111.389
opencl,double,1024,1024,1024,1024.000000,113.670
opencl,double,1024,1024,1024,1024.000000,111.687
opencl,double,1024,1024,1024,1024.000000,111.178
opencl,double,1024,1024,1024,1024.000000,85.201
opencl,double,1024,1024,1024,1024.000000,110.673
opencl,double,1024,1024,1024,1024.000000,86.689
opencl,double,1024,1024,1024,1024.000000,112.112
opencl,double,1024,1024,1024,1024.000000,114.458
opencl,float,2048,2048,2048,2048.000000,647.672
opencl,float,2048,2048,2048,2048.000000,644.844
opencl,float,2048,2048,2048,2048.000000,736.031
opencl,float,2048,2048,2048,2048.000000,640.259
opencl,float,2048,2048,2048,2048.000000,660.406
opencl,float,2048,2048,2048,2048.000000,597.934
opencl,float,2048,2048,2048,2048.000000,658.614
opencl,float,2048,2048,2048,2048.000000,694.583
opencl,float,2048,2048,2048,2048.000000,732.738
opencl,float,2048,2048,2048,2048.000000,738.916
opencl,double,2048,2048,2048,2048.000000,914.796
opencl,double,2048,2048,2048,2048.000000,740.558
opencl,double,2048,2048,2048,2048.000000,834.425
opencl,double,2048,2048,2048,2048.000000,1021.926
opencl,double,2048,2048,2048,2048.000000,915.840
opencl,double,2048,2048,2048,2048.000000,742.605
opencl,double,2048,2048,2048,2048.000000,823.818
opencl,double,2048,2048,2048,2048.000000,827.898
opencl,double,2048,2048,2048,2048.000000,742.006
opencl,double,2048,2048,2048,2048.000000,718.137
opencl,float,2000,2000,2000,2000.000000,558.232
opencl,float,2000,2000,2000,2000.000000,537.378
opencl,float,2000,2000,2000,2000.000000,539.325
opencl,float,2000,2000,2000,2000.000000,627.895
opencl,float,2000,2000,2000,2000.000000,609.278
opencl,float,2000,2000,2000,2000.000000,418.282
opencl,float,2000,2000,2000,2000.000000,566.958
opencl,float,2000,2000,2000,2000.000000,744.585
opencl,float,2000,2000,2000,2000.000000,779.907
opencl,float,2000,2000,2000,2000.000000,818.598
opencl,double,2000,2000,2000,2000.000000,573.703
opencl,double,2000,2000,2000,2000.000000,523.907
opencl,double,2000,2000,2000,2000.000000,872.415
opencl,double,2000,2000,2000,2000.000000,435.140
opencl,double,2000,2000,2000,2000.000000,879.920
opencl,double,2000,2000,2000,2000.000000,830.740
opencl,double,2000,2000,2000,2000.000000,443.741
opencl,double,2000,2000,2000,2000.000000,885.600
opencl,double,2000,2000,2000,2000.000000,598.265
opencl,double,2000,2000,2000,2000.000000,589.872
