impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,6.725
opencl,float,512,512,512,512.000000,6.721
opencl,float,512,512,512,512.000000,6.755
opencl,float,512,512,512,512.000000,6.675
opencl,float,512,512,512,512.000000,6.734
opencl,float,512,512,512,512.000000,6.758
opencl,float,512,512,512,512.000000,6.769
opencl,float,512,512,512,512.000000,6.754
opencl,float,512,512,512,512.000000,6.678
opencl,float,512,512,512,512.000000,6.689
opencl,double,512,512,512,512.000000,7.912
opencl,double,512,512,512,512.000000,7.823
opencl,double,512,512,512,512.000000,7.833
opencl,double,512,512,512,512.000000,7.858
opencl,double,512,512,512,512.000000,7.770
opencl,double,512,512,512,512.000000,7.784
opencl,double,512,512,512,512.000000,7.808
opencl,double,512,512,512,512.000000,7.833
opencl,double,512,512,512,512.000000,7.820
opencl,double,512,512,512,512.000000,7.864
opencl,float,1024,1024,1024,1024.000000,47.275
opencl,float,1024,1024,1024,1024.000000,47.782
opencl,float,1024,1024,1024,1024.000000,47.559
opencl,float,1024,1024,1024,1024.000000,47.989
opencl,float,1024,1024,1024,1024.000000,47.650
opencl,float,1024,1024,1024,1024.000000,47.595
opencl,float,1024,1024,1024,1024.000000,47.921
opencl,float,1024,1024,1024,1024.000000,47.573
opencl,float,1024,1024,1024,1024.000000,47.959
opencl,float,1024,1024,1024,1024.000000,47.360
opencl,double,1024,1024,1024,1024.000000,51.752
opencl,double,1024,1024,1024,1024.000000,51.592
opencl,double,1024,1024,1024,1024.000000,51.547
opencl,double,1024,1024,1024,1024.000000,51.412
opencl,double,1024,1024,1024,1024.000000,51.711
opencl,double,1024,1024,1024,1024.000000,51.552
opencl,double,1024,1024,1024,1024.000000,51.809
opencl,double,1024,1024,1024,1024.000000,51.644
opencl,double,1024,1024,1024,1024.000000,51.857
opencl,double,1024,1024,1024,1024.000000,51.464
opencl,float,2048,2048,2048,2048.000000,343.822
opencl,float,2048,2048,2048,2048.000000,273.434
opencl,float,2048,2048,2048,2048.000000,274.444
opencl,float,2048,2048,2048,2048.000000,274.597
opencl,float,2048,2048,2048,2048.000000,274.575
opencl,float,2048,2048,2048,2048.000000,274.618
opencl,float,2048,2048,2048,2048.000000,274.600
opencl,float,2048,2048,2048,2048.000000,274.612
opencl,float,2048,2048,2048,2048.000000,274.419
opencl,float,2048,2048,2048,2048.000000,274.573
opencl,double,2048,2048,2048,2048.000000,306.304
opencl,double,2048,2048,2048,2048.000000,305.992
opencl,double,2048,2048,2048,2048.000000,305.953
opencl,double,2048,2048,2048,2048.000000,307.206
opencl,double,2048,2048,2048,2048.000000,305.723
opencl,double,2048,2048,2048,2048.000000,307.054
opencl,double,2048,2048,2048,2048.000000,305.288
opencl,double,2048,2048,2048,2048.000000,306.923
opencl,double,2048,2048,2048,2048.000000,306.734
opencl,double,2048,2048,2048,2048.000000,306.759
opencl,float,2000,2000,2000,2000.000000,198.749
opencl,float,2000,2000,2000,2000.000000,198.182
opencl,float,2000,2000,2000,2000.000000,199.082
opencl,float,2000,2000,2000,2000.000000,197.720
opencl,float,2000,2000,2000,2000.000000,197.679
opencl,float,2000,2000,2000,2000.000000,197.775
opencl,float,2000,2000,2000,2000.000000,197.237
opencl,float,2000,2000,2000,2000.000000,198.293
opencl,float,2000,2000,2000,2000.000000,197.910
opencl,float,2000,2000,2000,2000.000000,197.261
opencl,double,2000,2000,2000,2000.000000,389.774
opencl,double,2000,2000,2000,2000.000000,384.996
opencl,double,2000,2000,2000,2000.000000,388.227
opencl,double,2000,2000,2000,2000.000000,388.658
opencl,double,2000,2000,2000,2000.000000,387.377
opencl,double,2000,2000,2000,2000.000000,387.414
opencl,double,2000,2000,2000,2000.000000,385.408
opencl,double,2000,2000,2000,2000.000000,387.808
opencl,double,2000,2000,2000,2000.000000,388.944
opencl,double,2000,2000,2000,2000.000000,389.907
