impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,8.804
opencl,float,512,512,512,512.000000,8.766
opencl,float,512,512,512,512.000000,12.735
opencl,float,512,512,512,512.000000,8.715
opencl,float,512,512,512,512.000000,8.591
opencl,float,512,512,512,512.000000,8.638
opencl,float,512,512,512,512.000000,8.713
opencl,float,512,512,512,512.000000,9.113
opencl,float,512,512,512,512.000000,8.719
opencl,float,512,512,512,512.000000,8.567
opencl,double,512,512,512,512.000000,9.974
opencl,double,512,512,512,512.000000,9.923
opencl,double,512,512,512,512.000000,9.887
opencl,double,512,512,512,512.000000,9.947
opencl,double,512,512,512,512.000000,9.712
opencl,double,512,512,512,512.000000,9.889
opencl,double,512,512,512,512.000000,10.214
opencl,double,512,512,512,512.000000,10.098
opencl,double,512,512,512,512.000000,14.041
opencl,double,512,512,512,512.000000,9.973
opencl,float,1024,1024,1024,1024.000000,66.543
opencl,float,1024,1024,1024,1024.000000,65.472
opencl,float,1024,1024,1024,1024.000000,69.029
opencl,float,1024,1024,1024,1024.000000,65.040
opencl,float,1024,1024,1024,1024.000000,67.448
opencl,float,1024,1024,1024,1024.000000,63.116
opencl,float,1024,1024,1024,1024.000000,64.843
opencl,float,1024,1024,1024,1024.000000,63.088
opencl,float,1024,1024,1024,1024.000000,71.732
opencl,float,1024,1024,1024,1024.000000,66.899
opencl,double,1024,1024,1024,1024.000000,79.459
opencl,double,1024,1024,1024,1024.000000,67.551
opencl,double,1024,1024,1024,1024.000000,76.156
opencl,double,1024,1024,1024,1024.000000,71.235
opencl,double,1024,1024,1024,1024.000000,69.722
opencl,double,1024,1024,1024,1024.000000,63.030
opencl,double,1024,1024,1024,1024.000000,67.007
opencl,double,1024,1024,1024,1024.000000,71.258
opencl,double,1024,1024,1024,1024.000000,67.539
opencl,double,1024,1024,1024,1024.000000,75.559
opencl,float,2048,2048,2048,2048.000000,401.884
opencl,float,2048,2048,2048,2048.000000,304.633
opencl,float,2048,2048,2048,2048.000000,314.459
opencl,float,2048,2048,2048,2048.000000,312.021
opencl,float,2048,2048,2048,2048.000000,320.023
opencl,float,2048,2048,2048,2048.000000,316.377
opencl,float,2048,2048,2048,2048.000000,325.135
opencl,float,2048,2048,2048,2048.000000,312.250
opencl,float,2048,2048,2048,2048.000000,316.722
opencl,float,2048,2048,2048,2048.000000,318.406
opencl,double,2048,2048,2048,2048.000000,383.820
opencl,double,2048,2048,2048,2048.000000,374.861
opencl,double,2048,2048,2048,2048.000000,379.746
opencl,double,2048,2048,2048,2048.000000,380.315
opencl,double,2048,2048,2048,2048.000000,380.740
opencl,double,2048,2048,2048,2048.000000,373.072
opencl,double,2048,2048,2048,2048.000000,384.168
opencl,double,2048,2048,2048,2048.000000,390.510
opencl,double,2048,2048,2048,2048.000000,376.045
opencl,double,2048,2048,2048,2048.000000,374.824
opencl,float,2000,2000,2000,2000.000000,230.302
opencl,float,2000,2000,2000,2000.000000,241.536
opencl,float,2000,2000,2000,2000.000000,233.097
opencl,float,2000,2000,2000,2000.000000,231.867
opencl,float,2000,2000,2000,2000.000000,242.974
opencl,float,2000,2000,2000,2000.000000,234.945
opencl,float,2000,2000,2000,2000.000000,229.489
opencl,float,2000,2000,2000,2000.000000,232.657
opencl,float,2000,2000,2000,2000.000000,231.509
opencl,float,2000,2000,2000,2000.000000,233.715
opencl,double,2000,2000,2000,2000.000000,458.768
opencl,double,2000,2000,2000,2000.000000,467.424
opencl,double,2000,2000,2000,2000.000000,467.853
opencl,double,2000,2000,2000,2000.000000,461.065
opencl,double,2000,2000,2000,2000.000000,453.864
opencl,double,2000,2000,2000,2000.000000,459.424
opencl,double,2000,2000,2000,2000.000000,459.848
opencl,double,2000,2000,2000,2000.000000,455.764
opencl,double,2000,2000,2000,2000.000000,450.227
opencl,double,2000,2000,2000,2000.000000,454.860
