impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,0.539
opencl,float,512,512,512,512.000000,0.431
opencl,float,512,512,512,512.000000,0.383
opencl,float,512,512,512,512.000000,0.425
opencl,float,512,512,512,512.000000,0.335
opencl,float,512,512,512,512.000000,0.399
opencl,float,512,512,512,512.000000,0.416
opencl,float,512,512,512,512.000000,0.437
opencl,float,512,512,512,512.000000,0.592
opencl,float,512,512,512,512.000000,0.768
opencl,double,512,512,512,512.000000,0.852
opencl,double,512,512,512,512.000000,1.271
opencl,double,512,512,512,512.000000,1.301
opencl,double,512,512,512,512.000000,1.369
opencl,double,512,512,512,512.000000,0.977
opencl,double,512,512,512,512.000000,0.967
opencl,double,512,512,512,512.000000,1.390
opencl,double,512,512,512,512.000000,1.266
opencl,double,512,512,512,512.000000,1.346
opencl,double,512,512,512,512.000000,1.432
opencl,float,1024,1024,1024,1024.000000,1.389
opencl,float,1024,1024,1024,1024.000000,2.304
opencl,float,1024,1024,1024,1024.000000,1.754
opencl,float,1024,1024,1024,1024.000000,1.278
opencl,float,1024,1024,1024,1024.000000,1.903
opencl,float,1024,1024,1024,1024.000000,1.801
opencl,float,1024,1024,1024,1024.000000,1.326
opencl,float,1024,1024,1024,1024.000000,1.703
opencl,float,1024,1024,1024,1024.000000,1.561
opencl,float,1024,1024,1024,1024.000000,2.000
opencl,double,1024,1024,1024,1024.000000,6.262
opencl,double,1024,1024,1024,1024.000000,5.774
opencl,double,1024,1024,1024,1024.000000,5.685
opencl,double,1024,1024,1024,1024.000000,6.532
opencl,double,1024,1024,1024,1024.000000,6.586
opencl,double,1024,1024,1024,1024.000000,5.825
opencl,double,1024,1024,1024,1024.000000,6.766
opencl,double,1024,1024,1024,1024.000000,5.721
opencl,double,1024,1024,1024,1024.000000,6.823
opencl,double,1024,1024,1024,1024.000000,6.228
opencl,float,2048,2048,2048,2048.000000,17.062
opencl,float,2048,2048,2048,2048.000000,15.124
opencl,float,2048,2048,2048,2048.000000,16.838
opencl,float,2048,2048,2048,2048.000000,15.430
opencl,float,2048,2048,2048,2048.000000,17.764
opencl,float,2048,2048,2048,2048.000000,15.983
opencl,float,2048,2048,2048,2048.000000,16.163
opencl,float,2048,2048,2048,2048.000000,18.080
opencl,float,2048,2048,2048,2048.000000,15.055
opencl,float,2048,2048,2048,2048.000000,16.294
opencl,double,2048,2048,2048,2048.000000,65.788
opencl,double,2048,2048,2048,2048.000000,65.757
opencl,double,2048,2048,2048,2048.000000,65.470
opencl,double,2048,2048,2048,2048.000000,65.077
opencl,double,2048,2048,2048,2048.000000,66.816
opencl,double,2048,2048,2048,2048.000000,65.585
opencl,double,2048,2048,2048,2048.000000,59.744
opencl,double,2048,2048,2048,2048.000000,65.302
opencl,double,2048,2048,2048,2048.000000,63.189
opencl,double,2048,2048,2048,2048.000000,65.953
opencl,float,2000,2000,2000,2000.000000,18.096
opencl,float,2000,2000,2000,2000.000000,17.881
opencl,float,2000,2000,2000,2000.000000,17.829
opencl,float,2000,2000,2000,2000.000000,18.674
opencl,float,2000,2000,2000,2000.000000,18.599
opencl,float,2000,2000,2000,2000.000000,18.302
opencl,float,2000,2000,2000,2000.000000,18.265
opencl,float,2000,2000,2000,2000.000000,18.500
opencl,float,2000,2000,2000,2000.000000,18.228
opencl,float,2000,2000,2000,2000.000000,18.810
opencl,double,2000,2000,2000,2000.000000,41.685
opencl,double,2000,2000,2000,2000.000000,40.927
opencl,double,2000,2000,2000,2000.000000,40.911
opencl,double,2000,2000,2000,2000.000000,41.008
opencl,double,2000,2000,2000,2000.000000,40.803
opencl,double,2000,2000,2000,2000.000000,41.116
opencl,double,2000,2000,2000,2000.000000,41.029
opencl,double,2000,2000,2000,2000.000000,40.616
opencl,double,2000,2000,2000,2000.000000,41.405
opencl,double,2000,2000,2000,2000.000000,41.140
