impl,precision,N,M,K,C00,elapsed_ms
opencl,float,512,512,512,512.000000,0.466
opencl,float,512,512,512,512.000000,0.411
opencl,float,512,512,512,512.000000,0.546
opencl,float,512,512,512,512.000000,0.443
opencl,float,512,512,512,512.000000,0.593
opencl,float,512,512,512,512.000000,0.440
opencl,float,512,512,512,512.000000,0.456
opencl,float,512,512,512,512.000000,0.358
opencl,float,512,512,512,512.000000,0.367
opencl,float,512,512,512,512.000000,0.387
opencl,double,512,512,512,512.000000,0.934
opencl,double,512,512,512,512.000000,1.085
opencl,double,512,512,512,512.000000,0.958
opencl,double,512,512,512,512.000000,1.261
opencl,double,512,512,512,512.000000,0.901
opencl,double,512,512,512,512.000000,0.903
opencl,double,512,512,512,512.000000,1.217
opencl,double,512,512,512,512.000000,0.986
opencl,double,512,512,512,512.000000,1.243
opencl,double,512,512,512,512.000000,1.067
opencl,float,1024,1024,1024,1024.000000,2.374
opencl,float,1024,1024,1024,1024.000000,1.696
opencl,float,1024,1024,1024,1024.000000,1.965
opencl,float,1024,1024,1024,1024.000000,1.847
opencl,float,1024,1024,1024,1024.000000,2.409
opencl,float,1024,1024,1024,1024.000000,2.162
opencl,float,1024,1024,1024,1024.000000,1.330
opencl,float,1024,1024,1024,1024.000000,2.408
opencl,float,1024,1024,1024,1024.000000,1.470
opencl,float,1024,1024,1024,1024.000000,2.656
opencl,double,1024,1024,1024,1024.000000,5.848
opencl,double,1024,1024,1024,1024.000000,6.109
opencl,double,1024,1024,1024,1024.000000,5.821
opencl,double,1024,1024,1024,1024.000000,5.719
opencl,double,1024,1024,1024,1024.000000,5.541
opencl,double,1024,1024,1024,1024.000000,5.873
opencl,double,1024,1024,1024,1024.000000,5.618
opencl,double,1024,1024,1024,1024.000000,5.852
opencl,double,1024,1024,1024,1024.000000,6.267
opencl,double,1024,1024,1024,1024.000000,5.664
opencl,float,2048,2048,2048,2048.000000,33.455
opencl,float,2048,2048,2048,2048.000000,33.521
opencl,float,2048,2048,2048,2048.000000,31.716
opencl,float,2048,2048,2048,2048.000000,33.434
opencl,float,2048,2048,2048,2048.000000,33.516
opencl,float,2048,2048,2048,2048.000000,33.827
opencl,float,2048,2048,2048,2048.000000,33.160
opencl,float,2048,2048,2048,2048.000000,32.559
opencl,float,2048,2048,2048,2048.000000,34.258
opencl,float,2048,2048,2048,2048.000000,30.985
opencl,double,2048,2048,2048,2048.000000,44.364
opencl,double,2048,2048,2048,2048.000000,44.404
opencl,double,2048,2048,2048,2048.000000,44.456
opencl,double,2048,2048,2048,2048.000000,44.235
opencl,double,2048,2048,2048,2048.000000,44.464
opencl,double,2048,2048,2048,2048.000000,44.380
opencl,double,2048,2048,2048,2048.000000,44.206
opencl,double,2048,2048,2048,2048.000000,44.533
opencl,double,2048,2048,2048,2048.000000,44.030
opencl,double,2048,2048,2048,2048.000000,44.290
opencl,float,2000,2000,2000,2000.000000,9.257
opencl,float,2000,2000,2000,2000.000000,8.525
opencl,float,2000,2000,2000,2000.000000,8.246
opencl,float,2000,2000,2000,2000.000000,9.199
opencl,float,2000,2000,2000,2000.000000,9.223
opencl,float,2000,2000,2000,2000.000000,9.261
opencl,float,2000,2000,2000,2000.000000,8.541
opencl,float,2000,2000,2000,2000.000000,8.126
opencl,float,2000,2000,2000,2000.000000,8.864
opencl,float,2000,2000,2000,2000.000000,8.114
opencl,double,2000,2000,2000,2000.000000,40.443
opencl,double,2000,2000,2000,2000.000000,40.551
opencl,double,2000,2000,2000,2000.000000,40.220
opencl,double,2000,2000,2000,2000.000000,40.368
opencl,double,2000,2000,2000,2000.000000,41.248
opencl,double,2000,2000,2000,2000.000000,40.511
opencl,double,2000,2000,2000,2000.000000,41.092
opencl,double,2000,2000,2000,2000.000000,40.632
opencl,double,2000,2000,2000,2000.000000,40.741
opencl,double,2000,2000,2000,2000.000000,40.573
