version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.014
multistage_reduction,int,1024,1024,0.229
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.220
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.250
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.014
multistage_reduction,int,1024,1024,0.249
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.013
multistage_reduction,int,1024,1024,0.252
sequential_reduction,int,1024,1024,0.001
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.250
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.249
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.013
multistage_reduction,int,1024,1024,0.244
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.242
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.012
multistage_reduction,int,1024,1024,0.250
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.235
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.248
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.235
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.014
multistage_reduction,float,1024,1024.000,0.232
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.260
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.250
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.012
multistage_reduction,float,1024,1024.000,0.246
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.013
multistage_reduction,float,1024,1024.000,0.250
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.013
multistage_reduction,float,1024,1024.000,0.249
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.013
multistage_reduction,float,1024,1024.000,0.248
