version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,int,1048576,1048576,0.074
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.038
sequential_reduction,int,1048576,1048576,0.099
parallel_reduction,int,1048576,1048576,0.040
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.096
parallel_reduction,int,1048576,1048576,0.055
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.106
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.104
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.054
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.103
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.103
parallel_reduction,int,1048576,1048576,0.063
multistage_reduction,int,1048576,1048576,0.030
sequential_reduction,int,1048576,1048576,0.105
parallel_reduction,int,1048576,1048576,0.064
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,float,1048576,1048576.000,0.408
parallel_reduction,float,1048576,1048576.000,0.025
multistage_reduction,float,1048576,1048576.000,0.037
sequential_reduction,float,1048576,1048576.000,0.409
parallel_reduction,float,1048576,1048576.000,0.050
multistage_reduction,float,1048576,1048576.000,0.030
sequential_reduction,float,1048576,1048576.000,0.410
parallel_reduction,float,1048576,1048576.000,0.063
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.413
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.421
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.415
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.409
parallel_reduction,float,1048576,1048576.000,0.050
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.408
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.411
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.046
sequential_reduction,float,1048576,1048576.000,0.413
parallel_reduction,float,1048576,1048576.000,0.064
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,int,536870912,536870912,58.036
parallel_reduction,int,536870912,536870912,13.135
multistage_reduction,int,536870912,536870912,12.109
sequential_reduction,int,536870912,536870912,58.079
parallel_reduction,int,536870912,536870912,13.136
multistage_reduction,int,536870912,536870912,12.056
sequential_reduction,int,536870912,536870912,59.622
parallel_reduction,int,536870912,536870912,13.167
multistage_reduction,int,536870912,536870912,12.047
sequential_reduction,int,536870912,536870912,57.793
parallel_reduction,int,536870912,536870912,13.124
multistage_reduction,int,536870912,536870912,12.051
sequential_reduction,int,536870912,536870912,59.042
parallel_reduction,int,536870912,536870912,13.127
multistage_reduction,int,536870912,536870912,12.049
sequential_reduction,int,536870912,536870912,57.977
parallel_reduction,int,536870912,536870912,13.184
multistage_reduction,int,536870912,536870912,12.068
sequential_reduction,int,536870912,536870912,59.367
parallel_reduction,int,536870912,536870912,13.136
multistage_reduction,int,536870912,536870912,12.054
sequential_reduction,int,536870912,536870912,59.479
