version,precision,N,result,elapsed_ms
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.002
multistage_reduction,int,1024,1024,0.006
sequential_reduction,int,1024,1024,0.000
parallel_reduction,int,1024,1024,0.003
multistage_reduction,int,1024,1024,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.000
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,float,1024,1024.000,0.001
parallel_reduction,float,1024,1024.000,0.003
multistage_reduction,float,1024,1024.000,0.006
sequential_reduction,int,1048576,1048576,0.079
parallel_reduction,int,1048576,1048576,0.060
multistage_reduction,int,1048576,1048576,0.051
sequential_reduction,int,1048576,1048576,0.108
parallel_reduction,int,1048576,1048576,0.052
multistage_reduction,int,1048576,1048576,0.049
sequential_reduction,int,1048576,1048576,0.106
parallel_reduction,int,1048576,1048576,0.053
multistage_reduction,int,1048576,1048576,0.053
sequential_reduction,int,1048576,1048576,0.110
parallel_reduction,int,1048576,1048576,0.060
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.112
parallel_reduction,int,1048576,1048576,0.059
multistage_reduction,int,1048576,1048576,0.045
sequential_reduction,int,1048576,1048576,0.108
parallel_reduction,int,1048576,1048576,0.057
multistage_reduction,int,1048576,1048576,0.049
sequential_reduction,int,1048576,1048576,0.105
parallel_reduction,int,1048576,1048576,0.051
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.060
multistage_reduction,int,1048576,1048576,0.049
sequential_reduction,int,1048576,1048576,0.108
parallel_reduction,int,1048576,1048576,0.058
multistage_reduction,int,1048576,1048576,0.049
sequential_reduction,int,1048576,1048576,0.107
parallel_reduction,int,1048576,1048576,0.059
multistage_reduction,int,1048576,1048576,0.050
sequential_reduction,float,1048576,1048576.000,0.416
parallel_reduction,float,1048576,1048576.000,0.053
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.415
parallel_reduction,float,1048576,1048576.000,0.059
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.416
parallel_reduction,float,1048576,1048576.000,0.066
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.419
parallel_reduction,float,1048576,1048576.000,0.057
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,float,1048576,1048576.000,0.416
parallel_reduction,float,1048576,1048576.000,0.050
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,float,1048576,1048576.000,0.417
parallel_reduction,float,1048576,1048576.000,0.050
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,float,1048576,1048576.000,0.416
parallel_reduction,float,1048576,1048576.000,0.044
multistage_reduction,float,1048576,1048576.000,0.050
sequential_reduction,float,1048576,1048576.000,0.417
parallel_reduction,float,1048576,1048576.000,0.054
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,float,1048576,1048576.000,0.427
parallel_reduction,float,1048576,1048576.000,0.059
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,float,1048576,1048576.000,0.417
parallel_reduction,float,1048576,1048576.000,0.055
multistage_reduction,float,1048576,1048576.000,0.049
sequential_reduction,int,536870912,536870912,59.475
parallel_reduction,int,536870912,536870912,12.287
multistage_reduction,int,536870912,536870912,11.695
sequential_reduction,int,536870912,536870912,59.153
parallel_reduction,int,536870912,536870912,12.321
multistage_reduction,int,536870912,536870912,11.668
sequential_reduction,int,536870912,536870912,58.659
parallel_reduction,int,536870912,536870912,12.292
multistage_reduction,int,536870912,536870912,11.693
sequential_reduction,int,536870912,536870912,57.762
parallel_reduction,int,536870912,536870912,12.328
multistage_reduction,int,536870912,536870912,11.686
sequential_reduction,int,536870912,536870912,58.988
parallel_reduction,int,536870912,536870912,12.308
multistage_reduction,int,536870912,536870912,11.675
sequential_reduction,int,536870912,536870912,59.207
parallel_reduction,int,536870912,536870912,12.336
multistage_reduction,int,536870912,536870912,11.703
sequential_reduction,int,536870912,536870912,58.150
parallel_reduction,int,536870912,536870912,12.247
multistage_reduction,int,536870912,536870912,11.665
sequential_reduction,int,536870912,536870912,58.869
parallel_reduction,int,536870912,536870912,12.300
multistage_reduction,int,536870912,536870912,11.668
sequential_reduction,int,536870912,536870912,58.287
parallel_reduction,int,536870912,536870912,12.346
multistage_reduction,int,536870912,536870912,11.676
sequential_reduction,int,536870912,536870912,59.196
parallel_reduction,int,536870912,536870912,12.312
multistage_reduction,int,536870912,536870912,11.678
sequential_reduction,float,536870912,16777216.000,213.627
parallel_reduction,float,536870912,536870912.000,12.339
multistage_reduction,float,536870912,536870912.000,11.669
sequential_reduction,float,536870912,16777216.000,210.471
parallel_reduction,float,536870912,536870912.000,12.342
multistage_reduction,float,536870912,536870912.000,11.712
sequential_reduction,float,536870912,16777216.000,213.954
parallel_reduction,float,536870912,536870912.000,12.295
multistage_reduction,float,536870912,536870912.000,11.673
sequential_reduction,float,536870912,16777216.000,213.563
parallel_reduction,float,536870912,536870912.000,12.289
multistage_reduction,float,536870912,536870912.000,11.672
sequential_reduction,float,536870912,16777216.000,207.500
parallel_reduction,float,536870912,536870912.000,12.356
multistage_reduction,float,536870912,536870912.000,11.709
sequential_reduction,float,536870912,16777216.000,213.904
parallel_reduction,float,536870912,536870912.000,12.300
multistage_reduction,float,536870912,536870912.000,11.660
sequential_reduction,float,536870912,16777216.000,213.701
parallel_reduction,float,536870912,536870912.000,12.316
multistage_reduction,float,536870912,536870912.000,11.673
sequential_reduction,float,536870912,16777216.000,213.583
parallel_reduction,float,536870912,536870912.000,12.312
multistage_reduction,float,536870912,536870912.000,11.685
sequential_reduction,float,536870912,16777216.000,209.319
parallel_reduction,float,536870912,536870912.000,12.338
multistage_reduction,float,536870912,536870912.000,11.706
sequential_reduction,float,536870912,16777216.000,213.978
parallel_reduction,float,536870912,536870912.000,12.344
multistage_reduction,float,536870912,536870912.000,11.674
